symbol,side,price,shares,timestamp,entry_branch,pnl,holding_bars,forced_close
MSFT,BUY,460.77000000000004,2.170280183171647,2026-01-14 18:15:00+00:00,,,,
HD,BUY,375.49,2.66318676928813,2026-01-14 19:00:00+00:00,,,,
MSFT,SELL,457.7,2.170280183171647,2026-01-14 20:00:00+00:00,,-6.682760162337104,8.0,
MSFT,BUY,457.82,2.18426455812328,2026-01-14 20:15:00+00:00,,,,
MSFT,SELL,459.81,2.18426455812328,2026-01-15 14:45:00+00:00,,4.326686470665322,5.0,
HD,SELL,376.675,2.66318676928813,2026-01-15 15:00:00+00:00,,3.1358763216064744,11.0,
QCOM,BUY,161.99,6.173220569170936,2026-01-15 19:15:00+00:00,,,,
AMD,BUY,229.85000000000002,4.350663476180117,2026-01-16 14:45:00+00:00,,,,
COP,BUY,98.05,10.198878123406425,2026-01-16 14:45:00+00:00,,,,
ABBV,BUY,215.155,4.647812042481002,2026-01-16 14:45:00+00:00,,,,
BAC,BUY,52.55,19.029495718363464,2026-01-16 14:45:00+00:00,,,,
GOOGL,BUY,331.61,3.0155906034196795,2026-01-16 14:45:00+00:00,,,,
AMD,SELL,231.01999999999998,4.350663476180117,2026-01-16 15:00:00+00:00,,5.070276267130453,2.0,
COP,SELL,98.18,10.198878123406425,2026-01-16 15:00:00+00:00,,1.3058541560428694,2.0,
ABBV,SELL,215.5,4.647812042481002,2026-01-16 15:15:00+00:00,,1.5834951546559068,3.0,
BAC,SELL,52.425000000000004,19.029495718363464,2026-01-16 15:30:00+00:00,,-2.3986869647952744,4.0,
GOOGL,SELL,329.09,3.0155906034196795,2026-01-16 15:45:00+00:00,,-7.61928832061767,5.0,
QCOM,SELL,160.39999999999998,6.173220569170936,2026-01-16 15:45:00+00:00,,-9.83542070498197,13.0,
TSLA,BUY,436.89,2.2889056741971663,2026-01-16 16:00:00+00:00,,,,
GOOGL,BUY,327.93,3.0494312810660813,2026-01-16 18:00:00+00:00,,,,
TSLA,SELL,440.28999999999996,2.2889056741971663,2026-01-16 18:30:00+00:00,,7.76227929227025,11.0,
C,BUY,114.75,8.714596949891067,2026-01-20 14:45:00+00:00,,,,
ABBV,BUY,211.63000000000002,4.725227992250626,2026-01-20 14:45:00+00:00,,,,
WFC,BUY,87.85,11.383039271485487,2026-01-20 14:45:00+00:00,,,,
BAC,BUY,52.629999999999995,19.000570017100515,2026-01-20 14:45:00+00:00,,,,
AMD,BUY,229.4,4.3591979075850045,2026-01-20 14:45:00+00:00,,,,
LLY,BUY,1035.69,0.9655398816248104,2026-01-20 14:45:00+00:00,,,,
HON,BUY,218.02,4.586735161911751,2026-01-20 14:45:00+00:00,,,,
COP,BUY,97.49,10.257462303826035,2026-01-20 14:45:00+00:00,,,,
ABBV,SELL,211.32999999999998,4.725227992250626,2026-01-20 15:00:00+00:00,,-1.4375683976752498,2.0,
AMD,SELL,233.11999999999998,4.3591979075850045,2026-01-20 15:00:00+00:00,,16.196216216216158,2.0,
BAC,SELL,52.800000000000004,19.000570017100515,2026-01-20 15:00:00+00:00,,3.210096902907253,2.0,
C,SELL,114.955,8.714596949891067,2026-01-20 15:00:00+00:00,,1.7664923747277044,2.0,
GOOGL,SELL,323.27,3.0494312810660813,2026-01-20 15:00:00+00:00,,-14.23034976976794,15.0,
HON,SELL,217.04,4.586735161911751,2026-01-20 15:00:00+00:00,,-4.515000458673626,2.0,
LLY,SELL,1031.49,0.9655398816248104,2026-01-20 15:00:00+00:00,,-4.0752675028243175,2.0,
WFC,SELL,87.62,11.383039271485487,2026-01-20 15:00:00+00:00,,-2.6380990324415734,2.0,
COP,SELL,96.47,10.257462303826035,2026-01-20 16:45:00+00:00,,-10.482611549902458,9.0,
BAC,BUY,52.55,19.029495718363464,2026-01-20 17:45:00+00:00,,,,
AMD,BUY,232.25,4.3057050592034445,2026-01-20 18:45:00+00:00,,,,
BAC,SELL,52.11,19.029495718363464,2026-01-20 19:00:00+00:00,,-8.392978116079917,6.0,
AMD,SELL,239.575,4.3057050592034445,2026-01-21 14:45:00+00:00,,31.51928955866515,11.0,
MSFT,BUY,449.41,2.225139627511626,2026-01-21 14:45:00+00:00,,,,
GOOGL,BUY,322.095,3.104674086837734,2026-01-21 14:45:00+00:00,,,,
JPM,BUY,303.74,3.2922894580891553,2026-01-21 14:45:00+00:00,,,,
GOOGL,SELL,325.32,3.104674086837734,2026-01-21 15:00:00+00:00,,9.992573930051663,2.0,
JPM,SELL,304.57,3.2922894580891553,2026-01-21 15:00:00+00:00,,2.7126002502139954,2.0,
MSFT,SELL,451.485,2.225139627511626,2026-01-21 15:00:00+00:00,,4.597164727086579,2.0,
BAC,BUY,52.26,19.135093761959435,2026-01-21 17:15:00+00:00,,,,
BAC,SELL,52.49,19.135093761959435,2026-01-21 18:00:00+00:00,,4.381071565250863,4.0,
HON,BUY,217.69,4.593688272313841,2026-01-21 18:15:00+00:00,,,,
QCOM,BUY,155.04000000000002,6.449948400412796,2026-01-21 18:45:00+00:00,,,,
BAC,BUY,52.254999999999995,19.136924696201323,2026-01-21 19:15:00+00:00,,,,
HON,SELL,219.10999999999999,4.593688272313841,2026-01-21 19:30:00+00:00,,6.503037346685687,6.0,
QCOM,SELL,156.76999999999998,6.449948400412796,2026-01-21 19:30:00+00:00,,11.138410732713965,4.0,
BAC,SELL,52.78,19.136924696201323,2026-01-22 14:45:00+00:00,,10.02688546550587,9.0,
COP,BUY,96.445,10.368603867489243,2026-01-22 14:45:00+00:00,,,,
XOM,BUY,132.205,7.564010438334404,2026-01-22 14:45:00+00:00,,,,
XOM,SELL,132.5,7.564010438334404,2026-01-22 15:30:00+00:00,,2.2113830793085754,4.0,
COP,SELL,96.43,10.368603867489243,2026-01-22 16:00:00+00:00,,-0.1755290580122164,6.0,
JPM,BUY,304.2,3.287310979618672,2026-01-22 19:45:00+00:00,,,,
BAC,BUY,51.805,19.303156066016793,2026-01-23 14:45:00+00:00,,,,
WFC,BUY,87.345,11.44885225256168,2026-01-23 14:45:00+00:00,,,,
C,BUY,114.42,8.739730816290859,2026-01-23 14:45:00+00:00,,,,
LLY,BUY,1078.45,0.9272567110204459,2026-01-23 14:45:00+00:00,,,,
HD,BUY,381.91,2.618417951873478,2026-01-23 14:45:00+00:00,,,,
QCOM,BUY,157.41500000000002,6.352634755264745,2026-01-23 14:45:00+00:00,,,,
HON,BUY,222.455,4.495291182486345,2026-01-23 14:45:00+00:00,,,,
BAC,SELL,51.720000000000006,19.303156066016793,2026-01-23 15:00:00+00:00,,-1.6607682656112956,2.0,
C,SELL,115.3,8.739730816290859,2026-01-23 15:00:00+00:00,,7.670963118335976,2.0,
HD,SELL,381.835,2.618417951873478,2026-01-23 15:00:00+00:00,,-0.2163813463906763,2.0,
JPM,SELL,300.03499999999997,3.287310979618672,2026-01-23 15:00:00+00:00,,-13.711650230111786,8.0,
LLY,SELL,1079.28,0.9272567110204459,2026-01-23 15:00:00+00:00,,0.7496230701468676,2.0,
QCOM,SELL,157.29,6.352634755264745,2026-01-23 15:00:00+00:00,,-0.8140793444082419,2.0,
WFC,SELL,87.4,11.44885225256168,2026-01-23 15:00:00+00:00,,0.6096868738909507,2.0,
HON,SELL,221.98,4.495291182486345,2026-01-23 15:45:00+00:00,,-2.1552633116810966,5.0,
GOOGL,BUY,328.34000000000003,3.0456234391179873,2026-01-23 17:00:00+00:00,,,,
GOOGL,SELL,328.83,3.0456234391179873,2026-01-26 14:45:00+00:00,,1.4723554851677818,18.0,
TSLA,BUY,438.5,2.280501710376283,2026-01-26 14:45:00+00:00,,,,
AMD,BUY,253.645,3.9425180863017206,2026-01-26 14:45:00+00:00,,,,
HON,BUY,220.655,4.5319616596043595,2026-01-26 14:45:00+00:00,,,,
LLY,BUY,1062.6399999999999,0.9410524730858993,2026-01-26 14:45:00+00:00,,,,
HON,SELL,220.47,4.5319616596043595,2026-01-26 15:00:00+00:00,,-0.8584129070268318,2.0,
LLY,SELL,1063.14,0.9410524730858993,2026-01-26 15:00:00+00:00,,0.45052623654316903,2.0,
TSLA,SELL,440.46999999999997,2.280501710376283,2026-01-26 15:15:00+00:00,,4.472588369441269,3.0,
AMD,SELL,253.72,3.9425180863017206,2026-01-26 16:00:00+00:00,,0.2756888564725841,6.0,
TSLA,BUY,432.96500000000003,2.3096555148799554,2026-01-27 14:45:00+00:00,,,,
AMD,BUY,250.59,3.9905822259467656,2026-01-27 14:45:00+00:00,,,,
HD,BUY,384.52500000000003,2.60061114361875,2026-01-27 14:45:00+00:00,,,,
BAC,BUY,52.019999999999996,19.223375624759708,2026-01-27 14:45:00+00:00,,,,
AMD,SELL,252.83999999999997,3.9905822259467656,2026-01-27 15:00:00+00:00,,8.95881000838017,2.0,
TSLA,SELL,434.14,2.3096555148799554,2026-01-27 15:00:00+00:00,,2.693845229983822,2.0,
HD,SELL,381.58,2.60061114361875,2026-01-27 15:30:00+00:00,,-7.678799817957383,4.0,
BAC,SELL,51.975,19.223375624759708,2026-01-27 16:00:00+00:00,,-0.8850519031141175,6.0,
COP,BUY,98.75,10.126582278481013,2026-01-27 16:15:00+00:00,,,,
COP,SELL,99.45,10.126582278481013,2026-01-27 16:45:00+00:00,,7.068607594936793,3.0,
LLY,BUY,1053.46,0.9492529379378429,2026-01-27 17:45:00+00:00,,,,
