symbol,starting_capital,final_equity,total_return_pct,max_drawdown_pct,total_trades,trades_per_day,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,pnl_stability,realized_pnl,final_cash,symbol_contribution_pct
ABBV,666.6666666666666,713.6919204345384,7.05378806518076,6.50747400260646,62,1.0163934426229508,61.29032258064516,7.353864937525445,-7.724848337092642,1.516943669931346,-12.568304459207297,0.15169436699313463,0.15169436699313463,1.5072942504910756,1.8505475468015933,6.910520853886017,47.02525376787173,713.6919204345384,-17.03351364848424
AMD,666.6666666666666,701.089255497629,5.1633883246443535,8.84216934834427,76,1.2459016393442623,57.89473684210527,10.819618917697959,-12.725564209899545,0.9058576008147988,-28.939481033970537,0.09058576008147988,0.09058576008147988,1.169062193742381,1.0170557472123722,10.34057417378385,34.422588830962354,701.089255497629,-12.468569325806639
BAC,666.6666666666666,614.9055470074446,-7.7641679488833,10.182422321576851,58,0.9508196721311475,37.93103448275862,4.707720058003918,-5.752557794292506,-1.7848661951455864,-13.426109355549102,-0.17848661951455863,-0.17848661951455863,0.5001149294495124,-2.405345077644892,5.535111912745343,-51.761119659222004,614.9055470074446,18.748941633113635
C,666.6666666666666,660.9180076472117,-0.8622988529182465,10.740333034766545,58,0.9508196721311475,58.620689655172406,6.305065536151386,-9.411231094502378,-0.19822962136051642,-20.82560731079741,-0.01982296213605164,-0.01982296213605164,0.9490975289547658,-0.15051293928296638,6.407053654594486,-5.748659019454976,660.9180076472117,2.0822824763843917
COP,666.6666666666666,631.5870310120615,-5.261945348190767,6.058720639734423,38,0.6229508196721312,42.10526315789473,5.41538010786428,-7.127516047047214,-1.8462966134002692,-14.28488013854701,-0.1846296613400269,-0.1846296613400269,0.5525709425651247,-2.292252849368005,3.9052342858679316,-35.07963565460511,631.5870310120615,12.70656519273928
GOOGL,666.6666666666666,632.4300356469527,-5.135494652957096,8.908882479646175,58,0.9508196721311475,58.620689655172406,5.6355703284068435,-10.836777216885858,-1.1805734834384127,-14.614899026470312,-0.11805734834384127,-0.11805734834384127,0.736724994167958,-1.38803431878522,6.185692757102376,-34.23663101971397,632.4300356469527,12.401211583696893
HD,666.6666666666666,656.6157900578764,-1.5076314913185287,5.070228379018272,52,0.8524590163934426,50.0,5.1746309872063945,-5.9477753417287165,-0.38657217726116117,-11.593525929434122,-0.03865721772611612,-0.03865721772611612,0.8700111705467328,-0.6533289835023312,3.77566869163891,-10.05087660879019,656.6157900578764,3.6406341311873156
HON,666.6666666666666,657.418309517274,-1.3872535724088948,5.934607370812741,56,0.9180327868852459,46.42857142857143,5.344721508920744,-5.24864911769082,-0.33029846962116544,-11.095840964626063,-0.03302984696211654,-0.03302984696211654,0.8825303179031901,-0.4460752907870498,4.767610356872664,-9.248357149392632,657.418309517274,3.3499450849931223
JPM,666.6666666666666,682.0447274353033,2.3067091152955075,6.130976808196532,50,0.819672131147541,60.0,5.974463093308024,-7.423888563098364,0.6151224307454686,-13.711650230111786,0.061512243074546856,0.061512243074546856,1.2071429364534894,0.7743852039230417,5.494249344353714,15.378060768636715,682.0447274353033,-5.570249748843589
LLY,666.6666666666666,589.919789103858,-11.5120316344213,12.143334234374413,68,1.1147540983606556,50.0,3.9309960595155977,-8.445518269092577,-2.25726110478849,-26.852102488259675,-0.225726110478849,-0.225726110478849,0.46545350258746887,-3.4195154327014614,5.7188025798392035,-76.74687756280866,589.919789103858,27.79929679694347
MSFT,666.6666666666666,663.2676542919206,-0.5098518562119012,8.5283448488301,56,0.9180327868852459,67.85714285714286,4.5005907915369905,-9.878915268216538,-0.1213932990980717,-22.197751618599227,-0.01213932990980717,-0.01213932990980717,0.9617702924476417,-0.09000174911074946,5.478405053328786,-3.3990123747460075,663.2676542919206,1.231192158204982
QCOM,666.6666666666666,647.2723635756329,-2.9091454636550624,7.861973213858498,60,0.9836065573770492,46.666666666666664,8.197999286104855,-8.385393318531356,-0.646476769701125,-21.88508483928831,-0.0646476769701125,-0.0646476769701125,0.8554457856483817,-0.593224829088691,7.458796505128649,-19.39430309103375,647.2723635756329,7.025015282951329
TSLA,666.6666666666666,640.9920743811801,-3.8511888428229724,13.056454022815903,64,1.0491803278688525,56.25,5.179703772392922,-8.493518584897076,-0.8023310089214526,-16.56456654456656,-0.08023310089214526,-0.08023310089214526,0.7840824823502116,-0.8812763277382335,7.099412430131462,-25.674592285486483,640.9920743811801,9.299865137844101
WFC,666.6666666666666,621.5088061826666,-6.773679072600005,9.420395004791542,40,0.6557377049180327,40.0,4.575493472557227,-6.813484022038153,-2.2578930242000013,-16.595983803618992,-0.22578930242000014,-0.22578930242000014,0.44769004694786924,-2.3754150892261188,4.8319894594984625,-45.157860484000025,621.5088061826666,16.357105411647712
XOM,666.6666666666666,610.2637999715394,-8.46043000426909,12.429482685852904,30,0.4918032786885246,60.0,4.295648373242165,-15.84395034238446,-3.7601911130084846,-61.08308626080577,-0.3760191113008485,-0.3760191113008485,0.4066834609185936,-1.6323688791082216,8.992891946990888,-56.40286669512727,610.2637999715394,20.430277833428242
