volatility_regime,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_return_pct,median_net_return_pct,net_win_rate_pct
high_vol,1,194,-0.020455239295901276,-0.01248021308111429,48.45360824742268,-0.07829210577478567,-0.061863711268057384,43.81443298969072
high_vol,2,194,0.008598517802640926,0.043248028334156814,54.123711340206185,-0.049238546253384634,-0.009794894736938887,50.0
high_vol,4,194,-0.004223780940877922,-0.024340110763215017,47.93814432989691,-0.06204874692080339,-0.06722849371334974,46.90721649484536
high_vol,8,194,-0.03289575132093438,0.043919728549478995,53.09278350515464,-0.09069055089565738,-0.02869482067046647,48.96907216494845
low_vol,1,250,0.04474179876100133,0.01910654408399488,54.0,-0.01380075460805697,-0.03404877390353818,44.4
low_vol,2,250,0.003225840289417942,-0.009796495696939704,48.0,-0.05530494762492721,-0.08024922545828872,41.199999999999996
low_vol,4,250,-0.031388975677490674,0.007406845404058992,50.4,-0.08991842197761077,-0.06651922251217002,45.2
low_vol,8,247,-0.20712127683737744,-0.16485497913555283,42.91497975708502,-0.2653805809271082,-0.21831644004945472,39.27125506072874
mid_vol,1,393,-0.012452188750860507,0.034014495408041925,54.19847328244275,-0.06927831767475703,-0.03795302138539682,46.31043256997455
mid_vol,2,393,0.021461812026729057,0.06196883852691873,54.19847328244275,-0.03537429274805185,0.0005777846518640218,50.12722646310432
mid_vol,4,393,0.023045472683506346,0.026365998408461176,51.653944020356235,-0.03379228824149453,-0.024620104052496573,47.07379134860051
mid_vol,8,393,-0.06092079112948889,0.0,49.87277353689568,-0.11773901311653209,-0.06048216294029771,48.091603053435115
