symbol,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_return_pct,median_net_return_pct,net_win_rate_pct
ABBV,1,64,-0.013284600911772311,-0.01764589971882008,43.75,-0.060973213121945244,-0.06427760509042174,39.0625
ABBV,2,64,0.06311363139583251,0.005417639006357274,50.0,0.015406754263028864,-0.041709137610808966,40.625
ABBV,4,64,0.034551263889017456,0.05770390285368949,53.125,-0.013148649988576018,0.009900929777148805,50.0
ABBV,8,64,0.1028909472647833,0.19662816937305252,51.5625,0.055175699858154,0.14887641348170744,51.5625
AMD,1,81,-0.06687830185547468,-0.024181457658273137,46.913580246913575,-0.11620007061913674,-0.07452683492892902,44.44444444444444
AMD,2,81,0.032012987336262164,-0.005068423720232806,49.382716049382715,-0.017333725931577525,-0.057738535596672594,48.148148148148145
AMD,4,81,0.04539139188714456,-0.09023556231002931,46.913580246913575,-0.0039592179298323016,-0.13969526613171865,44.44444444444444
AMD,8,81,0.3045131630788504,0.396575905595586,59.25925925925925,0.255094888556753,0.3461288076588289,58.0246913580247
BAC,1,48,0.015316368269209174,0.03165553756913844,56.25,-0.18201429363680408,-0.1539691892502219,27.083333333333332
BAC,2,48,0.002761498336804132,0.05503675715070064,56.25,-0.19455736283926015,-0.13157925597475353,31.25
BAC,4,48,-0.04290983768829215,-0.06257824713698174,43.75,-0.240193594267186,-0.2568720647444593,35.41666666666667
BAC,8,48,-0.19352220572821555,-0.03567097055732463,45.83333333333333,-0.39067621277943726,-0.23640694906553109,33.33333333333333
C,1,51,0.08753463388485958,0.11284862163469334,64.70588235294117,-0.0025203501466189667,0.030229473853853505,52.94117647058824
C,2,51,0.031527814514321496,0.1229256299938542,56.86274509803921,-0.05850293845182932,0.03310619624363653,52.94117647058824
C,4,51,0.14954365109087206,0.28447634469778865,66.66666666666666,0.05946071426706912,0.19485900520581936,58.82352941176471
C,8,51,-0.03862125774447563,0.3878599825463063,60.78431372549019,-0.12862799152861285,0.2887540220973278,54.90196078431373
COP,1,44,0.006895393532756574,0.05140180825597091,59.09090909090909,-0.07887117717886012,-0.04300884771064375,45.45454545454545
COP,2,44,0.07437782935995242,0.01996570181189552,52.27272727272727,-0.011419134897673188,-0.0691352981147702,38.63636363636363
COP,4,44,-0.007016191052939902,-0.07198746550365165,43.18181818181818,-0.09278207707602631,-0.15532208845889955,36.36363636363637
COP,8,42,-0.05141585415645126,-0.23656278217495508,42.857142857142854,-0.13727416835209744,-0.33049928789608884,40.476190476190474
GOOGL,1,70,0.026183642953947896,0.016221180365857193,54.285714285714285,-0.0076928066991594456,-0.019513740336645925,48.57142857142857
GOOGL,2,70,0.01689964287117071,0.07956590590701958,55.714285714285715,-0.016975140933360045,0.0480904109420294,55.714285714285715
GOOGL,4,70,-0.006206748379224169,0.015502273666809948,50.0,-0.04007783462459948,-0.018938246378991153,48.57142857142857
GOOGL,8,70,-0.06974165726073676,0.06907175378286654,52.85714285714286,-0.10360323914482021,0.035323443690714385,51.42857142857142
HD,1,43,0.03786918181768371,-0.009322395056473741,46.51162790697674,0.007534490124522704,-0.03795302138539682,39.53488372093023
HD,2,43,0.050193374004156695,-0.002886669360888778,48.837209302325576,0.01985742324910717,-0.033748780558210005,44.18604651162791
HD,4,43,0.07445041157049766,-0.038397542557270514,46.51162790697674,0.044111017797690756,-0.06598771435883465,44.18604651162791
HD,8,43,0.10989044494776104,0.06874742197166563,55.81395348837209,0.07954687334726931,0.03618717827301907,53.48837209302325
HON,1,45,-0.026583201000026573,0.017732068445780673,55.55555555555556,-0.0718046623251866,-0.028592208482928073,40.0
HON,2,45,-0.01995245958946345,-0.028847860820165862,48.888888888888886,-0.06517489982370862,-0.07521293872299566,46.666666666666664
HON,4,45,-0.0017870187994593267,0.004439708755101627,51.11111111111111,-0.047013102384726384,-0.04194851080829949,46.666666666666664
HON,8,45,0.06114593615069744,0.21807063690114215,57.77777777777777,0.015905095723662242,0.17106871052570796,55.55555555555556
JPM,1,53,0.021017201821434735,0.06968167371980628,56.60377358490566,-0.014598736654059238,0.03368454859045187,50.943396226415096
JPM,2,53,-0.06850363739624543,0.0016965542982380593,50.943396226415096,-0.10410468455908001,-0.03422906383050304,45.28301886792453
JPM,4,53,0.0010113885936847888,0.03923910261878669,56.60377358490566,-0.034601971296988165,0.0031172707889027154,50.943396226415096
JPM,8,53,-0.253963909322348,-0.16628206868467799,39.62264150943396,-0.2895349017031847,-0.20218321853900534,35.84905660377358
LLY,1,79,-0.002299512203674891,0.02049092442662539,53.16455696202531,-0.014155197530903588,0.008959739634724429,53.16455696202531
LLY,2,79,0.004990997933023322,0.031175358996253726,53.16455696202531,-0.006864906714739654,0.01958190573025149,51.89873417721519
