score_mode,symbol,bucket,membership_count,membership_share_pct,avg_5b_return_pct,avg_10b_return_pct,avg_20b_return_pct
return_20_plus_60,QCOM,bottom,707,0.0,0.008765734067230335,0.017508156329817587,0.013788189030439353
return_20_plus_60,TSLA,bottom,684,0.0,-0.031720297684065236,-0.008285105029525511,0.0695238933000182
return_20_plus_60,LLY,bottom,662,0.0,-0.06307650259229691,-0.09317609838051409,-0.09173163785858152
return_20_plus_60,HD,bottom,646,0.0,0.028820797386583608,0.08400323459874208,0.12830644400422245
return_20_plus_60,MSFT,bottom,630,0.0,-0.039946821503604624,-0.04203582456386505,-0.08028696670932763
return_20_plus_60,ABBV,bottom,541,0.0,0.0035706510021940793,-0.03354545711317625,-0.10346625482124285
return_20_plus_60,AMD,bottom,540,0.0,0.1307421360726825,0.013143043539426023,-0.16887560634144191
return_20_plus_60,GOOGL,bottom,479,0.0,-0.13204374960108828,-0.23137161449828378,-0.5346774325242686
return_20_plus_60,WFC,bottom,457,0.0,0.027710907044058562,0.08804137804184536,0.046949728084472626
return_20_plus_60,C,bottom,425,0.0,0.0008163718245590743,0.017521957896686733,0.10683275417986218
return_20_plus_60,XOM,bottom,384,0.0,0.04650147670653589,0.11520559015873383,0.34257964258187823
return_20_plus_60,BAC,bottom,379,0.0,-0.003253805148930497,-0.006173028477368705,0.057395261634341666
return_20_plus_60,COP,bottom,370,0.0,0.1439458532667202,0.26757529328472834,0.5244014553949393
return_20_plus_60,HON,bottom,364,0.0,0.15323942327604154,0.24932630986058515,0.2829990233121359
return_20_plus_60,JPM,bottom,347,0.0,-0.10402993227742888,-0.15928177967426688,-0.18689637286356872
return_20_plus_60,JPM,middle,798,0.0,0.08375040003870322,0.13784030515502899,0.1978703540860036
return_20_plus_60,BAC,middle,681,0.0,0.021645762647177828,0.00426181218537852,-0.04885184963177632
return_20_plus_60,HON,middle,615,0.0,0.036829546894248416,0.08799537417555581,0.24074047698671192
return_20_plus_60,WFC,middle,582,0.0,-0.03993866152904178,-0.1112035403896484,-0.08649666427051844
return_20_plus_60,GOOGL,middle,550,0.0,0.04854909392118711,0.020506331589093704,0.05948809255738931
return_20_plus_60,HD,middle,539,0.0,-0.07123889936124947,-0.15966924991269016,-0.3100590833039307
return_20_plus_60,QCOM,middle,535,0.0,-0.1392065914313276,-0.29884031961828206,-0.5419775371362122
return_20_plus_60,ABBV,middle,511,0.0,0.02963862000379427,0.11683269183806347,0.05681395259045075
return_20_plus_60,MSFT,middle,486,0.0,-0.03198830943948026,-0.06366407013166031,-0.09550789458105115
return_20_plus_60,LLY,middle,454,0.0,0.015610660960311678,-0.027173749811334785,-0.06985994585068842
return_20_plus_60,TSLA,middle,419,0.0,0.012380403440472438,-0.13612935239890492,-0.38335867807351093
return_20_plus_60,COP,middle,411,0.0,0.10585393192635058,0.22743942568634545,0.5049059988435884
return_20_plus_60,C,middle,405,0.0,-0.014058051778654334,0.03200071628526204,0.1776486409558453
return_20_plus_60,XOM,middle,380,0.0,-0.004168395111963915,0.05240245685784704,0.39705888132013584
return_20_plus_60,AMD,middle,249,0.0,-0.3017609526635686,0.12962181275708043,0.7301805073371653
return_20_plus_60,XOM,top,759,9.967170059093894,0.08993361283513142,0.13859510182868195,0.08864136213340683
return_20_plus_60,COP,top,742,9.74392646093237,0.03358489211666094,0.06908579587440357,0.1316674683913147
return_20_plus_60,AMD,top,734,9.63887065003283,0.07743606398701118,0.08936580959520257,0.16154476648459604
return_20_plus_60,C,top,693,9.100459619172685,0.06229718942970723,0.07698822314409376,0.05059774509803126
return_20_plus_60,HON,top,544,7.143795141168746,-0.08326129714232905,-0.1454461132969299,-0.21538255121970465
return_20_plus_60,GOOGL,top,494,6.487196323046618,0.05574744592252724,0.1627063982926712,0.38326896218652173
return_20_plus_60,WFC,top,484,6.355876559422192,0.0017772577555935708,0.0017777584248957015,-0.037463735653214425
return_20_plus_60,ABBV,top,471,6.18516086671044,-0.07396382159537744,-0.16754029586822614,-0.11201866650141826
return_20_plus_60,BAC,top,463,6.0801050558108996,-0.013154964990502341,0.019334404679901624,0.05155404506493039
return_20_plus_60,TSLA,top,420,5.51543007222587,-0.2022244300114484,-0.34023927524020087,-0.7233012031791074
return_20_plus_60,LLY,top,407,5.344714379514117,-0.04056215072120012,-0.0713596742867747,-0.26237163018992543
return_20_plus_60,MSFT,top,407,5.344714379514117,-0.11181420941595731,-0.29078120252045153,-0.6456685539295579
return_20_plus_60,JPM,top,378,4.9638870650032825,-0.0799322795342734,-0.14862365859229945,-0.24211468671912428
return_20_plus_60,HD,top,338,4.438608010505582,-0.09309042278162966,-0.21404160926485694,-0.3946403670336892
return_20_plus_60,QCOM,top,281,3.690085357846356,-0.09855854652478645,-0.17510812268681164,-0.444693933141601
