score_mode,bucket,horizon_bars,observation_count,mean_return_pct,median_return_pct,std_return_pct,hit_rate_pct
return_20_plus_60,bottom,5,7590,0.006144050731429031,0.0,1.0490155007893631,49.84189723320158
return_20_plus_60,middle,5,7590,-0.004280448048513143,0.009386497071250943,0.9462739849727675,50.55335968379446
return_20_plus_60,top,5,7590,-0.013235737227564553,0.0,0.9892963730257538,49.696969696969695
return_20_plus_60,bottom,10,7565,0.009246326183713948,0.0024713325424974286,1.4812224959892304,50.09914077990747
return_20_plus_60,middle,10,7565,-0.001784656758879272,0.03145567169957619,1.3152684221937396,51.61929940515532
return_20_plus_60,top,10,7565,-0.03363752852249791,-0.0066533599467843985,1.377076838272621,49.63648380700595
return_20_plus_60,bottom,20,7515,0.008058095706686693,0.018653733411500006,2.073140490514099,50.31270791749834
return_20_plus_60,middle,20,7515,0.027057937269509728,0.0509748948642752,1.8195337839784422,51.36393878908849
return_20_plus_60,top,20,7515,-0.08729671532191463,0.0,1.9077339639979287,49.88689288090486
return_20_plus_60,top_minus_bottom,5,1518,-0.01937978795899358,-0.0029229133202446356,0.7144276087349931,49.670619235836625
return_20_plus_60,top_minus_bottom,10,1513,-0.04288385470621186,-0.02186917468528282,0.9772028053453091,49.04163912756114
return_20_plus_60,top_minus_bottom,20,1503,-0.09535481102860133,-0.13312982713118426,1.4092281617402882,46.04125083166999
