score_mode,period,bucket,horizon_bars,observation_count,mean_return_pct,median_return_pct,std_return_pct,hit_rate_pct
return_20_plus_60,2026-01,bottom,5,1260,0.034082302981513886,-0.02795073036474527,0.884961030336368,47.38095238095238
return_20_plus_60,2026-01,middle,5,1260,0.038702248758663266,0.0284015497883483,0.7968936237702957,51.90476190476191
return_20_plus_60,2026-01,top,5,1260,-0.027751118753357656,-0.010809410143475251,1.082048299997922,49.047619047619044
return_20_plus_60,2026-01,top_minus_bottom,5,252,-0.061833421734871524,-0.0028801045808102277,0.5552096256274374,49.2063492063492
return_20_plus_60,2026-01,bottom,10,1260,0.10272558394231862,-0.0016715699384828309,1.2069765256141503,49.76190476190476
return_20_plus_60,2026-01,middle,10,1260,0.03458907422509531,0.03988825125752493,1.1007056107340218,51.98412698412699
return_20_plus_60,2026-01,top,10,1260,-0.03404437976818152,0.013079552605566036,1.5433881656395398,50.63492063492063
return_20_plus_60,2026-01,top_minus_bottom,10,252,-0.13676996371050015,-0.052049284144325414,0.7586732933301606,48.01587301587302
return_20_plus_60,2026-01,bottom,20,1260,0.228920941531656,0.1857167277766636,1.5982347268545924,54.44444444444444
return_20_plus_60,2026-01,middle,20,1260,0.07764213832574139,0.05619000516842165,1.3358817234275377,51.90476190476191
return_20_plus_60,2026-01,top,20,1260,-0.01147712778422384,0.0988074052923893,2.182878062517355,53.01587301587302
return_20_plus_60,2026-01,top_minus_bottom,20,252,-0.24039806931587976,-0.23395351427372707,1.12030575388085,39.682539682539684
return_20_plus_60,2026-02,bottom,5,2460,0.023732280910980806,0.05085702109983714,1.2174993546484076,53.08943089430894
return_20_plus_60,2026-02,middle,5,2460,-0.030791673343363718,0.022372685404192794,1.1098084589178332,51.300813008130085
return_20_plus_60,2026-02,top,5,2460,-0.07741138344722484,-0.006756715332040253,1.0567882645886382,49.22764227642276
return_20_plus_60,2026-02,top_minus_bottom,5,492,-0.10114366435820564,-0.0772628083241167,0.8513207063059043,40.853658536585364
return_20_plus_60,2026-02,bottom,10,2460,0.0391441527474414,0.14561436385769344,1.7649246312108373,55.28455284552846
return_20_plus_60,2026-02,middle,10,2460,-0.02891437403346552,0.03167912965892361,1.5278394709335605,51.54471544715447
