period,bucket,horizon_bars,observation_count,mean_return_pct,median_return_pct,std_return_pct,hit_rate_pct
2026-01,bottom,5,1460,0.06034383000056895,0.008375356103296205,0.9241015086963963,50.34246575342466
2026-01,middle,5,1460,0.0037080695874848455,0.005608671805923393,0.944836768060375,50.136986301369866
2026-01,top,5,1460,0.003446497887250714,-0.00890606125222293,0.9543428586752504,49.109589041095894
2026-01,top_minus_bottom,5,292,-0.056897332113318246,-0.024046668615806954,0.5663642744710605,46.57534246575342
2026-01,bottom,10,1460,0.11621243268422472,0.035402245018234524,1.2274001346170256,50.68493150684932
2026-01,middle,10,1460,0.0033596361749839458,0.0412820599770547,1.29200469258753,52.465753424657535
2026-01,top,10,1460,0.004829210669236438,0.0033840268525375805,1.3468805421874397,50.06849315068494
2026-01,top_minus_bottom,10,292,-0.11138322201498829,-0.053359002189065086,0.768788519391628,46.23287671232877
2026-02,bottom,5,2460,-0.03912683649398581,0.01789571969935677,1.2077072570129457,51.178861788617894
2026-02,middle,5,2460,-0.027448011109626344,0.005663055077775869,1.0560367652368874,50.40650406504065
2026-02,top,5,2460,-0.017895928275995596,0.031484857894303886,1.123347571212215,52.03252032520326
2026-02,top_minus_bottom,5,492,0.021230908217990212,0.0178207189630597,0.8451787122933162,51.42276422764228
2026-02,bottom,10,2460,-0.08910372096296616,0.016839411483859923,1.749332694051012,50.609756097560975
2026-02,middle,10,2460,-0.02070023979741365,0.03421199889153126,1.4706025625033212,51.5040650406504
2026-02,top,10,2460,-0.05594216094495818,0.06467133671128611,1.5729923713473601,52.5609756097561
2026-02,top_minus_bottom,10,492,0.03316156001800798,-0.020060009025523184,1.0819646385739106,48.78048780487805
2026-03,bottom,5,2860,-0.020494117251361958,0.0,0.8939350014587872,49.93006993006993
2026-03,middle,5,2860,-0.005447677534074733,-0.020707413350457005,0.8533023515249752,48.25174825174825
2026-03,top,5,2860,-0.020397771147922922,-0.023957286944620293,0.929077370049856,47.65734265734265
2026-03,top_minus_bottom,5,572,9.634610343902082e-05,-0.01783486094792397,0.6229411942815016,47.55244755244755
2026-03,bottom,10,2860,-0.04215014392510342,-0.005792419241368307,1.2794970696884513,49.47552447552447
2026-03,middle,10,2860,-0.02948946335581377,-0.013512163694578971,1.2018769927485116,49.16083916083916
2026-03,top,10,2860,-0.023150049870496573,-0.05284876764653501,1.2378522506844774,47.58741258741259
2026-03,top_minus_bottom,10,572,0.019000094054606842,-0.06355788780398108,0.944772426171982,45.27972027972028
2026-04,bottom,5,1010,-0.039560548178254516,-0.0382009989099652,1.1424994991313726,47.32673267326732
2026-04,middle,5,1010,0.19535698490838554,0.08900634977206945,0.8903785352648789,58.118811881188115
2026-04,top,5,1010,0.03952300928567844,0.0032971790300595494,0.9282374764839406,50.2970297029703
2026-04,top_minus_bottom,5,202,0.07908355746393296,0.08981796655952556,0.7820295499444198,54.45544554455446
2026-04,bottom,10,985,0.035499983156765495,-0.07136803604086417,1.5019731263636582,46.7005076142132
2026-04,middle,10,985,0.2579025108446396,0.19097774819873958,1.2369941585971655,60.81218274111675
2026-04,top,10,985,0.06263096182734568,-0.012117948027468017,1.310622700231512,49.13705583756345
2026-04,top_minus_bottom,10,197,0.02713097867058019,0.05306421896148927,1.0860053976729882,53.80710659898477
