symbol,bucket,membership_count,membership_share_pct,avg_5b_return_pct,avg_10b_return_pct
LLY,bottom,697,0.0,-0.022443920514419517,-0.03884416268667798
TSLA,bottom,657,0.0,-0.112957754370594,-0.08490626639531927
QCOM,bottom,633,0.0,0.04975746272497888,0.08035691744358323
HD,bottom,600,0.0,0.045470391777436156,0.09078966937319531
AMD,bottom,599,0.0,0.0610297112214821,0.001152590793389305
ABBV,bottom,561,0.0,-0.028579011292391952,-0.08560643452853718
MSFT,bottom,548,0.0,-0.14351981935192484,-0.18731928067489517
GOOGL,bottom,501,0.0,-0.03931324154839849,-0.1396805894055107
C,bottom,480,0.0,-0.015708622226289024,-0.11020712661330231
COP,bottom,478,0.0,0.007369969863006712,0.17741579109404668
XOM,bottom,473,0.0,-0.07604469727131773,-0.08317154957830677
WFC,bottom,455,0.0,0.01657585341884854,0.051209623963637
HON,bottom,404,0.0,0.11545880465758433,0.2395159332739752
BAC,bottom,370,0.0,0.031167776632636795,0.030022972671616615
JPM,bottom,359,0.0,-0.06781175192622328,-0.16970227098403878
JPM,middle,818,0.0,0.021818379849845124,0.04943313602028759
BAC,middle,742,0.0,0.021639077967691454,0.030712505107903406
HON,middle,639,0.0,0.04870980599006232,0.04736229146789221
WFC,middle,603,0.0,0.0007919684328026394,0.026881153573726734
GOOGL,middle,584,0.0,-0.07637617524630051,-0.07537994908995692
HD,middle,559,0.0,-0.03388729666762648,-0.05334126121072104
QCOM,middle,557,0.0,-0.15614721063406803,-0.25702997323499555
MSFT,middle,541,0.0,0.013565443908641048,-0.054712257790946385
ABBV,middle,511,0.0,0.0011526604759388983,-0.01644353563456445
C,middle,466,0.0,0.1866337840345244,0.3515808062789036
XOM,middle,394,0.0,0.11465163538921319,0.17360312389979823
TSLA,middle,390,0.0,0.010516599856508544,-0.21257773810243574
LLY,middle,385,0.0,-0.12581416431390471,-0.20669568794740076
COP,middle,319,0.0,0.23088639809796108,0.28057174822469694
AMD,middle,307,0.0,0.11716279871871438,0.3708562336945349
COP,top,766,9.80166346769034,0.036572838404150855,0.05769743514440903
XOM,top,696,8.90595009596929,0.10252863431008766,0.19574701909327685
AMD,top,657,8.406909788867562,0.008072705319576162,0.022421125404744075
C,top,617,7.895073576455534,-0.01728180242557311,0.011935543285588903
HON,top,520,6.653870761356366,-0.05456457294118657,-0.05589768581178929
TSLA,top,516,6.602687140115163,-0.05600798024282447,-0.12672225053894012
WFC,top,505,6.461932181701855,-0.035938301459116376,-0.12408589659510333
ABBV,top,491,6.282789507357646,-0.032137218015297196,-0.01286327232895361
LLY,top,481,6.154830454254639,0.004110706590573554,-0.004489785424365141
GOOGL,top,478,6.1164427383237365,0.09800976454293343,0.16355906062546216
MSFT,top,474,6.065259117082534,-0.023499218196192967,-0.07396178136931404
BAC,top,451,5.770953294945618,-0.03375901196659655,-0.031416249204906564
HD,top,404,5.169545745361484,-0.13014959729542638,-0.2944282805077964
JPM,top,386,4.939219449776071,0.04658105991681894,0.09512709830012822
QCOM,top,373,4.772872680742162,-0.13324573928909259,-0.33702995474404646
