symbol,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_expectancy_pct,median_net_return_pct,net_win_rate_pct,net_profit_factor
ABBV,1,438,0.010092747657881195,-0.001095098339829921,49.31506849315068,-0.03809569876135571,-0.05062008777418896,41.0958904109589,0.665399105146673
ABBV,2,438,0.011974397398941421,0.002259784868484888,50.0,-0.0362145749451656,-0.04597695263738615,43.15068493150685,0.7744516922672198
ABBV,4,438,0.020879853390058475,0.02220568851002304,50.91324200913242,-0.027311249236710945,-0.026502100124247363,48.401826484018265,0.8776286752869095
AMD,1,559,0.017282114676492943,0.017545178835499706,51.341681574239715,-0.032127811444153075,-0.03039411025027903,46.51162790697674,0.8212370869772005
AMD,2,559,0.07386457702292536,0.030570132980079618,52.59391771019678,0.024441144566406958,-0.021815713861099085,48.837209302325576,1.0959685354550517
AMD,4,559,0.19624640074751035,0.028021908037196185,52.23613595706619,0.14679392826326523,-0.022296326364937613,49.19499105545617,1.4031868047260156
BAC,1,379,0.01862442626061551,0.010472300764483314,52.5065963060686,-0.18322013374367013,-0.1881285266457553,18.733509234828496,0.16329091310737887
BAC,2,379,0.053242084698785684,0.04771447657218929,54.089709762532976,-0.14863866842502677,-0.16110055154855443,27.440633245382585,0.39260910340704447
BAC,4,379,0.08911943431364588,0.03888402838533298,53.562005277044854,-0.11280058490426846,-0.16215374759768791,38.78627968337731,0.6296571675030975
C,1,393,0.022287886379301666,0.017937219730938137,53.68956743002544,-0.06823806581891896,-0.06849230905626201,40.20356234096692,0.5598066111054573
C,2,393,0.04725297732397359,0.021577766269640673,52.926208651399484,-0.043285122945781504,-0.07129046563192105,42.23918575063613,0.8018221260235954
C,4,393,0.11116878838996212,0.08288819303739493,55.97964376590331,0.020601078734001906,-0.0112055601583279,49.10941475826972,1.0690235114240758
COP,1,315,0.01837869680123722,0.022806750798237144,53.333333333333336,-0.07367159388075842,-0.06348044921712699,39.04761904761905,0.4814784187284892
COP,2,314,0.03687233311992331,0.03455564147961701,54.14012738853503,-0.05521348604429444,-0.05706321773266154,43.63057324840764,0.7064770957260137
COP,4,312,0.06569633818486395,0.015993256783832278,51.92307692307693,-0.02645541596552585,-0.07709894598515347,41.98717948717949,0.88365798801877
GOOGL,1,475,0.008011491707762011,0.0,49.684210526315795,-0.026562643017720974,-0.03484911307394896,43.15789473684211,0.7622912919438389
GOOGL,2,475,-0.0022517540277140194,0.0049033228184254965,50.526315789473685,-0.036824187675411874,-0.02848305084744425,45.26315789473684,0.7925384424955949
GOOGL,4,475,0.009465089570455222,-0.012393493415962964,48.0,-0.02510929375944003,-0.04776193623836207,45.473684210526315,0.9017651607163055
HD,1,460,0.001336136411956552,0.0,49.78260869565217,-0.029200781553426463,-0.03138737963791414,43.913043478260875,0.706854476086849
HD,2,460,0.0062697778040065886,-0.01215815466656402,48.47826086956522,-0.024267791408611978,-0.042594844396978714,44.34782608695652,0.8303293406714589
HD,4,460,0.006920158629844356,-0.03538798077577739,47.391304347826086,-0.023617890960959818,-0.06495727365940525,44.130434782608695,0.8886806463683615
HON,1,404,-0.0002101231729346489,0.008803097985348637,52.722772277227726,-0.04597350333534317,-0.03622995361063772,40.84158415841584,0.5407710594095735
HON,2,404,0.030993230959728706,0.03733705638513071,54.45544554455446,-0.014777126344278125,-0.007347510810143377,48.51485148514851,0.8989214240010693
HON,4,404,0.11415171265521275,0.08577415378551502,56.930693069306926,0.06836280152509362,0.040686176374885,53.21782178217822,1.3644421287912332
JPM,1,385,0.007035586393753891,0.007055669230240124,51.688311688311686,-0.02862784346346209,-0.028129672856516665,42.857142857142854,0.7124100897857569
JPM,2,385,0.01130149590397593,0.015218898489952455,52.2077922077922,-0.024362764598734644,-0.019022593624265484,46.23376623376623,0.8449389246500347
JPM,4,385,0.03786160185658547,0.03151260504200805,54.285714285714285,0.0021925706835942034,-0.005470776065521932,49.35064935064935,1.0094500301598515
LLY,1,536,0.011748104791739626,0.007205443461246359,50.74626865671642,-0.0003825662348597542,-0.00508788744573394,49.25373134328358,0.9959669508961373
LLY,2,536,0.012843425836743265,0.01763461881120565,52.052238805970156,0.0007126585748085237,0.005503012650859774,50.373134328358205,1.005004739336812
LLY,4,536,0.0007942098754987292,0.014451001718709089,51.30597014925373,-0.011336030713606844,0.0029697799797077096,50.18656716417911,0.9497920632922792
MSFT,1,545,-0.0011151319990763532,0.01112223334444545,52.11009174311927,-0.028391549256299803,-0.016879107253566873,45.68807339449542,0.712413034223365
MSFT,2,545,-0.00849648964267503,-0.008360271987507724,48.80733944954129,-0.03577212373186597,-0.03574821134478725,44.77064220183487,0.7585247994066568
MSFT,4,545,-0.007658817861488731,-0.046856696602876474,46.055045871559635,-0.03493466216944886,-0.07487870900571351,44.03669724770643,0.8397328581694256
QCOM,1,530,0.003250375762896866,0.0035457765376906455,50.37735849056604,-0.07095719832925063,-0.06991535818883676,37.735849056603776,0.4854303468895825
QCOM,2,530,-0.010643241033613063,-0.022983877964129838,46.41509433962264,-0.08484611597607354,-0.09347460418462675,37.924528301886795,0.5765947027437587
QCOM,4,530,-0.04468188049835775,-0.028239593244147182,46.41509433962264,-0.11887381013341043,-0.10677037463656802,41.132075471698116,0.612389829049193
TSLA,1,543,-0.01830997285220862,0.0024635396137147477,50.27624309392266,-0.0456757284897899,-0.02416912579748214,47.51381215469613,0.6839547621430306
TSLA,2,542,-0.022338512664811617,-0.008869763655052005,48.8929889298893,-0.0496980915857535,-0.03650797096574365,46.494464944649444,0.7750375902627183
TSLA,4,540,-0.017881220241776734,-0.06473967516970211,46.111111111111114,-0.04523012844593673,-0.09196363356297751,43.888888888888886,0.868427550597601
WFC,1,383,0.007621664217428372,0.01704448610874447,51.958224543080945,-0.11605316679853805,-0.11224007839294926,30.548302872062667,0.3368640711803677
WFC,2,383,0.012570671893479747,-0.006184674376888432,48.825065274151434,-0.11110721442102812,-0.13179788614869495,36.0313315926893,0.5157268121447285
WFC,4,383,0.03665550972490527,0.011610356437948586,50.391644908616186,-0.08703738553303289,-0.11945070161337981,40.73107049608355,0.7203711607701708
XOM,1,318,0.0024479571823650082,0.001676052561006789,50.0,-0.0660099177091185,-0.06483610922098251,38.36477987421384,0.5014491119437193
XOM,2,317,0.019104595291842427,0.011605415860724454,50.473186119873816,-0.04936156246736566,-0.060227553278218694,42.90220820189275,0.7042411380216814
XOM,4,315,0.0466713918510392,0.039241334205364464,55.23809523809524,-0.021806925135227043,-0.028152337365168024,47.3015873015873,0.9024653667456257
