trend_proxy,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_expectancy_pct,median_net_return_pct,net_win_rate_pct,net_profit_factor
mixed,1,1267,0.0072047023034489495,0.009920634920639996,52.012628255722184,-0.055077467564836495,-0.04903240684550383,41.43646408839779,0.596375542262106
mixed,2,1266,0.016460722463763733,0.015669908402926244,51.65876777251185,-0.04580841481236212,-0.049508496367195676,43.99684044233807,0.7551807437617125
mixed,4,1264,0.036878196332433624,-0.004532603134355791,49.446202531645575,-0.025358810079954785,-0.07275367389210033,44.2246835443038,0.9026439092242214
range,1,1837,-0.002157323902473096,0.0021313781491092768,50.027218290691344,-0.062124078998365154,-0.05186718068221125,40.33750680457267,0.5579025019504921
range,2,1836,-0.00036725246741483165,0.003130217354721289,50.27233115468409,-0.06033096733030417,-0.05411187155456218,43.028322440087145,0.7089893989286132
range,4,1834,-0.014713072147037104,0.0,49.781897491821155,-0.07466733464005902,-0.054986810730309796,44.547437295528894,0.7624716027936463
trend,1,3505,0.010245011319170773,0.010349824052981686,51.583452211126954,-0.048370833986078,-0.05028585224531526,41.36947218259629,0.6202751456560723
trend,2,3504,0.024878053474730977,0.007163888575374505,50.62785388127854,-0.0337526904300104,-0.05357962124811593,43.57876712328767,0.809360022105595
trend,4,3502,0.07021625232463238,0.01880849759010438,51.28498001142204,0.011552813877356682,-0.04007581873835875,46.71616219303255,1.0472179459176103
unknown,1,54,0.05232138335861872,-0.0077252985210115145,48.148148148148145,0.0030207423647351833,-0.03745139055289996,42.592592592592595,1.0362206684100432
unknown,2,54,0.06642864078168186,0.07212292821519058,59.25925925925925,0.01711860330073275,0.0211343124563939,53.70370370370371,1.1569839271034366
unknown,4,54,0.20945411548304912,0.1318894702213885,72.22222222222221,0.16010814234919374,0.10749452902472853,72.22222222222221,3.101229069632537
