symbol,best_horizon_bars,best_net_expectancy_pct,avg_net_expectancy_pct,avg_gross_return_pct,best_net_profit_factor,best_net_win_rate_pct,realized_pnl,realized_expectancy,realized_trades
AMD,4,0.14679392826326523,0.046369087128506375,0.09579769748230955,1.4031868047260156,49.19499105545617,252.49286510441573,3.4588063712933663,146
HON,4,0.06836280152509362,0.002537390615157444,0.04831160681400227,1.3644421287912332,53.21782178217822,95.97324709457325,1.5233848745170357,126
C,4,0.020601078734001906,-0.030307370010232853,0.060236550697745785,1.0690235114240758,49.10941475826972,79.05630528999393,1.1978228074241504,132
JPM,4,0.0021925706835942034,-0.016932679126200844,0.0187328947181051,1.0094500301598515,49.35064935064935,62.77202373221189,1.1209289952180694,112
LLY,2,0.0007126585748085237,-0.0036686461245526917,0.008461913501327207,1.005004739336812,50.373134328358205,-62.20515671216617,-0.9284351748084503,134
XOM,4,-0.021806925135227043,-0.04572613510390374,0.02274131477508221,0.9024653667456257,47.3015873015873,57.9725544919163,1.136716754743457,102
HD,4,-0.023617890960959818,-0.025695487974332753,0.004842024281935833,0.8886806463683615,44.130434782608695,8.406466447909906,0.15284484450745284,110
GOOGL,4,-0.02510929375944003,-0.029498708150857627,0.005074942416834405,0.9017651607163055,45.473684210526315,-0.8560640863342996,-0.013807485263456445,124
COP,4,-0.02645541596552585,-0.05178016529685956,0.040315789368674824,0.88365798801877,41.98717948717949,40.79811964777093,0.7845792239955949,104
ABBV,4,-0.027311249236710945,-0.03387384098107742,0.014315666148960363,0.8776286752869095,48.401826484018265,-4.039479318732219,-0.06411871934495586,126
MSFT,1,-0.028391549256299803,-0.03303277838587155,-0.005756813167746705,0.712413034223365,45.68807339449542,-52.67886144263002,-0.8928620583496614,118
TSLA,4,-0.04523012844593673,-0.04686798284049338,-0.01950990191959899,0.868427550597601,43.888888888888886,23.867662871935522,0.3616312556353867,132
QCOM,1,-0.07095719832925063,-0.0915590414795782,-0.017358248589691316,0.4854303468895825,37.735849056603776,-13.62902799278595,-0.2004268822468522,136
WFC,4,-0.08703738553303289,-0.10473258891753301,0.01894928194527113,0.7203711607701708,40.73107049608355,26.75411001296402,0.48643836387207307,110
BAC,4,-0.11280058490426846,-0.14821979569098845,0.05366198175768236,0.6296571675030975,38.78627968337731,31.018060990162212,0.5441765085993371,114
