month,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_expectancy_pct,median_net_return_pct,net_win_rate_pct,net_profit_factor
2026-01,1,1371,0.00553781492841174,0.002284200187302338,50.10940919037199,-0.06001814859182649,-0.06465227984685952,37.70970094821298,0.5256415597610844
2026-01,2,1371,0.01030433613730377,-0.00397946595566513,49.161196207148066,-0.05525223297850322,-0.07480291211646772,41.21079504011671,0.6955200421050374
2026-01,4,1371,0.0389075358057274,0.009698380370483092,50.54704595185996,-0.026652483251466897,-0.06109906754805934,44.63894967177243,0.8917699999921876
2026-02,1,1798,0.005682707379010779,0.009751171923423172,51.55728587319244,-0.04810018382457826,-0.043185335043585835,43.38153503893214,0.6542795324570633
2026-02,2,1798,0.031866188211186815,0.02552304087129936,52.39154616240267,-0.021925468923577874,-0.03246508445628819,46.88542825361513,0.8838368152004829
2026-02,4,1798,0.06328112868528551,0.04144375528320103,53.33704115684094,0.009477241619078756,-0.008467027931783378,49.22135706340378,1.0360878992827067
2026-03,1,2672,-0.0023035759414415722,0.0037679050438836955,50.374251497005986,-0.06386618163909634,-0.055038927954365144,40.41916167664671,0.5409680524291743
2026-03,2,2672,0.005047122284965159,-0.006661041997096141,49.101796407185624,-0.056520497247249696,-0.06748018493576638,41.31736526946108,0.7122754823444718
2026-03,4,2672,0.01773618228742605,-0.02043203799493397,48.16616766467065,-0.043840544883000834,-0.07859710117557483,43.450598802395206,0.8468218405977517
2026-04,1,822,0.039227221369712566,0.02578785480159325,54.98783454987834,-0.01686409730231274,-0.032311347891823064,44.038929440389296,0.8399817625026917
2026-04,2,819,0.03176591342275353,0.040741495212866206,55.55555555555556,-0.024310816454986128,-0.02111954495483133,47.74114774114774,0.847710769048053
2026-04,4,813,0.07666091474253295,0.039241334205364464,53.38253382533825,0.020606120846819436,-0.021628369536767878,48.33948339483395,1.0871795837266505
