symbol,realized_pnl,expectancy,win_rate,trades,avg_return_per_trade_pct
AMD,252.49286510441573,3.4588063712933663,71.23287671232876,146,0.34588063712933664
HON,95.97324709457325,1.5233848745170357,71.42857142857143,126,0.15233848745170359
C,79.05630528999393,1.1978228074241504,75.75757575757575,132,0.11978228074241504
JPM,62.77202373221189,1.1209289952180694,73.21428571428571,112,0.11209289952180694
XOM,57.9725544919163,1.136716754743457,72.54901960784314,102,0.11367167547434569
COP,40.79811964777093,0.7845792239955949,69.23076923076923,104,0.07845792239955948
BAC,31.018060990162212,0.5441765085993371,63.1578947368421,114,0.054417650859933706
WFC,26.75411001296402,0.48643836387207307,67.27272727272727,110,0.04864383638720731
TSLA,23.867662871935522,0.3616312556353867,66.66666666666666,132,0.036163125563538664
HD,8.406466447909906,0.15284484450745284,63.63636363636363,110,0.015284484450745284
GOOGL,-0.8560640863342996,-0.013807485263456445,69.35483870967742,124,-0.0013807485263456446
ABBV,-4.039479318732219,-0.06411871934495586,71.42857142857143,126,-0.006411871934495586
QCOM,-13.62902799278595,-0.2004268822468522,69.11764705882352,136,-0.02004268822468522
MSFT,-52.67886144263002,-0.8928620583496614,67.79661016949152,118,-0.08928620583496613
LLY,-62.20515671216617,-0.9284351748084503,59.70149253731343,134,-0.09284351748084503
