time_bucket,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_expectancy_pct,median_net_return_pct,net_win_rate_pct,net_profit_factor
afternoon,1,2599,0.01062454570382328,0.0067175709263596495,51.17352828010774,-0.04869209452486141,-0.051762894444118496,39.823008849557525,0.5824893861457537
afternoon,2,2596,0.041828767809959255,0.014722414169875655,51.73343605546995,-0.017499573934662904,-0.04477543277951668,44.29892141756548,0.9081413218693799
afternoon,4,2590,0.10361841094264168,0.0389183612161165,52.43243243243243,0.04426861680164995,-0.025607591368225255,48.14671814671815,1.139848358565485
midday,1,2141,-0.001509572869898436,0.0,49.976646426903315,-0.060911867191197816,-0.05361861219674893,39.560952825782344,0.4844711128477739
midday,2,2141,-0.011103621664814253,-0.011132634203907858,48.15506772536198,-0.07050209147396742,-0.06813955445991268,39.74778141055582,0.5484512558799027
midday,4,2141,-0.026599659843184433,-0.019404915912031785,47.4077533862681,-0.08599071262437358,-0.07970007770007896,41.56936011209715,0.587815801657522
morning,1,910,0.004606072293909009,0.01752269411980522,52.52747252747253,-0.053833414374088645,-0.04743526031906527,42.637362637362635,0.6172602272946094
morning,2,910,-0.0013268594242052487,0.011614822739007546,50.989010989010985,-0.05976374921453119,-0.05075150939982791,44.83516483516484,0.6730046318802094
morning,4,910,-0.0054293949188183276,-0.003799901681617832,49.01098901098901,-0.06386117316194737,-0.056105862688821166,44.065934065934066,0.7167225599040501
open_30m,1,1013,0.01513005787506848,0.026910958366505845,52.7147087857848,-0.046722871817633065,-0.03735651149083878,46.29812438302073,0.7608893466315526
open_30m,2,1013,0.026967087771331957,0.047009838487621754,53.800592300098714,-0.034893631089865006,-0.020137299356122185,48.76604146100691,0.8578325600898598
open_30m,4,1013,0.06945413670524966,0.06778592259792701,54.689042448173744,0.007575944722913193,0.009703924158566225,50.6416584402764,1.02601110886091
