symbol,bars,trading_days,within_session_missing_days,missing_slots_from_typical_session
ABBV,1586,61,0,0
AMD,1586,61,0,0
BAC,1586,61,0,0
C,1586,61,0,0
COP,1586,61,0,0
GOOGL,1586,61,0,0
HD,1586,61,0,0
HON,1586,61,0,0
JPM,1586,61,0,0
LLY,1586,61,0,0
MSFT,1586,61,0,0
QCOM,1586,61,0,0
TSLA,1586,61,0,0
WFC,1586,61,0,0
XOM,1586,61,0,0
