score_mode,bucket,horizon_bars,observation_count,mean_return_pct,median_return_pct,std_return_pct,hit_rate_pct
trend_consistency_20_x_slope_20,bottom,5,7695,-0.022712665675816646,-0.01307531380752014,1.0659650627675437,49.03183885640026
trend_consistency_20_x_slope_20,middle,5,7695,0.013398454711745897,0.020261599765869498,0.9298674582876361,51.44899285250163
trend_consistency_20_x_slope_20,top,5,7695,-0.0014238485485228536,0.0,0.9747467350678775,49.694606887589345
trend_consistency_20_x_slope_20,bottom,10,7670,-0.02935962863894201,-0.008751345106716713,1.459792017717853,49.50456323337679
trend_consistency_20_x_slope_20,middle,10,7670,-0.013946888145040512,0.025472582854257908,1.3443860740529858,51.225554106910046
trend_consistency_20_x_slope_20,top,10,7670,0.019758953864504103,0.016326750092954256,1.3545299437651641,50.75619295958279
trend_consistency_20_x_slope_20,bottom,20,7620,-0.03670563633820371,0.026829402325034835,2.0455181318793727,50.53805774278215
trend_consistency_20_x_slope_20,middle,20,7620,-0.043117868998203024,-0.006006726803386986,1.8723730625857447,49.803149606299215
trend_consistency_20_x_slope_20,top,20,7620,0.02909224044119057,0.045915058873102765,1.8606599297023931,51.3254593175853
trend_consistency_20_x_slope_20,top_minus_bottom,5,1539,0.021288817127293795,-0.004244026271296164,0.6628960729614644,49.707602339181285
trend_consistency_20_x_slope_20,top_minus_bottom,10,1534,0.04911858250344611,0.01424680221960406,0.9361439970474033,50.456323337679265
trend_consistency_20_x_slope_20,top_minus_bottom,20,1524,0.06579787677939429,0.08641803796200831,1.3259293821661484,52.95275590551181
