month,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_return_pct,median_net_return_pct,net_win_rate_pct
2026-01,1,2,-0.25866974015333083,-0.25866974015333083,0.0,-0.3046854367818298,-0.3046854367818298,0.0
2026-01,2,2,-0.20439215249251969,-0.20439215249251969,50.0,-0.25041987096047363,-0.25041987096047363,0.0
2026-01,4,2,-0.31319606221803087,-0.31319606221803087,0.0,-0.3591996273953555,-0.3591996273953555,0.0
2026-01,8,2,0.14005612446975524,0.14005612446975524,50.0,0.0939528537778983,0.0939528537778983,50.0
2026-02,1,13,-0.11102286272902392,-0.12917115177609076,46.15384615384615,-0.1598354719158736,-0.16190159901598236,30.76923076923077
2026-02,2,13,-0.12193823237157989,-0.1334901312653008,38.46153846153847,-0.17074712277532525,-0.16724723528665209,30.76923076923077
2026-02,4,13,-0.056446039403608844,-0.024077046548957575,46.15384615384615,-0.105261297706406,-0.10629201764941172,46.15384615384615
2026-02,8,13,-0.3487108713075039,-0.4195404125480702,30.76923076923077,-0.3974646792222635,-0.45325206559044773,30.76923076923077
2026-03,1,16,-0.08912835087960091,-0.15820256810090277,31.25,-0.15269915266798792,-0.2056496745925983,31.25
2026-03,2,16,-0.05754312156023981,-0.04305061766868945,37.5,-0.12112332492441097,-0.09188215357065133,31.25
2026-03,4,16,-0.11201047220031785,-0.1221707773862031,31.25,-0.17556869080841012,-0.18356918302431496,31.25
2026-03,8,16,-0.4009360155705134,-0.4490252003645134,25.0,-0.4644220494576218,-0.5180262989506332,25.0
2026-04,1,13,-0.154435300304169,-0.10493602938209602,46.15384615384615,-0.20453240784138682,-0.18758115141000645,46.15384615384615
2026-04,2,13,-0.2933347969916127,-0.26800454535708923,30.76923076923077,-0.3433982219754198,-0.31281863196929866,23.076923076923077
2026-04,4,13,-0.37382187638704134,-0.2498307221742261,30.76923076923077,-0.42384784040530915,-0.2984588342398297,30.76923076923077
2026-04,8,13,-0.2739680966776439,0.04436246468514271,61.53846153846154,-0.32402831272106164,-0.00433432152944988,46.15384615384615
