trend_proxy,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_return_pct,median_net_return_pct,net_win_rate_pct
mixed,1,12,-0.10831246786334447,-0.16819230664110246,41.66666666666667,-0.16534779577771794,-0.23078976376954757,41.66666666666667
mixed,2,12,-0.04897268497860648,-0.02084327652705029,50.0,-0.10602182464840836,-0.08239031875854722,33.33333333333333
mixed,4,12,-0.19759141177039533,-0.1415705834827556,41.66666666666667,-0.25458609539987453,-0.2115131597092898,41.66666666666667
mixed,8,12,-0.5608667548637608,-0.5027342273868092,25.0,-0.6177686902082561,-0.5447251807425516,25.0
trend,1,32,-0.12795623748286405,-0.13863181610731243,37.5,-0.1814114438676011,-0.17807914742631964,31.25
trend,2,32,-0.19188598162272194,-0.19608383027063897,31.25,-0.24532626645907207,-0.2637044242599302,25.0
trend,4,32,-0.17627955136483928,-0.1513523928008565,31.25,-0.2297151236993461,-0.21797717589870447,31.25
trend,8,32,-0.23435279767595293,-0.22939714945737114,43.75,-0.287782240516572,-0.28561941664745516,37.5
