symbol,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_return_pct,median_net_return_pct,net_win_rate_pct
AMD,1,14,-0.199065312830448,-0.15820256810090277,35.714285714285715,-0.2463674843285048,-0.2056496745925983,35.714285714285715
AMD,2,14,-0.23790783474335633,-0.042797101961669935,35.714285714285715,-0.2852013814646187,-0.09188215357065133,28.57142857142857
AMD,4,14,-0.16103521991604902,-0.1221707773862031,42.857142857142854,-0.2083439135774727,-0.1711728947775839,42.857142857142854
AMD,8,14,-0.6260431004099946,-0.577792895924787,35.714285714285715,-0.673247624839617,-0.6266442545629729,21.428571428571427
C,1,11,-0.00014183647974790048,0.05216693418941569,54.54545454545454,-0.08799552070866266,-0.030078620136362134,36.36363636363637
C,2,11,-0.043452215916357124,-0.15341575670066032,45.45454545454545,-0.13129003852696788,-0.24555042395815008,36.36363636363637
C,4,11,-0.2365740997943715,-0.14404609475031419,18.181818181818183,-0.3243285838053525,-0.22598208143347165,18.181818181818183
C,8,11,-0.24710148413086755,-0.32839265110500093,27.27272727272727,-0.3348526689563735,-0.41896238466997604,27.27272727272727
HON,1,12,-0.11017538162795593,-0.2025577646457516,25.0,-0.15438513454855732,-0.2462498150607473,25.0
HON,2,12,-0.058738266726006884,-0.11716561639137754,50.0,-0.10295874562935885,-0.16181783598809715,33.33333333333333
HON,4,12,-0.14785297481645318,-0.19801588109760154,33.33333333333333,-0.1920549233992129,-0.24338272198780259,33.33333333333333
HON,8,12,0.007627922936615993,0.23455870718138588,58.333333333333336,-0.03660767544616591,0.18930164567345853,58.333333333333336
JPM,1,7,-0.1833957219104019,-0.12917115177609076,42.857142857142854,-0.21708894715982943,-0.16190159901598236,42.857142857142854
JPM,2,7,-0.31635433849591144,-0.32292787944024437,0.0,-0.3500268158025132,-0.35562853628536,0.0
JPM,4,7,-0.1972855300799126,-0.432771462171696,42.857142857142854,-0.23097554434907414,-0.46605894802854664,42.857142857142854
JPM,8,7,-0.40550084686507853,-0.4195404125480702,28.57142857142857,-0.43915968105723424,-0.45325206559044773,28.57142857142857
