volatility_regime,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_return_pct,median_net_return_pct,net_win_rate_pct
high_vol,1,32,-0.11998473302274344,-0.1170535905790934,37.5,-0.17295247992387103,-0.1747413752129944,37.5
high_vol,2,32,-0.1504600483916725,-0.11804091655513593,34.375,-0.20342458989199308,-0.1527263266177556,25.0
high_vol,4,32,-0.16282028898228013,-0.14097036638364235,37.5,-0.21576333043851542,-0.20673424347546643,37.5
high_vol,8,32,-0.35008478634586226,-0.2866374863169871,37.5,-0.4029834748031679,-0.35518570566604807,34.375
low_vol,1,4,0.24551834596043293,0.2492928427534449,100.0,0.19189537000164308,0.20603870065167484,75.0
low_vol,2,4,0.24265830281175726,0.16249749682931516,100.0,0.18903514171158517,0.11612135539361929,100.0
low_vol,4,4,0.28315791204753743,0.36182786261775196,75.0,0.22953763079030692,0.3172432328331411,75.0
low_vol,8,4,0.19832892986779596,0.2975152614436463,75.0,0.14475492291525988,0.2529448800282239,75.0
mid_vol,1,8,-0.31711389261571565,-0.26634508655472633,12.5,-0.3778052344423187,-0.3205487507768282,0.0
mid_vol,2,8,-0.3604919117979861,-0.3590811143239793,12.5,-0.4211570140967211,-0.4244180768458307,0.0
mid_vol,4,8,-0.4918031232095981,-0.5234073339422446,0.0,-0.552455131538288,-0.5886922983741101,0.0
mid_vol,8,8,-0.4775366425499021,-0.4052741128478203,25.0,-0.5382255596236306,-0.4720304423815491,12.5
