time_bucket,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_return_pct,median_net_return_pct,net_win_rate_pct
afternoon,1,5,-0.13667152847538194,-0.09309929834918326,20.0,-0.19915552202770412,-0.14048214488410624,0.0
afternoon,2,5,-0.20582280617733928,-0.34602076124568143,40.0,-0.2682790422179414,-0.39316376873856596,40.0
afternoon,4,5,-0.09080784325108823,-0.14404609475031419,20.0,-0.15330030516525084,-0.22598208143347165,20.0
afternoon,8,5,-0.4024594247736271,-0.26113217829650476,40.0,-0.4649145642912732,-0.30847687802220203,40.0
midday,1,1,-0.3970760761664089,-0.3970760761664089,0.0,-0.4891008479162906,-0.4891008479162906,0.0
midday,2,1,-0.15341575670066032,-0.15341575670066032,0.0,-0.24555042395815008,-0.24555042395815008,0.0
midday,4,1,-1.0648858406281083,-1.0648858406281083,0.0,-1.1566094172830617,-1.1566094172830617,0.0
midday,8,1,-1.308546160093857,-1.308546160093857,0.0,-1.4001598412412022,-1.4001598412412022,0.0
morning,1,11,0.11439720159947576,0.11207359499403706,81.81818181818183,0.05567843611624374,0.06336100282451299,72.72727272727273
morning,2,11,0.03823244207459499,0.008761170492382264,54.54545454545454,-0.0204734837707065,-0.08081600840702095,45.45454545454545
morning,4,11,0.11294181872023148,-0.024077046548957575,45.45454545454545,0.05421963841933513,-0.10629201764941172,45.45454545454545
morning,8,11,0.05744327207033468,0.04436246468514271,54.54545454545454,-0.0012400239616402768,-0.00433432152944988,45.45454545454545
open_30m,1,27,-0.20638091529121108,-0.2314485839001089,25.925925925925924,-0.2561823737896192,-0.2811011019681473,25.925925925925924
open_30m,2,27,-0.22096484099642846,-0.1334901312653008,29.629629629629626,-0.27076105429428066,-0.16724723528665209,18.51851851851852
open_30m,4,27,-0.2864991679243925,-0.26626431170675174,33.33333333333333,-0.3362674882474422,-0.356861603974437,33.33333333333333
open_30m,8,27,-0.42743419602990046,-0.36681222707423733,33.33333333333333,-0.4771808538056951,-0.41896238466997604,29.629629629629626
