score_mode,period,bucket,horizon_bars,observation_count,mean_return_pct,median_return_pct,std_return_pct,hit_rate_pct
trend_consistency_20_x_slope_20_over_atr_20,2026-01,bottom,5,1365,0.0408422595126571,0.0018348623853192692,0.8031303460750864,50.03663003663004
trend_consistency_20_x_slope_20_over_atr_20,2026-01,middle,5,1365,0.007746338681990333,0.00936329588014928,1.003455053132732,50.76923076923077
trend_consistency_20_x_slope_20_over_atr_20,2026-01,top,5,1365,-0.004319544122949092,-0.021604804908614827,0.9155745956594858,48.13186813186813
trend_consistency_20_x_slope_20_over_atr_20,2026-01,top_minus_bottom,5,273,-0.04516180363560619,-0.04359359181183686,0.505309463409756,41.39194139194139
trend_consistency_20_x_slope_20_over_atr_20,2026-01,bottom,10,1365,0.09081716638711788,0.08049511091170469,1.1073975395909126,52.8937728937729
trend_consistency_20_x_slope_20_over_atr_20,2026-01,middle,10,1365,0.022358761863837957,0.03339100871202483,1.4186203709145935,51.575091575091584
trend_consistency_20_x_slope_20_over_atr_20,2026-01,top,10,1365,-0.005094523661610874,-0.031852769421336635,1.2689524528288154,48.57142857142857
trend_consistency_20_x_slope_20_over_atr_20,2026-01,top_minus_bottom,10,273,-0.09591169004872872,-0.08847638341844544,0.6586172927953251,41.02564102564102
trend_consistency_20_x_slope_20_over_atr_20,2026-01,bottom,20,1365,0.1687235346778235,0.2297165200390916,1.4880306534247036,55.53113553113553
trend_consistency_20_x_slope_20_over_atr_20,2026-01,middle,20,1365,0.027226317687789343,0.1130780816183119,1.8874354054914422,53.40659340659341
trend_consistency_20_x_slope_20_over_atr_20,2026-01,top,20,1365,0.08051453513528346,0.009479571523374197,1.7176884592708646,50.4029304029304
trend_consistency_20_x_slope_20_over_atr_20,2026-01,top_minus_bottom,20,273,-0.08820899954254002,-0.10031575116942859,0.9549173711219414,45.42124542124542
trend_consistency_20_x_slope_20_over_atr_20,2026-02,bottom,5,2460,-0.0013429443739460796,0.026948392044678915,1.1866865346666393,51.58536585365854
trend_consistency_20_x_slope_20_over_atr_20,2026-02,middle,5,2460,-0.0879568592691442,-0.007854341581009505,1.0996293394542687,49.51219512195122
trend_consistency_20_x_slope_20_over_atr_20,2026-02,top,5,2460,0.0048290277634825554,0.03686044677211342,1.1014143874899642,52.52032520325203
trend_consistency_20_x_slope_20_over_atr_20,2026-02,top_minus_bottom,5,492,0.00617197213742864,-0.012192711151335356,0.712521568085256,49.390243902439025
trend_consistency_20_x_slope_20_over_atr_20,2026-02,bottom,10,2460,0.01816451551863818,0.07434337185250328,1.6249755264815682,52.5609756097561
trend_consistency_20_x_slope_20_over_atr_20,2026-02,middle,10,2460,-0.19967004353054585,-0.017845104555858082,1.6355022776422243,49.146341463414636
trend_consistency_20_x_slope_20_over_atr_20,2026-02,top,10,2460,0.015759406306569666,0.07760465816909479,1.533877333228052,52.96747967479675
trend_consistency_20_x_slope_20_over_atr_20,2026-02,top_minus_bottom,10,492,-0.002405109212068528,-0.03194606660626764,0.9967288215661138,47.96747967479675
trend_consistency_20_x_slope_20_over_atr_20,2026-02,bottom,20,2460,-0.045432174677197464,0.08352297119902374,2.3336945539585963,51.951219512195124
trend_consistency_20_x_slope_20_over_atr_20,2026-02,middle,20,2460,-0.28184423322938856,-0.0866206370333189,2.2567020714451624,47.60162601626016
trend_consistency_20_x_slope_20_over_atr_20,2026-02,top,20,2460,-0.00521324222137017,0.0533065911737185,2.0322275334630917,51.38211382113821
trend_consistency_20_x_slope_20_over_atr_20,2026-02,top_minus_bottom,20,492,0.040218932455827285,-0.018138754577017302,1.375438574087979,49.390243902439025
trend_consistency_20_x_slope_20_over_atr_20,2026-03,bottom,5,2860,-0.05039030952478363,-0.030379164046390184,0.9923075661327307,48.04195804195805
trend_consistency_20_x_slope_20_over_atr_20,2026-03,middle,5,2860,-0.00404852203740393,-0.023957286944620293,0.8812535830494822,47.7972027972028
trend_consistency_20_x_slope_20_over_atr_20,2026-03,top,5,2860,0.008099265628827965,0.0006091321085754942,0.7920807087790553,50.0
trend_consistency_20_x_slope_20_over_atr_20,2026-03,top_minus_bottom,5,572,0.058489575153611605,0.022155566065767962,0.6658406089109496,51.92307692307693
trend_consistency_20_x_slope_20_over_atr_20,2026-03,bottom,10,2860,-0.09710216425346639,-0.06666423063191873,1.3864251795413567,46.74825174825175
trend_consistency_20_x_slope_20_over_atr_20,2026-03,middle,10,2860,-0.044099992900914306,-0.06227176404050572,1.235396494844897,47.16783216783217
trend_consistency_20_x_slope_20_over_atr_20,2026-03,top,10,2860,0.04641250000296692,0.04151349129519755,1.074790398952586,52.307692307692314
trend_consistency_20_x_slope_20_over_atr_20,2026-03,top_minus_bottom,10,572,0.1435146642564333,0.07840244598371626,0.9459656602939528,55.069930069930074
trend_consistency_20_x_slope_20_over_atr_20,2026-03,bottom,20,2860,-0.13266271290417192,-0.09753487088650092,1.972902995218567,47.13286713286713
trend_consistency_20_x_slope_20_over_atr_20,2026-03,middle,20,2860,-0.12637471534602157,-0.1712530289905423,1.703738713942892,45.87412587412587
trend_consistency_20_x_slope_20_over_atr_20,2026-03,top,20,2860,0.05272364556356702,0.10658500575473351,1.51006409543283,52.55244755244755
trend_consistency_20_x_slope_20_over_atr_20,2026-03,top_minus_bottom,20,572,0.18538635846773893,0.14298955009749204,1.3324974396667575,56.64335664335665
trend_consistency_20_x_slope_20_over_atr_20,2026-04,bottom,5,1010,0.037941741286219466,0.017714661940793075,0.9858157525355364,50.693069306930695
trend_consistency_20_x_slope_20_over_atr_20,2026-04,middle,5,1010,0.13548887500975798,0.03220175476198461,1.0807686613641534,52.87128712871287
trend_consistency_20_x_slope_20_over_atr_20,2026-04,top,5,1010,0.02188882971983205,0.03371846663382527,0.9169655293024838,52.178217821782184
trend_consistency_20_x_slope_20_over_atr_20,2026-04,top_minus_bottom,5,202,-0.01605291156638742,-0.0026371086906706864,0.7588775869999413,50.0
trend_consistency_20_x_slope_20_over_atr_20,2026-04,bottom,10,985,0.06890135290681544,-0.0014375044921965952,1.3353776535472293,49.9492385786802
trend_consistency_20_x_slope_20_over_atr_20,2026-04,middle,10,985,0.21246261410984588,0.060264302010248905,1.4462336700635154,53.401015228426395
trend_consistency_20_x_slope_20_over_atr_20,2026-04,top,10,985,0.07466948881208943,0.07252800386816638,1.282660390346121,53.299492385786806
trend_consistency_20_x_slope_20_over_atr_20,2026-04,top_minus_bottom,10,197,0.005768135905273998,0.1076895220480778,0.9893579175013787,57.360406091370564
trend_consistency_20_x_slope_20_over_atr_20,2026-04,bottom,20,935,0.17204960153811516,0.0998138606382648,1.8527205516378298,52.406417112299465
trend_consistency_20_x_slope_20_over_atr_20,2026-04,middle,20,935,0.3642731888846046,0.1789723731736803,2.060650978667277,54.54545454545454
trend_consistency_20_x_slope_20_over_atr_20,2026-04,top,20,935,0.1524855842919896,0.09401525733319094,1.892647177790434,54.11764705882353
trend_consistency_20_x_slope_20_over_atr_20,2026-04,top_minus_bottom,20,187,-0.0195640172461256,0.26823651005059457,1.350034037931214,63.101604278074866
