score_mode,bucket,horizon_bars,observation_count,mean_return_pct,median_return_pct,std_return_pct,hit_rate_pct
trend_consistency_20_x_slope_20_over_atr_20,bottom,5,7695,-0.0069329545765990834,0.0,1.0293313986159933,49.876543209876544
trend_consistency_20_x_slope_20_over_atr_20,middle,5,7695,-0.010465903933501981,-0.004367956669870665,1.0059434318269018,49.538661468486026
trend_consistency_20_x_slope_20_over_atr_20,top,5,7695,0.006660798997507468,0.010158472165788801,0.9381451541228731,50.76023391812865
trend_consistency_20_x_slope_20_over_atr_20,bottom,10,7670,-0.005370823579848077,0.004365271155537531,1.4200591943361793,50.11734028683181
trend_consistency_20_x_slope_20_over_atr_20,middle,10,7670,-0.04922019582000271,-0.009174101516257194,1.4390067703578937,49.38722294654498
trend_consistency_20_x_slope_20_over_atr_20,top,10,7670,0.031043456480372374,0.04027966980636455,1.297629056868748,51.98174706649284
trend_consistency_20_x_slope_20_over_atr_20,bottom,20,7620,-0.013123950963053892,0.0325022783603357,2.013149447041896,50.83989501312336
trend_consistency_20_x_slope_20_over_atr_20,middle,20,7620,-0.0888463444072152,-0.043541512839878616,1.983158597631548,48.84514435695538
trend_consistency_20_x_slope_20_over_atr_20,top,20,7620,0.05123903047505294,0.07261942495854212,1.7775414007644077,51.98162729658793
trend_consistency_20_x_slope_20_over_atr_20,top_minus_bottom,5,1539,0.013593753574106547,-0.00932501039095257,0.6704147331088641,48.99285250162443
trend_consistency_20_x_slope_20_over_atr_20,top_minus_bottom,10,1534,0.036414280060220454,0.009076575220250405,0.9290893001975326,50.58670143415907
trend_consistency_20_x_slope_20_over_atr_20,top_minus_bottom,20,1524,0.06436298143810683,0.08272514912826434,1.294166324391339,53.08398950131233
