score_mode,symbol,bucket,membership_count,membership_share_pct,avg_5b_return_pct,avg_10b_return_pct,avg_20b_return_pct
trend_consistency_20_x_slope_20_over_atr_20,QCOM,bottom,667,0.0,0.00849047639765925,-0.0414872206855223,0.03556353013139364
trend_consistency_20_x_slope_20_over_atr_20,WFC,bottom,619,0.0,0.053746000732595604,0.09371056709233085,0.0656636997747967
trend_consistency_20_x_slope_20_over_atr_20,BAC,bottom,596,0.0,-0.04803657721085137,-0.08366532069205522,-0.13966330275020844
trend_consistency_20_x_slope_20_over_atr_20,LLY,bottom,534,0.0,-0.08500256262638091,-0.10937192623048711,-0.29174618091031906
trend_consistency_20_x_slope_20_over_atr_20,HON,bottom,525,0.0,0.014826323630997203,-0.013637305177550695,-0.02571599769540471
trend_consistency_20_x_slope_20_over_atr_20,AMD,bottom,513,0.0,-0.13992936511298937,-0.1442659610699472,-0.28525394875360294
trend_consistency_20_x_slope_20_over_atr_20,HD,bottom,508,0.0,0.016978678175789234,0.100855047899351,0.23212491310917716
trend_consistency_20_x_slope_20_over_atr_20,ABBV,bottom,504,0.0,-0.006788271168387051,-0.006221633341307942,-0.11722937655662415
trend_consistency_20_x_slope_20_over_atr_20,COP,bottom,495,0.0,0.14025405248178258,0.24601271456359386,0.5683870912055071
trend_consistency_20_x_slope_20_over_atr_20,MSFT,bottom,495,0.0,-0.07995822025023887,-0.10192853385126818,-0.10173819483263416
trend_consistency_20_x_slope_20_over_atr_20,TSLA,bottom,492,0.0,0.024911640693050307,-0.06719358328463491,-0.20595975213303302
trend_consistency_20_x_slope_20_over_atr_20,XOM,bottom,484,0.0,0.09493647139965436,0.21928827456839145,0.48400946845205645
trend_consistency_20_x_slope_20_over_atr_20,GOOGL,bottom,478,0.0,-0.09229997972830077,-0.2357652587047844,-0.3516773275454414
trend_consistency_20_x_slope_20_over_atr_20,C,bottom,476,0.0,0.002525164661099262,0.08859841250427455,0.04378535933263435
trend_consistency_20_x_slope_20_over_atr_20,JPM,bottom,334,0.0,-0.015593910437733421,-0.011525659936872375,-0.11493448797135608
trend_consistency_20_x_slope_20_over_atr_20,JPM,middle,898,0.0,0.02822979089231038,0.024033441247112562,0.07730969255174538
trend_consistency_20_x_slope_20_over_atr_20,TSLA,middle,826,0.0,-0.10024671086703381,-0.12557721001591915,-0.17654629149720893
trend_consistency_20_x_slope_20_over_atr_20,HD,middle,747,0.0,-0.020379331501220243,-0.11805447196550466,-0.3453958588688732
trend_consistency_20_x_slope_20_over_atr_20,LLY,middle,715,0.0,-0.03397441023694387,-0.10221864901900943,-0.12193358999908756
trend_consistency_20_x_slope_20_over_atr_20,MSFT,middle,713,0.0,-0.06609616330002997,-0.1924653416318682,-0.3276858650275581
trend_consistency_20_x_slope_20_over_atr_20,GOOGL,middle,711,0.0,-0.05090885102660552,-0.04118853733541969,-0.10093208479801427
trend_consistency_20_x_slope_20_over_atr_20,ABBV,middle,566,0.0,-0.0590305257090268,-0.1995974597794772,-0.39747312678317165
trend_consistency_20_x_slope_20_over_atr_20,AMD,middle,486,0.0,0.18724987701620838,0.22919112823021384,0.5230044221518452
trend_consistency_20_x_slope_20_over_atr_20,HON,middle,471,0.0,0.041986799035774965,0.08361134202169948,0.21273294481530772
trend_consistency_20_x_slope_20_over_atr_20,QCOM,middle,461,0.0,0.008376647514113754,-0.00035196579369776564,-0.4444517185806701
trend_consistency_20_x_slope_20_over_atr_20,C,middle,293,0.0,0.10744387212386322,0.024891446468189523,0.345938022211588
trend_consistency_20_x_slope_20_over_atr_20,XOM,middle,284,0.0,-0.05588690702060668,-0.05750118817969881,0.12434698675435563
trend_consistency_20_x_slope_20_over_atr_20,WFC,middle,205,0.0,-0.07336691546978184,-0.22094000273065265,-0.3684077856239779
trend_consistency_20_x_slope_20_over_atr_20,COP,middle,201,0.0,0.03776264604438684,0.15943755735612614,0.29131626326430937
trend_consistency_20_x_slope_20_over_atr_20,BAC,middle,143,0.0,0.072283274657713,0.10411645872401706,0.0004135011425114041
trend_consistency_20_x_slope_20_over_atr_20,COP,top,848,10.984455958549223,0.040840868871656465,0.08302753881872797,0.14871545979680437
trend_consistency_20_x_slope_20_over_atr_20,BAC,top,805,10.427461139896373,0.0339211583399165,0.06327079786226422,0.1391397518809362
trend_consistency_20_x_slope_20_over_atr_20,XOM,top,776,10.05181347150259,0.07044229389883169,0.10376075831813023,0.11138102313327046
trend_consistency_20_x_slope_20_over_atr_20,C,top,775,10.038860103626943,0.016351546942601068,0.05094762154998388,0.060068655229148664
trend_consistency_20_x_slope_20_over_atr_20,WFC,top,720,9.32642487046632,-0.04045025428884252,-0.05199913594468553,-0.026224900641663926
trend_consistency_20_x_slope_20_over_atr_20,HON,top,548,7.098445595854923,0.030849382253919828,0.09967137300233,0.13123899569311756
trend_consistency_20_x_slope_20_over_atr_20,AMD,top,545,7.0595854922279795,0.04345467343205457,0.09839941705919399,0.16429591703938895
trend_consistency_20_x_slope_20_over_atr_20,ABBV,top,474,6.139896373056994,0.030016614282422967,0.13871625479811195,0.38905783116814835
trend_consistency_20_x_slope_20_over_atr_20,QCOM,top,416,5.3886010362694305,-0.2655032730080784,-0.4269494117346815,-0.5798868512943897
trend_consistency_20_x_slope_20_over_atr_20,GOOGL,top,355,4.598445595854922,0.188640430507113,0.32325207437216313,0.5236239110734754
trend_consistency_20_x_slope_20_over_atr_20,MSFT,top,336,4.352331606217617,0.009885532789262503,0.0688626464414364,-0.16283308519883122
trend_consistency_20_x_slope_20_over_atr_20,JPM,top,312,4.041450777202073,-0.038893004378437575,-0.016995637596599014,-0.04286110072960184
trend_consistency_20_x_slope_20_over_atr_20,LLY,top,295,3.821243523316062,0.08536876795637639,0.14395166205958745,0.21169885823581133
trend_consistency_20_x_slope_20_over_atr_20,HD,top,289,3.7435233160621766,-0.1429402421182226,-0.21482032017797947,-0.24809791787478125
trend_consistency_20_x_slope_20_over_atr_20,TSLA,top,226,2.927461139896373,-0.15815874770431163,-0.3300703090403119,-0.8069842313227977
