month,signal_count,avg_forward_return_pct,realized_trade_count,realized_expectancy,realized_win_rate
2026-01,30,-0.14161377745959525,9,0.14444326703123048,44.44444444444444
2026-02,77,0.2371565171823215,15,-0.0873972325747142,46.666666666666664
2026-03,48,-0.5484014542027768,14,-5.228914735590171,50.0
2026-04,46,1.2737128011957581,12,11.177985548014997,58.333333333333336
