volatility_regime,signal_count,avg_forward_return_pct,realized_trade_count,realized_expectancy,realized_win_rate
high_vol,57,-0.04059904626499644,14,-5.257748013517106,35.714285714285715
low_vol,70,0.5742246654745168,19,3.784129245030756,63.1578947368421
mid_vol,74,0.1134942784650151,17,3.6841216309548854,47.05882352941176
