symbol,realized_pnl,expectancy,win_rate,profit_factor,trades,avg_return_per_trade_pct
C,52.431118599310594,4.766465327210054,54.54545454545454,1.6938141728102727,22,0.47664653272100543
HON,20.84043750864373,2.084043750864373,50.0,1.9395247019915753,20,0.2084043750864373
AMD,18.804811343414713,1.0447117413008173,50.0,1.1155943961482788,36,0.10447117413008174
JPM,-31.156316258791094,-2.8323923871628267,45.45454545454545,0.6205107068786638,22,-0.28323923871628265
