time_bucket,signal_count,avg_forward_return_pct,realized_trade_count,realized_expectancy,realized_win_rate
afternoon,118,0.4468850218481328,21,2.001963546956117,52.38095238095239
midday,15,0.3512724200626955,14,3.837798542961366,35.714285714285715
morning,27,-0.12510359374942903,5,12.263083344360235,60.0
open_30m,41,-0.20350156817714696,10,-9.61657796167608,60.0
