window,segment,train_start,train_end,test_start,test_end,trades,win_rate,profit_factor,realized_pnl,total_return_pct,sharpe_ratio,max_drawdown_pct
1,is,2025-10-06,2025-12-30,2025-12-31,2026-01-29,4294,46.25,0.7544,-1693.57,-16.9357,-5.7519,18.3667
1,oos,2025-10-06,2025-12-30,2025-12-31,2026-01-29,1576,47.46,0.8005,-474.87,-4.7487,-5.7812,5.6077
2,is,2025-11-03,2026-01-29,2026-01-30,2026-02-27,4332,46.86,0.764,-1571.93,-15.7193,-5.8953,16.2266
2,oos,2025-11-03,2026-01-29,2026-01-30,2026-02-27,1740,48.16,0.7601,-718.15,-7.1815,-8.6228,7.5561
3,is,2025-12-02,2026-02-27,2026-03-02,2026-03-27,4434,47.23,0.7483,-1756.83,-17.5683,-7.6859,17.7842
3,oos,2025-12-02,2026-02-27,2026-03-02,2026-03-27,1888,42.16,0.6651,-1047.07,-10.4707,-10.806,11.685
