regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,sma_bars,entry_threshold_pct,atr_multiple,atr_percentile_threshold,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,trend_pullback_exit_style,trend_pullback_hold_bars,trend_pullback_take_profit_pct,trend_pullback_research_exit_fill,momentum_breakout_lookback_bars,momentum_breakout_entry_buffer_pct,momentum_breakout_min_adx,momentum_breakout_min_slope,momentum_breakout_min_atr_percentile,momentum_breakout_exit_style,momentum_breakout_hold_bars,momentum_breakout_stop_pct,momentum_breakout_take_profit_pct,volatility_expansion_lookback_bars,volatility_expansion_entry_buffer_pct,volatility_expansion_max_atr_percentile,volatility_expansion_trend_filter,volatility_expansion_min_slope,volatility_expansion_use_volume_confirm,volatility_expansion_exit_style,volatility_expansion_hold_bars,volatility_expansion_stop_pct,volatility_expansion_take_profit_pct,scope,symbol,realized_pnl,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,total_trades,symbol_strategy_mode,symbol_contribution_pct
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,15,0.0015,1.0,0.0,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,symbol,LLY,2.405712840234287,0.360856926035143,5.706498030820473,50.0,9.77597067175619,-8.974066391678093,0.40095214003904783,-19.363868123774637,0.040095214003904776,0.040095214003904776,1.0893579616060924,0.6632223264782339,2.0,12.067025036486877,12,mean_reversion,-7.587659154864812
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,15,0.0015,1.0,0.0,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,symbol,MSFT,-1.1981818821308252,-0.1797272823196238,1.6441598551395815,66.66666666666666,2.841198988919075,-6.880579859968975,-0.39939396071027505,-6.880579859968975,-0.039939396071027505,-0.039939396071027505,0.825860333501568,-0.9161275986712767,1.0,3.3328826788974895,6,mean_reversion,3.779086005234822
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,15,0.0015,1.0,0.0,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,symbol,QCOM,-11.56295065066081,-1.7344425975991216,2.840269892681365,0.0,0.0,-3.854316883553603,-3.854316883553603,-7.857105398081103,-0.3854316883553603,-0.3854316883553603,0.0,-10.851261004143872,1.0,2.81581003237274,6,mean_reversion,36.4697427283932
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,15,0.0015,1.0,0.0,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,symbol,TSLA,-18.768697646512237,-2.815304646976836,3.8714780342344044,40.0,1.7675140586603675,-7.434575254610991,-3.7537395293024476,-10.80160213071099,-0.3753739529302447,-0.3753739529302447,0.15849495975479697,-10.081701243533242,1.6666666666666667,4.922234458421714,10,mean_reversion,59.19679113014137
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,15,0.0015,1.0,0.0,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,symbol,WFC,-18.739551171088692,-2.810932675663304,3.664721717872879,0.0,0.0,-4.684887792772173,-4.684887792772173,-6.725681541087397,-0.4684887792772173,-0.4684887792772173,0.0,-19.2381340843737,1.3333333333333333,2.57426693340274,8,mean_reversion,59.10486265165432
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,15,0.0015,1.0,0.0,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,symbol,XOM,28.390203719136593,4.25853055787049,2.6197371919530754,100.0,9.463401239712198,0.0,9.463401239712198,6.729004521832849,0.9463401239712198,0.9463401239712198,inf,15.053997771334677,1.0,4.993229551387657,6,mean_reversion,-89.54318468741475
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,15,0.001,1.0,0.0,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,portfolio,COMBINED,-31.907140098013542,-0.31907140098019227,0.8559867384498364,48.214285714285715,7.933965035530525,-8.487041243356472,-0.569770358893099,-31.676056509985187,-0.0569770358893099,-0.0569770358893099,0.8703616279539604,-4.644984447850087,18.666666666666668,18.164107273094352,112,,
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,15,0.001,1.0,0.0,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,symbol,ABBV,1.5669826115150727,0.2350473917272609,3.445607210833438,60.0,7.125707535049817,-9.90506999681719,0.3133965223030145,-10.492349110700843,0.031339652230301454,0.031339652230301454,1.0791000271587476,0.5699548608550394,1.6666666666666667,8.818380649504709,10,mean_reversion,-4.911071962894691
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,15,0.001,1.0,0.0,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,symbol,AMD,13.80550128811035,2.0708251932165527,2.941303493137495,66.66666666666666,10.774033167240987,-7.742565046371624,4.60183376270345,-7.742565046371624,0.46018337627034495,0.46018337627034495,2.7830655868470853,5.230596585425806,1.0,7.1045818316039,6,mean_reversion,-43.26774899192499
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,15,0.001,1.0,0.0,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,symbol,BAC,-16.054824175862564,-2.408223626379385,4.370624462945194,33.33333333333333,2.2113127556715426,-9.133068465767053,-5.3516080586208545,-17.215402298850563,-0.5351608058620855,-0.5351608058620855,0.12106077842075076,-6.428633912145338,1.0,6.575262484790272,6,mean_reversion,50.31734002654188
