regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,trend_pullback_exit_style,trend_pullback_hold_bars,trend_pullback_take_profit_pct,trend_pullback_research_exit_fill,momentum_breakout_lookback_bars,momentum_breakout_entry_buffer_pct,momentum_breakout_min_adx,momentum_breakout_min_slope,momentum_breakout_min_atr_percentile,momentum_breakout_exit_style,momentum_breakout_hold_bars,momentum_breakout_stop_pct,momentum_breakout_take_profit_pct,volatility_expansion_lookback_bars,volatility_expansion_entry_buffer_pct,volatility_expansion_max_atr_percentile,volatility_expansion_trend_filter,volatility_expansion_min_slope,volatility_expansion_use_volume_confirm,volatility_expansion_exit_style,volatility_expansion_hold_bars,volatility_expansion_stop_pct,volatility_expansion_take_profit_pct,ml_probability_buy,ml_probability_sell,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_model_load_seconds,timing_ml_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds,rank_return,rank_pf,rank_drawdown,combined_score
Custom,,,mean_reversion,morning_only,False,static_pct,0.003,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.479121424097903,3.227497904372903,104,61,9,10,10,100.0,8.613695046342265,0.0,8.613695046342265,1.1853033346728807,0.8613695046342265,0.8613695046342265,inf,3.6487143026887856,5.2,96.35502991053444,447.91214240979775,10447.91214240979,10447.91214240979,10000.0,1000.0,0.0108801000169478,1.130161099950783,2.00001522898674e-07,1.1599971912801266e-05,1.6405323999933898,0.0009954000124707,2.7826007999829017,107.0,1.0,224.0,110.66666666666667
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.62548810297696,3.3518274607436163,114,67,10,11,10,100.0,8.114891408731697,0.0,8.114891408731697,1.1853033346728807,0.8114891408731697,0.8114891408731697,inf,3.726252924326901,5.7,97.37188973816778,462.5488102977067,10462.548810297696,10462.548810297696,10000.0,1000.0,0.0108295999816618,1.1371816999744624,2.00001522898674e-07,1.209997572004795e-05,1.996044300030917,0.0009343999554403,3.145021599950269,80.0,1.0,270.0,117.0
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.547217971295031,3.3510025929959912,126,75,12,12,10,98.4126984126984,7.382098443408164,-2.9683063617901557,7.217806303643112,-2.9683063617901557,0.7217806303643112,0.7217806303643112,154.19233990903754,3.658315906841623,6.3,97.55806336657692,454.72179712951606,10454.721797129503,10454.721797129503,10000.0,1000.0,0.0110312000033445,1.1724687000387348,2.00001522898674e-07,1.109996810555458e-05,1.6438664000015706,0.0009126999648287,2.828310400014743,93.0,3.0,268.0,121.33333333333333
Custom,,,mean_reversion,morning_only,False,static_pct,0.003,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,50.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.484230226192158,3.2621865156145504,116,69,11,12,10,98.27586206896552,8.738066090924177,-49.64674456345347,7.73143142446939,-49.64674456345347,0.773143142446939,0.773143142446939,10.03227445348598,3.641436073728791,5.8,96.83357932342952,448.42302261922464,10448.423022619216,10448.423022619216,10000.0,1000.0,0.0097434999770484,1.0517765000113286,2.00001522898674e-07,1.0699965059757233e-05,1.5064384000143036,0.0010228999890387,2.569011299987324,104.0,30.0,233.0,122.33333333333333
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.512164378429915,3.3518274607436163,122,72,11,11,10,98.36065573770492,7.569745736746552,-2.9683063617901557,7.396990784311524,-2.9683063617901557,0.7396990784311523,0.7396990784311523,153.0114108339137,3.6406464422419034,6.1,97.30008004278264,451.21643784300295,10451.216437842992,10451.216437842992,10000.0,1000.0,0.0112900999956764,1.1574726999970153,2.00001522898674e-07,1.2800039257854223e-05,1.660890900006052,0.0009039999567903,2.830591199977789,98.0,4.0,270.0,124.0
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.25552389291679,3.4651846708187843,146,89,16,21,10,98.63013698630137,7.988876859099237,-49.64674456345347,7.199347798516324,-49.64674456345347,0.7199347798516323,0.7199347798516323,11.585837881474454,4.012374191368467,7.3,102.53340635783852,525.5523892916916,10525.55238929168,10525.55238929168,10000.0,1000.0,0.0105657000094652,1.032882299972698,2.00001522898674e-07,1.079996582120657e-05,1.4751842999830842,0.0010465999948792,2.519708000007085,25.0,24.0,328.0,125.66666666666667
Custom,,,mean_reversion,morning_only,False,static_pct,0.001,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.511140484088028,3.3668843634388104,128,76,12,14,10,98.4375,7.207656424930196,-2.9683063617901557,7.048657006387691,-2.9683063617901557,0.7048657006387691,0.7048657006387691,152.97691660666385,3.623173925986372,6.4,97.7463471204191,451.1140484088122,10451.114048408805,10451.114048408805,10000.0,1000.0,0.0103873000480234,1.147306300001219,3.00002284348011e-07,1.3299984857439997e-05,1.6598498999956064,0.0010262000141665,2.818603100022301,99.0,5.0,278.0,127.33333333333333
Custom,,,mean_reversion,morning_only,False,static_pct,0.001,1.0,0.0,20,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.27267204781363,3.328597239419566,144,83,11,14,10,94.44444444444444,6.620774956330161,-5.736373062268314,5.93426673307469,-19.20685406219843,0.593426673307469,0.593426673307469,19.62096485633838,3.539614681203085,7.2,94.81765219422502,427.2672047813777,10427.267204781365,10427.267204781365,10000.0,1000.0,0.0095774999936111,1.0751770999631844,2.00001522898674e-07,1.1499971151351929e-05,1.6146019999869168,0.001112199970521,2.7004990999703296,132.0,18.0,260.0,136.66666666666666
Custom,,,mean_reversion,morning_only,False,static_pct,0.003,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.258229954865965,3.361970952738369,106,62,9,12,10,98.1132075471698,8.473070241081107,-14.776657049614528,8.034396141256662,-14.776657049614528,0.8034396141256662,0.8034396141256662,29.81727538622894,3.4664669184533223,5.3,96.56852056132472,425.8229954866031,10425.822995486596,10425.822995486596,10000.0,1000.0,0.0117582000093534,1.1475038999924436,2.00001522898674e-07,1.0800024028867485e-05,1.7331261999788694,0.0013217999949119,2.8937397999688983,135.0,7.0,275.0,139.0
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,50.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.490872863440582,3.387993734715139,122,73,12,15,10,98.36065573770492,8.312233848458698,-49.64674456345347,7.362086661378171,-49.64674456345347,0.736208666137817,0.736208666137817,10.045654257754812,3.619038116398391,6.1,97.55577972339188,449.0872863440684,10449.087286344058,10449.087286344058,10000.0,1000.0,0.0106323999934829,1.1942412999924272,2.00001522898674e-07,1.1100026313215494e-05,1.6269382999744266,0.0011014000046998,2.832943599962164,103.0,29.0,286.0,139.33333333333334
