symbol,winner_metric,metric_value,sma_bars,time_window_mode,threshold_mode,threshold_value,threshold_label,trades_per_day,win_rate,profit_factor,realized_pnl,sharpe_ratio,max_drawdown_pct,avg_return_per_trade_pct,avg_move_captured_pct,pnl_stability,atr_percentile_threshold,regime_filter_enabled,regime,start_date,end_date,config_key
AAPL,net_pnl,-96.11581673998433,20,full_day,static_pct,0.0,0.0000,3.032258064516129,25.53191489361702,0.7908306876171642,-96.11581673998433,-1.34102587524963,4.553347874811908,-0.05112543443616187,-0.05112543443616187,9.0227313985242,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.0, 0.0, False)"
AAPL,sharpe,-1.34102587524963,20,full_day,static_pct,0.0,0.0000,3.032258064516129,25.53191489361702,0.7908306876171642,-96.11581673998433,-1.34102587524963,4.553347874811908,-0.05112543443616187,-0.05112543443616187,9.0227313985242,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.0, 0.0, False)"
AAPL,max_drawdown,4.553347874811908,20,full_day,static_pct,0.0,0.0000,3.032258064516129,25.53191489361702,0.7908306876171642,-96.11581673998433,-1.34102587524963,4.553347874811908,-0.05112543443616187,-0.05112543443616187,9.0227313985242,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.0, 0.0, False)"
MSFT,net_pnl,-54.93790530824117,20,full_day,static_pct,0.0,0.0000,2.7903225806451615,28.32369942196532,0.8838120291072032,-54.93790530824117,-0.6744648437660945,3.1732344238987236,-0.031756014629041145,-0.031756014629041145,10.0911386833701,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.0, 0.0, False)"
MSFT,sharpe,-0.6744648437660945,20,full_day,static_pct,0.0,0.0000,2.7903225806451615,28.32369942196532,0.8838120291072032,-54.93790530824117,-0.6744648437660945,3.1732344238987236,-0.031756014629041145,-0.031756014629041145,10.0911386833701,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.0, 0.0, False)"
MSFT,max_drawdown,3.1732344238987236,20,full_day,static_pct,0.0,0.0000,2.7903225806451615,28.32369942196532,0.8838120291072032,-54.93790530824117,-0.6744648437660945,3.1732344238987236,-0.031756014629041145,-0.031756014629041145,10.0911386833701,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.0, 0.0, False)"
NVDA,net_pnl,51.076663999594075,20,full_day,static_pct,0.0,0.0000,3.064516129032258,75.26315789473685,1.0795505222753263,51.076663999594075,0.4423709037443986,5.5982568909211325,0.02688245473662846,0.02688245473662846,16.292109085479815,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.0, 0.0, False)"
NVDA,sharpe,0.4423709037443986,20,full_day,static_pct,0.0,0.0000,3.064516129032258,75.26315789473685,1.0795505222753263,51.076663999594075,0.4423709037443986,5.5982568909211325,0.02688245473662846,0.02688245473662846,16.292109085479815,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.0, 0.0, False)"
NVDA,max_drawdown,5.5982568909211325,20,full_day,static_pct,0.0,0.0000,3.064516129032258,75.26315789473685,1.0795505222753263,51.076663999594075,0.4423709037443986,5.5982568909211325,0.02688245473662846,0.02688245473662846,16.292109085479815,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.0, 0.0, False)"
