regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,sma_bars,entry_threshold_pct,atr_multiple,atr_percentile_threshold,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,scope,symbol,realized_pnl,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,total_trades,symbol_strategy_mode,symbol_contribution_pct,wins,losses,avg_pnl_per_trade,avg_hold_bars
Custom,2026-01-05,2026-01-16,hybrid_bb_mr,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,portfolio,COMBINED,29.431254167230577,0.29431254167224324,0.48215462381370894,77.77777777777779,5.732906636981332,-12.707359687627019,1.6350696759572543,-17.886318826831143,0.16350696759572542,0.16350696759572542,1.5790198532722612,2.3256789984176796,1.8,10.072493208722674,36,,,,,,
Custom,2026-01-05,2026-01-16,hybrid_bb_mr,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AAPL,29.431254167230577,0.29431254167224324,0.48215462381370894,77.77777777777779,5.732906636981332,-12.707359687627019,1.6350696759572543,-17.886318826831143,0.16350696759572542,0.16350696759572542,1.5790198532722612,2.3256789984176796,1.8,10.072493208722674,36,hybrid_bb_mr,100.0,,,,
Custom,2026-01-05,2026-01-16,hybrid_bb_mr,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,hybrid_branch,mean_reversion,29.431254167230577,,,77.77777777777779,5.732906636981332,-12.707359687627019,1.6350696759572543,,,,,,,,18,hybrid_bb_mr,,14.0,4.0,1.6350696759572543,10.833333333333334
