window,segment,train_start,train_end,test_start,test_end,trades,win_rate,profit_factor,realized_pnl,total_return_pct,sharpe_ratio,max_drawdown_pct
1,is,2025-10-06,2025-12-30,2025-12-31,2026-01-29,1868,33.51,0.8339,-767.43,-7.6743,-2.0316,13.0889
1,oos,2025-10-06,2025-12-30,2025-12-31,2026-01-29,676,36.39,0.9891,-20.14,-0.2014,-0.1134,4.782
2,is,2025-11-03,2026-01-29,2026-01-30,2026-02-27,1906,35.26,0.9605,-181.73,-1.8173,-0.4524,7.2393
2,oos,2025-11-03,2026-01-29,2026-01-30,2026-02-27,610,35.41,0.8902,-199.43,-1.9943,-1.8588,5.1368
3,is,2025-12-02,2026-02-27,2026-03-02,2026-03-27,1978,35.09,0.9407,-297.69,-2.9769,-0.9012,8.5493
3,oos,2025-12-02,2026-02-27,2026-03-02,2026-03-27,746,25.74,0.6043,-805.41,-8.0541,-7.2755,9.5445
