regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,sma_bars,entry_threshold_pct,atr_multiple,atr_percentile_threshold,scope,symbol,realized_pnl,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,total_trades
Custom,,,sma,combined_windows,False,static_pct,20,0.005,1.0,0.0,portfolio,COMBINED,24.709796511736386,0.24709796511739116,0.5246307530965517,39.285714285714285,10.592116820094061,-5.400205206429312,0.08824927325620138,0.08824927325620138,1.26915966825415,1.2960169934444905,2.8,15.28711056522932,56
Custom,,,sma,combined_windows,False,static_pct,20,0.005,1.0,0.0,symbol,AAPL,25.21438805703849,0.756431641711165,0.6395885224103774,50.0,13.003546908626618,-4.598750889613787,0.4202398009506415,0.4202398009506415,2.8276258533583416,3.378110736194245,0.6,5.954666848684364,12
Custom,,,sma,combined_windows,False,static_pct,20,0.005,1.0,0.0,symbol,MSFT,49.2768714399391,1.4783061431981694,0.7414906516456384,66.66666666666666,11.284545590121203,-6.143467366929372,0.5475207937771012,0.5475207937771012,3.673673160816819,4.392261966953514,0.9,8.935997051101621,18
Custom,,,sma,combined_windows,False,static_pct,20,0.005,1.0,0.0,symbol,NVDA,-49.781462985241205,-1.4934438895572293,1.8207250895812477,15.384615384615385,4.897685377213804,-5.416075794515347,-0.3829343306557016,-0.3829343306557016,0.1644157659876683,-7.330672800081311,1.3,5.369650806947688,26
Custom,,,sma,afternoon_only,False,static_pct,20,0.005,1.0,0.0,portfolio,COMBINED,16.987921962968244,0.16987921962972904,0.4123137229989494,33.33333333333333,11.088180702694217,-4.128430187766422,0.09437734423871247,0.09437734423871247,1.3429051962112972,1.0449508227651974,1.8,13.049314155847046,36
Custom,,,sma,afternoon_only,False,static_pct,20,0.005,1.0,0.0,symbol,AAPL,12.500832648284018,0.37502497944853075,0.6420101543042763,50.0,8.76569510570846,-4.598750889613787,0.20834721080473362,0.20834721080473362,1.906103486819792,1.7959341816645078,0.6,5.566407781034529,12
Custom,,,sma,afternoon_only,False,static_pct,20,0.005,1.0,0.0,symbol,MSFT,7.063123916993845,0.21189371750980174,0.8960173604502137,25.0,15.416674294469544,-3.961704111990874,0.08828904896242307,0.08828904896242307,1.2971416557677757,0.8507227617064822,0.8,6.719781955350579,16
Custom,,,sma,afternoon_only,False,static_pct,20,0.005,1.0,0.0,symbol,NVDA,-2.576034602309619,-0.07728103806928174,0.3755283064294799,25.0,9.398650310100834,-3.991561637470151,-0.06440086505774047,-0.06440086505774047,0.7848766275562006,-0.5317480011596077,0.4,3.7810372120681546,8
Custom,,,sma,full_day,False,static_pct,20,0.005,1.0,0.0,portfolio,COMBINED,13.631034608256073,0.13631034608257322,0.6025573554014779,35.483870967741936,10.650807969147557,-5.176392652618352,0.043971079381471205,0.043971079381471205,1.1316653847864608,0.7145625812996361,3.1,15.407123349889378,62
Custom,,,sma,full_day,False,static_pct,20,0.005,1.0,0.0,symbol,AAPL,22.07190319461813,0.6621570958385609,0.6401853902291376,42.857142857142854,13.003546908626618,-4.234684382815431,0.315312902780259,0.315312902780259,2.303042989708221,2.9200954937835633,0.7,6.030894956111152,14
Custom,,,sma,full_day,False,static_pct,20,0.005,1.0,0.0,symbol,MSFT,48.37123373681118,1.4511370121043456,0.6712207731191726,60.0,11.39214603005261,-4.995410610876121,0.48371233736811176,0.48371233736811176,3.420783670490281,4.284601533878498,1.0,8.990063910799504,20
Custom,,,sma,full_day,False,static_pct,20,0.005,1.0,0.0,symbol,NVDA,-56.812102323173235,-1.704363069695173,2.031001768405627,14.285714285714285,4.897685377213804,-5.550622756466737,-0.40580073087980884,-0.40580073087980884,0.1470611374644935,-8.167884708929673,1.4,5.49786456848817,28
Custom,,,sma,combined_windows,False,atr_multiple,20,0.0,2.0,0.0,portfolio,COMBINED,7.540696886552951,0.0754069688655727,0.4664441790053844,29.166666666666668,13.327954864816418,-5.044411009833057,0.03141957036063729,0.03141957036063729,1.0879330419798663,0.4954867622827091,2.4,12.327232541344557,48
Custom,,,sma,combined_windows,False,atr_multiple,20,0.0,2.0,0.0,symbol,AAPL,26.83978370737225,0.8051935112211503,0.38124465038247407,50.0,14.72769363930422,-1.3078017856180963,0.6709945926843063,0.6709945926843063,11.261411171987033,4.486377629939921,0.4,4.749523688829366,8
Custom,,,sma,combined_windows,False,atr_multiple,20,0.0,2.0,0.0,symbol,MSFT,26.555885346700393,0.7966765604010289,0.8943427072196442,33.33333333333333,18.01497534022629,-4.581506778996413,0.2950653927411155,0.2950653927411155,1.966053550636948,2.438671130600474,0.9,8.700395947095888,18
Custom,,,sma,combined_windows,False,atr_multiple,20,0.0,2.0,0.0,symbol,NVDA,-45.85497216751969,-1.3756491650255838,1.676078338510302,18.181818181818183,4.897685377213804,-6.183371435771922,-0.4168633833410881,-0.4168633833410881,0.1760163592911936,-6.474246109100746,1.1,5.606855353605473,22
