regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,trend_pullback_exit_style,trend_pullback_hold_bars,trend_pullback_take_profit_pct,trend_pullback_research_exit_fill,momentum_breakout_lookback_bars,momentum_breakout_entry_buffer_pct,momentum_breakout_min_adx,momentum_breakout_min_slope,momentum_breakout_min_atr_percentile,momentum_breakout_exit_style,momentum_breakout_hold_bars,momentum_breakout_stop_pct,momentum_breakout_take_profit_pct,volatility_expansion_lookback_bars,volatility_expansion_entry_buffer_pct,volatility_expansion_max_atr_percentile,volatility_expansion_trend_filter,volatility_expansion_min_slope,volatility_expansion_use_volume_confirm,volatility_expansion_exit_style,volatility_expansion_hold_bars,volatility_expansion_stop_pct,volatility_expansion_take_profit_pct,ml_probability_buy,ml_probability_sell,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_model_load_seconds,timing_ml_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds
Custom,,,mean_reversion,full_day,False,static_pct,0.0025,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.87669230706535,4.8850523783857085,272,267,131,69,10,91.17647058823529,7.179310788425586,-25.21377558818482,4.321097284607021,-118.8958070641853,0.43210972846070206,0.43210972846070206,2.9422888777974765,3.9864238888720656,13.6,116.9339577880052,587.6692307065548,10587.669230706535,10587.669230706535,10000.0,1000.0,0.009408499987330288,1.0370369000011124,2.00001522898674e-07,1.0500021744519472e-05,1.473483000008855,0.001662599970586598,2.5216194999520667
Custom,,,mean_reversion,morning_only,False,static_pct,0.001,1.0,0.0,15,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.848708808169722,4.832115715593178,220,144,34,34,10,92.72727272727272,6.786446567963664,-13.418333639412452,5.317008007427219,-49.64674456345347,0.531700800742722,0.531700800742722,6.4484306372728915,3.8911068557434247,11.0,117.44153646694556,584.8708808169941,10584.870880816972,10584.870880816972,10000.0,1000.0,0.012382299988530576,1.2372712999931537,4.00003045797348e-07,1.2300035450607538e-05,2.034227899974212,0.0013679999974556267,3.2852820999687538
Custom,,,mean_reversion,full_day,False,static_pct,0.003,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.783361128758078,4.86507201373547,250,244,119,59,10,92.0,7.638831342470891,-30.012949150832537,4.626688903006617,-118.8958070641853,0.46266889030066166,0.46266889030066166,2.926955295093966,3.931667004701567,12.5,116.67945168083565,578.3361128758271,10578.336112875808,10578.336112875808,10000.0,1000.0,0.010255600034724921,1.042434900009539,2.00001522898674e-07,1.109996810555458e-05,1.4929349000449292,0.0016960999928414822,2.5473514000186697
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,15,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.742670915851413,4.832093737704897,208,137,33,32,10,94.23076923076923,6.936944746246198,-17.59224892449426,5.521798957549633,-49.64674456345347,0.5521798957549632,0.5521798957549632,6.44053135796632,3.836401554049333,10.4,117.02278671345259,574.2670915851618,10574.267091585141,10574.267091585141,10000.0,1000.0,0.010044800001196563,1.1718545000185259,5.00003807246685e-07,1.3599987141788006e-05,1.718637400015723,0.0012597999884746969,2.901833900017664
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.706315877726865,4.8406471115172724,192,122,26,26,10,95.83333333333334,7.342956970309404,-26.230113373941577,5.9440790392989475,-49.64674456345347,0.5944079039298947,0.5944079039298947,6.438706837039403,3.8453694956858486,9.6,115.92575159809948,570.6315877726989,10570.631587772687,10570.631587772687,10000.0,1000.0,0.011680499999783933,1.254337799968198,3.00002284348011e-07,1.2399978004395962e-05,1.8595463000237942,0.0013277999823912978,3.1269250999903306
Custom,,,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.64132006709955,4.922030962355095,284,290,148,74,10,90.84507042253522,6.745514698539773,-23.541491492434602,3.9727606106336677,-118.8958070641853,0.39727606106336677,0.39727606106336677,2.8433313692493587,3.834231767073167,14.2,116.68952844412784,564.1320067099808,10564.132006709955,10564.132006709955,10000.0,1000.0,0.010209499974735081,1.018521000049077,2.00001522898674e-07,1.1599971912801266e-05,1.4711096999817528,0.0018685999675653875,2.501739799976349
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.614371478336871,4.72300783449064,182,121,30,29,10,94.5054945054945,8.238486776113847,-29.414542982416446,6.169638987183611,-49.64674456345347,0.6169638987183612,0.6169638987183612,4.817412007178401,3.735158239904623,9.1,117.78453315982526,561.4371478337087,10561.437147833687,10561.437147833687,10000.0,1000.0,0.010297800006810576,1.0545328999869525,2.00001522898674e-07,1.1199968867003918e-05,1.59385070001008,0.0012851000064983964,2.659995699999854
Custom,,,mean_reversion,morning_only,False,static_pct,0.001,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.558836605021334,4.739447179985239,186,125,32,30,10,93.54838709677419,8.086257980539257,-24.603463967460396,5.977243661313473,-49.64674456345347,0.5977243661313474,0.5977243661313474,4.765619218208078,3.691992377743747,9.3,118.02459584993609,555.883660502153,10555.883660502133,10555.883660502133,10000.0,1000.0,0.010547099984250963,1.2008269000216387,3.00002284348011e-07,1.1300027836114168e-05,1.5094652000116184,0.001365099975373596,2.722234299988486
Custom,,,mean_reversion,full_day,False,static_pct,0.0015,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.515863271646667,4.9550946226401145,302,323,172,80,10,88.74172185430463,6.432672138773204,-18.25833761358374,3.6528895838720907,-120.96574113367694,0.3652889583872091,0.3652889583872091,2.7770650990131744,3.7587838273913117,15.1,116.4894879886746,551.5863271646857,10551.586327164667,10551.586327164667,10000.0,1000.0,0.009844200045336038,1.0232869999599643,2.00001522898674e-07,1.0999967344105244e-05,1.4999889999744482,0.0017125000013038516,2.534862799977418
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,70.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.4768364234776525,4.719778143378057,164,111,29,28,10,96.34146341463415,8.133015675612794,-31.608198675210435,6.679068809119262,-49.64674456345347,0.6679068809119262,0.6679068809119262,6.7757550815163965,3.63612340222167,8.2,118.00841820904247,547.6836423477795,10547.683642347765,10547.683642347765,10000.0,1000.0,0.01017570000840351,1.0373831000179052,3.00002284348011e-07,1.0999967344105244e-05,1.4825110000092536,0.001380200032144785,2.5314802000066265
