regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,ml_probability_buy,ml_probability_sell,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_model_load_seconds,timing_ml_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds,rank_return,rank_pf,rank_drawdown,combined_score
Custom,,,mean_reversion,full_day,False,static_pct,0.0015,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,5.457028261310533,3.875082061796641,1826,1206,293,280,10,68.78422782037241,5.467544257901395,-10.13303497484516,0.5977029859049343,-73.31987568488421,0.0597702985904934,0.0597702985904934,1.188960835831356,1.830070796973964,29.9344262295082,80.29745617149992,545.702826131205,10545.702826131052,10545.702826131052,10000.0,1000.0,0.1673110000047017,12.394827500000249,4.999965312890708e-07,0.0001115999984904,10.467390500001784,0.0031339999986812,23.0328284999996,1.0,2.0,8.0,3.6666666666666665
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,2.537111170633125,3.677260485686322,848,485,61,101,10,66.27358490566037,6.5917183469966,-11.178753415682788,0.5983752760929377,-70.97170127538095,0.0598375276092937,0.0598375276092937,1.1587121166246466,1.1842131176370148,13.901639344262296,57.81590443407526,253.7111170634056,10253.711117063312,10253.711117063312,10000.0,1000.0,0.0330471999986912,4.913140199998452,2.00001522898674e-07,5.270000110613182e-05,5.854672400004347,0.0046337999956449,10.805563300003996,4.0,4.0,5.0,4.333333333333333
Custom,,,mean_reversion,full_day,False,static_pct,0.0025,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,5.194115138857396,4.012468319604062,1480,942,202,211,10,67.29729729729729,6.241261815707115,-10.69725979477799,0.7019074511971208,-73.31987568488421,0.070190745119712,0.070190745119712,1.200642838535536,1.8088957760531752,24.262295081967213,77.43718351076,519.4115138858695,10519.41151388574,10519.41151388574,10000.0,1000.0,0.0703906000053393,10.71932409999863,4.999965312890708e-07,0.0001397000014549,11.662515799995164,0.0078241000010166,22.460241099994164,2.0,1.0,12.0,5.0
Custom,,,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,4.778024874170878,3.9466405714152537,1624,1057,245,239,10,67.98029556650246,5.829993500481671,-10.53982278787946,0.5884267086418999,-73.31987568488421,0.05884267086419,0.05884267086419,1.1743579481046815,1.6399800049687836,26.62295081967213,78.62731653783139,477.8024874172228,10477.802487417088,10477.802487417088,10000.0,1000.0,0.0498442999960389,9.73077899999771,1.000000338535756e-06,0.0001201999984914,10.885113999996976,0.0068726000026799,20.672773099999176,3.0,3.0,9.0,5.0
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,2.225823755828805,3.684630820365404,796,454,56,96,10,65.32663316582915,6.92543661336272,-11.435008289067769,0.5592521999571737,-70.97170127538095,0.0559252199957173,0.0559252199957173,1.1410506861316294,1.0502172545905442,13.049180327868852,57.44994336268777,222.58237558295517,10222.58237558288,10222.58237558288,10000.0,1000.0,0.0334165000022039,5.073954800005595,2.999950083903969e-07,5.990000499878079e-05,6.306102499998815,0.0024689000056241,11.41602220000641,5.0,5.0,6.0,5.333333333333333
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,1.9320973178217355,3.6690974434560526,756,430,52,89,10,64.28571428571429,7.230279676110372,-11.583320218611645,0.5111368565667946,-70.97170127538095,0.0511136856566794,0.0511136856566794,1.1235555239237411,0.9212872756285247,12.39344262295082,57.19757044864789,193.20973178224835,10193.209731782174,10193.209731782174,10000.0,1000.0,0.0392206000033183,6.681501999999455,3.00002284348011e-07,8.549999620299786e-05,6.881809599995904,0.0048081999993883,13.607458099999349,6.0,6.0,4.0,5.333333333333333
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.4679171639828382,3.555171515545714,872,501,65,107,10,61.46788990825688,6.316212742707511,-9.797341063376429,0.1073204504549843,-73.31987568488421,0.0107320450454984,0.0107320450454984,1.0284283378130046,0.2830287139997402,14.295081967213116,49.89931086523122,46.79171639837318,10046.791716398284,10046.791716398284,10000.0,1000.0,0.0415807000026688,6.045537199999671,2.00001522898674e-07,6.820000271545723e-05,6.073791400005575,0.002104600003804,12.163100500001748,11.0,9.0,2.0,7.333333333333333
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.8272382163886687,3.974726552524733,658,407,78,90,10,71.12462006079028,7.949827423639015,-18.71090311044848,0.2514401873523538,-91.76496914949382,0.0251440187352353,0.0251440187352353,1.046538484259328,0.36720872504447,10.78688524590164,67.83589528789102,82.72382163892439,10082.723821638869,10082.723821638869,10000.0,1000.0,0.0456378000017139,5.743420399994648,2.999950083903969e-07,8.299999899463728e-05,6.141866899997694,0.003228499997931,11.934269099998346,8.0,7.0,10.0,8.333333333333334
Custom,,,mean_reversion,full_day,False,static_pct,0.0015,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.9445165379184072,4.151643774446366,1588,1062,268,249,10,68.89168765743074,5.682904679732852,-12.202822696444928,0.1189567428110486,-70.97170127538095,0.0118956742811048,0.0118956742811048,1.0313366316133623,0.364062220208122,26.0327868852459,82.75527711113534,94.4516537919726,10094.45165379184,10094.45165379184,10000.0,1000.0,0.0641939999986789,12.561556199994811,4.00003045797348e-07,0.0002094000010401,15.072623800006111,0.0096650999985286,27.708292100003742,7.0,8.0,13.0,9.333333333333334
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.0699039653216459,3.474698955080904,806,459,56,94,10,60.297766749379655,6.646636976945769,-10.050889930409848,0.0173458971023479,-73.31987568488421,0.0017345897102347,0.0017345897102347,1.0043468766078465,0.076174786993377,13.21311475409836,49.11803603860033,6.990396532246223,10006.990396532165,10006.990396532165,10000.0,1000.0,0.0312004999941564,5.338695500002359,3.00002284348011e-07,5.8400000852998346e-05,6.3161536999978125,0.0028615999981411,11.688988699999754,14.0,14.0,1.0,9.666666666666666
