symbol,winner_metric,metric_value,sma_bars,time_window_mode,threshold_mode,threshold_value,threshold_label,trades_per_day,win_rate,profit_factor,realized_pnl,sharpe_ratio,max_drawdown_pct,expectancy,max_loss_trade,avg_winning_trade,avg_losing_trade,avg_return_per_trade_pct,avg_move_captured_pct,pnl_stability,atr_percentile_threshold,regime_filter_enabled,regime,start_date,end_date,config_key
AAPL,net_pnl,-68.40723729931813,20,full_day,static_pct,0.005,0.0050,1.0,74.19354838709677,0.8131805514812342,-68.40723729931813,-0.7341164109506059,16.503137479483463,-1.1033425370857761,-31.627502504867948,6.473052317464815,-22.885477743918727,-0.11033425370857762,-0.11033425370857762,10.810965701517889,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.005, 0.0, False)"
AAPL,sharpe,-0.7341164109506059,20,full_day,static_pct,0.005,0.0050,1.0,74.19354838709677,0.8131805514812342,-68.40723729931813,-0.7341164109506059,16.503137479483463,-1.1033425370857761,-31.627502504867948,6.473052317464815,-22.885477743918727,-0.11033425370857762,-0.11033425370857762,10.810965701517889,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.005, 0.0, False)"
AAPL,max_drawdown,16.503137479483463,20,full_day,static_pct,0.005,0.0050,1.0,74.19354838709677,0.8131805514812342,-68.40723729931813,-0.7341164109506059,16.503137479483463,-1.1033425370857761,-31.627502504867948,6.473052317464815,-22.885477743918727,-0.11033425370857762,-0.11033425370857762,10.810965701517889,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.005, 0.0, False)"
AMD,net_pnl,371.36698214147293,20,full_day,static_pct,0.005,0.0050,2.4838709677419355,70.12987012987013,1.3107757975374972,371.36698214147293,2.163765784658014,14.201536626440486,2.4114739100095646,-49.55078125,14.503097184907777,-25.977554648447104,0.24114739100095645,0.24114739100095645,23.609193609178945,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.005, 0.0, False)"
AMD,sharpe,2.163765784658014,20,full_day,static_pct,0.005,0.0050,2.4838709677419355,70.12987012987013,1.3107757975374972,371.36698214147293,2.163765784658014,14.201536626440486,2.4114739100095646,-49.55078125,14.503097184907777,-25.977554648447104,0.24114739100095645,0.24114739100095645,23.609193609178945,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.005, 0.0, False)"
AMD,max_drawdown,14.201536626440486,20,full_day,static_pct,0.005,0.0050,2.4838709677419355,70.12987012987013,1.3107757975374972,371.36698214147293,2.163765784658014,14.201536626440486,2.4114739100095646,-49.55078125,14.503097184907777,-25.977554648447104,0.24114739100095645,0.24114739100095645,23.609193609178945,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.005, 0.0, False)"
AMZN,net_pnl,45.22607653115983,20,full_day,static_pct,0.005,0.0050,1.5483870967741935,72.91666666666666,1.071201840356352,45.22607653115983,0.49081528546745534,24.12903848928944,0.4711049638662483,-88.75792481471558,9.720105180630794,-24.43004946588445,0.04711049638662483,0.04711049638662483,15.938688909523867,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.005, 0.0, False)"
AMZN,sharpe,0.49081528546745534,20,full_day,static_pct,0.005,0.0050,1.5483870967741935,72.91666666666666,1.071201840356352,45.22607653115983,0.49081528546745534,24.12903848928944,0.4711049638662483,-88.75792481471558,9.720105180630794,-24.43004946588445,0.04711049638662483,0.04711049638662483,15.938688909523867,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.005, 0.0, False)"
AMZN,max_drawdown,24.12903848928944,20,full_day,static_pct,0.005,0.0050,1.5483870967741935,72.91666666666666,1.071201840356352,45.22607653115983,0.49081528546745534,24.12903848928944,0.4711049638662483,-88.75792481471558,9.720105180630794,-24.43004946588445,0.04711049638662483,0.04711049638662483,15.938688909523867,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.005, 0.0, False)"
GOOGL,net_pnl,141.87774518368178,20,full_day,static_pct,0.005,0.0050,1.2419354838709677,76.62337662337663,1.3457112494895176,141.87774518368178,1.6174440765055806,10.646384680762067,1.8425681192685945,-36.76317433867939,9.360534262253259,-22.79965423829225,0.18425681192685944,0.18425681192685944,12.36421386286078,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.005, 0.0, False)"
