regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size
Custom,,,sma,combined_windows,False,static_pct,0.005,1.0,0.0,20,0.24709796511739116,0.5246307530965517,56,28,0,2,3,39.285714285714285,10.592116820094061,-5.400205206429312,0.08824927325620138,0.08824927325620138,1.26915966825415,1.2960169934444905,2.8,15.28711056522932,24.709796511736386,10024.70979651174,10024.70979651174,10000.0,1000.0
Custom,,,sma,afternoon_only,False,static_pct,0.005,1.0,0.0,20,0.16987921962972904,0.4123137229989494,36,18,0,0,3,33.33333333333333,11.088180702694217,-4.128430187766422,0.09437734423871247,0.09437734423871247,1.3429051962112972,1.0449508227651974,1.8,13.049314155847046,16.987921962968244,10016.987921962973,10016.987921962973,10000.0,1000.0
Custom,,,sma,full_day,False,static_pct,0.005,1.0,0.0,20,0.13631034608257322,0.6025573554014779,62,31,0,2,3,35.483870967741936,10.650807969147557,-5.176392652618352,0.043971079381471205,0.043971079381471205,1.1316653847864608,0.7145625812996361,3.1,15.407123349889378,13.631034608256073,10013.631034608257,10013.631034608257,10000.0,1000.0
Custom,,,sma,combined_windows,False,atr_multiple,0.0,2.0,0.0,20,0.0754069688655727,0.4664441790053844,48,24,0,1,3,29.166666666666668,13.327954864816418,-5.044411009833057,0.03141957036063729,0.03141957036063729,1.0879330419798663,0.4954867622827091,2.4,12.327232541344557,7.540696886552951,10007.540696886557,10007.540696886557,10000.0,1000.0
Custom,,,sma,combined_windows,False,static_pct,0.01,1.0,0.0,20,0.03576665690514346,0.5021802672200102,32,16,0,0,3,37.5,11.618108133191432,-6.613198310863197,0.022354160565728875,0.022354160565728875,1.0540837507419276,0.24563923216677322,1.6,12.007746602815526,3.57666569051662,10003.576665690514,10003.576665690514,10000.0,1000.0
Custom,,,sma,combined_windows,False,atr_multiple,0.0,1.5,0.0,20,0.03350419072143268,0.5662348016872988,62,31,0,2,3,32.25806451612903,11.248018040326542,-5.196655301481921,0.010807803458532538,0.010807803458532538,1.0307012407181877,0.18847045869855336,3.1,15.077025281233121,3.350419072145087,10003.350419072143,10003.350419072143,10000.0,1000.0
Custom,,,sma,morning_only,False,atr_multiple,0.0,1.0,0.0,20,0.031421333926900843,0.5474419402268267,50,25,0,5,3,32.0,9.906966586714077,-4.477270547118739,0.012568533570776252,0.012568533570776252,1.0412821548520832,0.24685095149122077,2.5,10.430911675145769,3.1421333926940633,10003.14213339269,10003.14213339269,10000.0,1000.0
Custom,,,sma,morning_only,False,atr_multiple,0.0,1.5,0.0,20,0.01518026172559985,0.5447327578963822,42,21,0,5,3,33.33333333333333,11.018529606884758,-5.400834362545287,0.007228696059806204,0.007228696059806204,1.0200766092085802,0.12202717191766248,2.1,10.580186311512113,1.5180261725593027,10001.51802617256,10001.51802617256,10000.0,1000.0
Custom,,,sma,morning_only,False,atr_multiple,0.0,0.5,0.0,20,0.013464531569388783,0.5491455713185242,58,29,0,6,3,37.93103448275862,8.368103419069929,-5.039038025157229,0.0046429419204796745,0.0046429419204796745,1.0148446891628586,0.10512624076782565,2.9,11.074981785277224,1.3464531569391056,10001.346453156939,10001.346453156939,10000.0,1000.0
Custom,,,sma,full_day,False,atr_multiple,0.0,1.5,0.0,20,-0.03472010913868871,0.6413252465392021,66,33,0,2,3,30.303030303030305,11.312578304285386,-5.069469302466305,-0.010521245193548924,-0.010521245193548924,0.9702223275754276,-0.1702207935131133,3.3,15.129141496644102,-3.472010913871145,9996.527989086131,9996.527989086131,10000.0,1000.0
