regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,ml_probability_buy,ml_probability_sell,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_model_load_seconds,timing_ml_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds,rank_return,rank_pf,rank_drawdown,combined_score
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,20,none,target_1x_stop_low,0.5,eod,40.0,0.55,0.45,1.7054405561464228,1.041170413311666,84,50,8,10,9,61.90476190476191,11.980757523334464,-8.809727499502934,4.06057275272974,-17.872451838878874,0.4060572752729741,0.4060572752729741,2.2099129600225407,3.138614584562123,4.2,43.19242116205301,170.5440556146491,10170.544055614642,10170.544055614642,10000.0,1000.0,0.0100735000014537,0.8342563000041991,2.9998773243278265e-07,1.3500000932253895e-05,1.3719631999992998,0.0012099000014131,2.2175317000073846,96.0,55.0,15.0,55.333333333333336
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,40.0,0.55,0.45,1.6338205576110705,0.9308009613049356,82,43,2,9,9,60.97560975609756,12.155642225010842,-8.781812491509818,3.984928189295463,-17.872451838878874,0.3984928189295462,0.3984928189295462,2.1627871233804976,3.2298245469118823,4.1,40.21134329591291,163.38205576111395,10163.382055761109,10163.382055761109,10000.0,1000.0,0.0140815999911865,1.1732330999948315,1.9998697098344564e-07,2.3200002033263445e-05,1.68142269999953,0.0011369999992894,2.8699157999944878,103.0,59.0,14.0,58.666666666666664
Custom,,,mean_reversion,morning_only,False,static_pct,0.003,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,40.0,0.55,0.45,1.5654295616117089,1.047542630311929,80,42,2,9,9,62.5,11.677265151939604,-9.025911509154245,3.9135739040294113,-17.872451838878874,0.3913573904029411,0.3913573904029411,2.1562485480637807,2.9982870871451013,4.0,41.52501502134052,156.54295616117645,10156.54295616117,10156.54295616117,10000.0,1000.0,0.010442899991176,1.1552377000043634,3.00002284348011e-07,3.0499999411404133e-05,1.7414111000107368,0.0010785000049509,2.9082277999987127,113.0,60.0,16.0,63.0
Custom,,,mean_reversion,morning_only,False,static_pct,0.003,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,50.0,0.55,0.45,1.9142567372696977,1.347974336847087,118,59,0,9,10,55.932203389830505,12.33682176364275,-8.295747864355008,3.2445029445250944,-18.39554045707223,0.3244502944525094,0.3244502944525094,1.8875059889671093,3.411219826630511,5.9,44.62925361467489,191.42567372698056,10191.42567372697,10191.42567372697,10000.0,1000.0,0.0104932000103872,1.0398482999880798,2.00001522898674e-07,1.8699996871873736e-05,1.5207251999963771,0.0016000000032363,2.572702699995716,71.0,88.0,43.0,67.33333333333333
Custom,,,mean_reversion,morning_only,False,static_pct,0.003,1.0,0.0,25,none,target_1x_stop_low,0.5,eod,40.0,0.55,0.45,1.5386314140441573,1.1028819273755048,74,46,9,9,9,59.45945945945946,13.497554156440826,-9.538870002485282,4.158463281200511,-24.07513561582914,0.4158463281200511,0.4158463281200511,2.0753414982720244,2.808759935945196,3.7,43.57658969458203,153.8631414044189,10153.863141404416,10153.863141404416,10000.0,1000.0,0.0100933999929111,0.8304458000056911,3.00002284348011e-07,1.3199998647905886e-05,1.386360100004822,0.0012958000006619,2.228223900005105,122.0,65.0,19.0,68.66666666666667
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,40.0,0.55,0.45,2.5957526201568544,2.528941556234302,110,58,3,12,10,90.9090909090909,6.496572243461181,-13.050670031473214,4.719550218467145,-32.608583296620395,0.4719550218467144,0.4719550218467144,4.977960693047896,2.865770645561704,5.5,71.73026117463543,259.57526201569294,10259.575262015684,10259.575262015684,10000.0,1000.0,0.0303940000012516,2.6030955000023823,4.00003045797348e-07,3.2899988582357764e-05,2.28246930000023,0.0014662000030511,4.917526100005489,31.0,15.0,163.0,69.66666666666667
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,40.0,0.55,0.45,2.662620704964465,2.5797284386195285,118,61,2,12,10,88.13559322033898,6.337710422686172,-9.042695926174392,4.512916449092545,-32.608583296620395,0.4512916449092545,0.4512916449092545,5.206426817056934,2.9402020772617465,5.9,71.62735660141861,266.2620704964602,10266.262070496448,10266.262070496448,10000.0,1000.0,0.0099795999994967,0.8503386999946088,3.00002284348011e-07,1.5199999324977398e-05,1.363257999997586,0.0014988000039011,2.22510599999805,26.0,10.0,173.0,69.66666666666667
Custom,,,mean_reversion,morning_only,False,static_pct,0.003,1.0,0.0,30,none,target_1x_stop_low,0.5,eod,50.0,0.55,0.45,1.8769630279560443,1.4229556156314398,104,58,6,8,10,55.76923076923077,13.737548823439182,-9.160548394961909,3.6095442845310073,-24.07513561582914,0.3609544284531007,0.3609544284531007,1.89085374208478,3.233712644423224,5.2,46.18529246836506,187.6963027956124,10187.696302795604,10187.696302795604,10000.0,1000.0,0.0094947000034153,0.8149181000044337,2.00001522898674e-07,1.4599994756281376e-05,1.6689100000075996,0.0016355000116163,2.494988199992804,74.0,87.0,50.0,70.33333333333333
Custom,,,mean_reversion,morning_only,False,static_pct,0.001,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,40.0,0.55,0.45,2.6337474648057104,2.5427814889665123,122,63,2,13,10,88.52459016393442,6.1489187966308405,-9.809552648211412,4.317618794763696,-32.608583296620395,0.4317618794763696,0.4317618794763696,4.835543284412769,2.935993792304841,6.1,70.9436398398089,263.3747464805855,10263.374746480573,10263.374746480573,10000.0,1000.0,0.0102441000053659,0.8612733999907505,2.00001522898674e-07,1.4300007023848592e-05,1.376412999990862,0.00152390000585,2.2494836000114447,28.0,19.0,165.0,70.66666666666667
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,25,none,target_1x_stop_low,0.5,eod,40.0,0.55,0.45,1.51476627575099,1.1028819273755048,76,47,9,9,9,57.89473684210527,13.497554156440826,-9.091847741662155,3.986227041450096,-24.07513561582914,0.3986227041450095,0.3986227041450095,2.041294299294236,2.76175763688656,3.8,43.63708335641979,151.47662757510363,10151.4766275751,10151.4766275751,10000.0,1000.0,0.0100138000125298,0.8322016000020085,2.00001522898674e-07,1.3900003978051244e-05,1.3672304000065196,0.0012411999923642,2.2107161000021733,125.0,71.0,19.0,71.66666666666667
Custom,,,mean_reversion,morning_only,False,static_pct,0.001,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,40.0,0.55,0.45,2.552734200586565,2.5517868482293404,110,58,3,12,10,90.9090909090909,6.410535404320613,-13.050670031473214,4.641334910157537,-32.608583296620395,0.4641334910157537,0.4641334910157537,4.912035465505493,2.8100149503710887,5.5,71.97389337516834,255.27342005866456,10255.273420058656,10255.273420058656,10000.0,1000.0,0.0113586000079521,1.0514390000025742,3.00002284348011e-07,1.720000000204891e-05,1.75020979999681,0.0036117999989073,2.816655400005402,36.0,17.0,167.0,73.33333333333333
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,10,none,target_1x_stop_low,0.5,eod,50.0,0.55,0.45,1.9366203463831697,1.3813726272727893,132,70,4,13,10,56.060606060606055,11.775422528919483,-8.345813756265157,2.9342732520959305,-18.39554045707223,0.2934273252095931,0.2934273252095931,1.8001617804389756,3.204168176769844,6.6,48.07403769543747,193.66203463833145,10193.662034638315,10193.662034638315,10000.0,1000.0,0.0103035999927669,0.9555892999924254,2.00001522898674e-07,1.410000550094992e-05,1.6173395999940112,0.0011330999986967,2.584395699988818,70.0,106.0,48.0,74.66666666666667
Custom,,,mean_reversion,morning_only,False,static_pct,0.003,1.0,0.0,10,none,target_1x_stop_low,0.5,eod,50.0,0.55,0.45,1.82740706802706,1.3802410832031973,122,61,0,11,10,54.09836065573771,12.557123502552292,-8.273013170768158,2.9957492918478232,-18.39554045707223,0.2995749291847823,0.2995749291847823,1.7888847363912477,3.23033104338167,6.1,44.99538563528339,182.74070680271723,10182.740706802706,10182.740706802706,10000.0,1000.0,0.010515399990254,0.922977499998524,3.00002284348011e-07,1.440000778529793e-05,1.4957332000049064,0.002070000002277,2.4313259000045946,79.0,108.0,46.0,77.66666666666667
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,50.0,0.55,0.45,3.4226578704296844,2.8452672230594898,144,75,3,14,10,93.05555555555556,6.144861401332009,-13.887985369252988,4.753691486708052,-32.608583296620395,0.4753691486708051,0.4753691486708051,5.928947978311265,3.1467465682101143,7.2,86.04667147890297,342.2657870429797,10342.265787042968,10342.265787042968,10000.0,1000.0,0.010661499996786,0.911621399995056,4.00003045797348e-07,3.029999788850546e-05,1.3348487000039313,0.0022040000039851,2.259391900006449,1.0,2.0,231.0,78.0
Custom,,,mean_reversion,morning_only,False,static_pct,0.003,1.0,0.0,20,none,target_1x_stop_low,0.5,eod,50.0,0.55,0.45,1.784988661930911,1.3864158793316723,114,57,0,9,10,54.38596491228071,12.840502828010564,-8.44448928750878,3.131559056019284,-18.39554045707223,0.3131559056019283,0.3131559056019283,1.8129965914673143,3.2099292725203177,5.7,44.24100511158352,178.49886619309916,10178.498866193093,10178.498866193093,10000.0,1000.0,0.0101125999935902,0.8400398999947356,3.00002284348011e-07,1.7099999240599573e-05,1.384741200003191,0.0011895999923581,2.2361151999939466,85.0,100.0,49.0,78.0
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,40.0,0.55,0.45,2.605962175087297,2.6451610773517578,108,55,1,12,10,92.5925925925926,6.457625226086322,-15.57126094889398,4.825855879791486,-32.608583296620395,0.4825855879791486,0.4825855879791486,5.1839292650100095,2.87410936774937,5.4,71.72409241382057,260.5962175087402,10260.59621750873,10260.59621750873,10000.0,1000.0,0.0103977999970084,0.8266533999994863,1.9998697098344564e-07,1.4600009308196604e-05,1.3659494000021368,0.0016845999925862,2.204715699990629,30.0,11.0,193.0,78.0
