symbol,winner_metric,metric_value,sma_bars,time_window_mode,threshold_mode,threshold_value,threshold_label,trades_per_day,win_rate,profit_factor,realized_pnl,sharpe_ratio,max_drawdown_pct,expectancy,max_loss_trade,avg_winning_trade,avg_losing_trade,avg_return_per_trade_pct,avg_move_captured_pct,pnl_stability,atr_percentile_threshold,regime_filter_enabled,regime,start_date,end_date,config_key
AAPL,net_pnl,-58.061194506096626,20,full_day,static_pct,0.002,0.0020,0.3870967741935484,70.83333333333334,0.5931697607425674,-58.061194506096626,-1.0385790626172953,41.80261871242519,-2.419216437754026,-63.642445171671966,4.979695898317359,-20.388003539641677,-0.24192164377540262,-0.24192164377540262,6.403667614374764,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
AAPL,sharpe,-1.0385790626172953,20,full_day,static_pct,0.002,0.0020,0.3870967741935484,70.83333333333334,0.5931697607425674,-58.061194506096626,-1.0385790626172953,41.80261871242519,-2.419216437754026,-63.642445171671966,4.979695898317359,-20.388003539641677,-0.24192164377540262,-0.24192164377540262,6.403667614374764,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
AAPL,max_drawdown,41.80261871242519,20,full_day,static_pct,0.002,0.0020,0.3870967741935484,70.83333333333334,0.5931697607425674,-58.061194506096626,-1.0385790626172953,41.80261871242519,-2.419216437754026,-63.642445171671966,4.979695898317359,-20.388003539641677,-0.24192164377540262,-0.24192164377540262,6.403667614374764,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
ABBV,net_pnl,133.57354096585357,20,full_day,static_pct,0.002,0.0020,0.5483870967741935,79.41176470588235,5.470419192974449,133.57354096585357,3.6996634131262245,8.56464009443204,3.9286335578192224,-6.050276949296858,6.05381343806027,-4.268488837396246,0.3928633557819222,0.3928633557819222,4.596668148339179,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
ABBV,sharpe,3.6996634131262245,20,full_day,static_pct,0.002,0.0020,0.5483870967741935,79.41176470588235,5.470419192974449,133.57354096585357,3.6996634131262245,8.56464009443204,3.9286335578192224,-6.050276949296858,6.05381343806027,-4.268488837396246,0.3928633557819222,0.3928633557819222,4.596668148339179,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
ABBV,max_drawdown,8.56464009443204,20,full_day,static_pct,0.002,0.0020,0.5483870967741935,79.41176470588235,5.470419192974449,133.57354096585357,3.6996634131262245,8.56464009443204,3.9286335578192224,-6.050276949296858,6.05381343806027,-4.268488837396246,0.3928633557819222,0.3928633557819222,4.596668148339179,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
ADBE,net_pnl,-51.59804460616601,20,full_day,static_pct,0.002,0.0020,0.4838709677419355,70.0,0.7194472944364622,-51.59804460616601,-0.3354360001377,55.258194896528025,-1.7199348202055338,-75.0182330093794,6.300840287584676,-20.43507673838269,-0.17199348202055337,-0.17199348202055337,8.63636937262484,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
ADBE,sharpe,-0.3354360001377,20,full_day,static_pct,0.002,0.0020,0.4838709677419355,70.0,0.7194472944364622,-51.59804460616601,-0.3354360001377,55.258194896528025,-1.7199348202055338,-75.0182330093794,6.300840287584676,-20.43507673838269,-0.17199348202055337,-0.17199348202055337,8.63636937262484,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
ADBE,max_drawdown,55.258194896528025,20,full_day,static_pct,0.002,0.0020,0.4838709677419355,70.0,0.7194472944364622,-51.59804460616601,-0.3354360001377,55.258194896528025,-1.7199348202055338,-75.0182330093794,6.300840287584676,-20.43507673838269,-0.17199348202055337,-0.17199348202055337,8.63636937262484,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
AMD,net_pnl,283.4760381679081,20,full_day,static_pct,0.002,0.0020,0.7419354838709677,80.43478260869566,2.7609614097244197,283.4760381679081,2.625841852731995,19.198344116583428,6.162522568867567,-70.50750667771922,12.012271184474562,-17.886443961961188,0.6162522568867567,0.6162522568867567,14.708539441141678,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
