regime,start_date,end_date,strategy_mode,sma_bars,entry_threshold_pct,scope,symbol,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,total_trades
Late2025,2025-10-04,2025-12-31,sma,100,0.005,symbol,AAPL,-0.6389208155405048,2.1835604571167524,22.22222222222222,21.313175739086297,-7.610718819597281,36
Late2025,2025-10-04,2025-12-31,sma,100,0.005,symbol,MSFT,-0.2583748730224943,0.7781220223248615,44.44444444444444,6.688010686459959,-7.072907702651342,18
Late2025,2025-10-04,2025-12-31,sma,100,0.005,symbol,NVDA,-0.14563392039766312,4.01149787133358,16.666666666666664,58.7401869951374,-12.071668333244606,36
Mar2026,2026-03-01,2026-04-04,sma,100,0.0005,portfolio,COMBINED,-0.39095276991465655,1.0562775254001644,23.52941176470588,9.510156789356987,-4.429866588704605,65
Mar2026,2026-03-01,2026-04-04,sma,100,0.0005,symbol,AAPL,-0.45797188739190914,0.9488961436575392,25.0,9.05682242881428,-5.563229072893125,15
Mar2026,2026-03-01,2026-04-04,sma,100,0.0005,symbol,MSFT,0.32237477940109327,0.40816003311374527,42.857142857142854,8.125198153194146,-3.407442119886477,13
Mar2026,2026-03-01,2026-04-04,sma,100,0.0005,symbol,NVDA,-1.0372612017530856,1.9906350121175227,15.789473684210526,11.197338332548304,-4.260461774338441,37
Late2025,2025-10-04,2025-12-31,sma,100,0.0025,portfolio,COMBINED,-0.40821083836030087,2.12749421917112,21.53846153846154,22.938560364944212,-7.097273116573507,130
Late2025,2025-10-04,2025-12-31,sma,100,0.0025,symbol,AAPL,-1.1733746124348272,2.2104834581820856,15.384615384615385,24.31950159129629,-6.199567883924805,52
Late2025,2025-10-04,2025-12-31,sma,100,0.0025,symbol,MSFT,-0.23575726167929587,0.6546141877013886,35.714285714285715,7.379115646459686,-4.972683735734321,28
Late2025,2025-10-04,2025-12-31,sma,100,0.0025,symbol,NVDA,0.18449935903326148,3.5796643804895347,20.0,37.39325210234707,-9.040814093864714,50
Late2025,2025-10-04,2025-12-31,sma,20,0.0025,portfolio,COMBINED,-0.4396397599068223,2.316685072425548,32.91139240506329,12.325598942692473,-6.461274726515951,316
Late2025,2025-10-04,2025-12-31,sma,20,0.0025,symbol,AAPL,-0.9962271107095466,2.9429392721916448,30.0,9.187736116710154,-4.88638891736108,100
Late2025,2025-10-04,2025-12-31,sma,20,0.0025,symbol,MSFT,-2.924630913186215,2.9967103834002957,29.166666666666668,7.496379464279876,-5.9540296942978275,96
Late2025,2025-10-04,2025-12-31,sma,20,0.0025,symbol,NVDA,2.6019387441752952,3.2302109662039786,38.333333333333336,17.31155612041034,-8.417148629646679,120
Mar2026,2026-03-01,2026-04-04,sma,100,0.0,portfolio,COMBINED,-0.4468369801827794,1.1369289282100181,20.0,9.819746696128288,-3.8513022371033707,77
Mar2026,2026-03-01,2026-04-04,sma,100,0.0,symbol,AAPL,-0.443890694621873,0.9348149508875031,25.0,9.05682242881428,-5.485000224170737,15
Mar2026,2026-03-01,2026-04-04,sma,100,0.0,symbol,MSFT,0.2725820848853391,0.5320318418492848,30.0,8.950771237917612,-2.5380348882250305,19
Mar2026,2026-03-01,2026-04-04,sma,100,0.0,symbol,NVDA,-1.1692023308118722,2.1225761411763093,13.636363636363635,11.197338332548304,-3.8192329486688528,43
Late2025,2025-10-04,2025-12-31,sma,10,0.0025,portfolio,COMBINED,-0.4951058843582359,2.045560073131068,33.18181818181819,10.045155970895118,-5.325217512320852,440
Late2025,2025-10-04,2025-12-31,sma,10,0.0025,symbol,AAPL,-1.8728073741054685,3.8127500321055328,28.35820895522388,7.718661725194398,-4.355864276018198,134
Late2025,2025-10-04,2025-12-31,sma,10,0.0025,symbol,MSFT,-1.3177012941262956,2.5765783512967007,39.682539682539684,5.648260754031226,-4.871839350569924,126
Late2025,2025-10-04,2025-12-31,sma,10,0.0025,symbol,NVDA,1.7051910151570018,3.5807062044128672,32.22222222222222,15.359837732616183,-6.3704195695185994,180
