regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,ml_probability_buy,ml_probability_sell,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_model_load_seconds,timing_ml_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds,rank_return,rank_pf,rank_drawdown,combined_score
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.8964988465853638,3.48355898129234,186,117,24,27,10,76.34408602150538,7.952711991398917,-21.590575760489426,0.9639772543930736,-58.21953341567189,0.0963977254393073,0.0963977254393073,1.1887395131288852,0.9912344751478612,9.3,75.6110794805049,89.64988465855583,10089.649884658536,10089.649884658536,10000.0,1000.0,0.0306921999981568,2.6885502000004635,3.00002284348011e-07,2.3200002033263445e-05,6.542057399998157,0.0039877999988675,9.265344700001153,4.0,1.0,4.0,3.0
Custom,,,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,1.5817306856948743,3.9657785500718696,492,360,114,75,10,69.91869918699187,6.058556450018212,-11.944576227481075,0.6429799535346866,-73.31987568488421,0.0642979953534686,0.0642979953534686,1.1789493288736828,1.4946826772596504,24.6,88.0108077064452,158.17306856953292,10158.173068569487,10158.173068569487,10000.0,1000.0,0.0410675999992236,4.740323699999863,7.999988156370819e-07,3.460000152699649e-05,7.724355800000922,0.0051512000027287,12.510986099998265,1.0,2.0,10.0,4.333333333333333
Custom,,,mean_reversion,full_day,False,static_pct,0.0015,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,1.5632523042617867,3.938626663080965,568,425,141,90,10,71.12676056338029,5.279282034383682,-11.098655372186286,0.550440952205029,-73.31987568488421,0.0550440952205029,0.0550440952205029,1.1717690283345386,1.495647570760736,28.4,86.96622604412559,156.32523042622825,10156.32523042618,10156.32523042618,10000.0,1000.0,0.1600097000009555,3.801226199997473,8.00002453615889e-07,0.0002037999984167,7.509652900000219,0.0074613000033423,11.47864959999788,2.0,3.0,9.0,4.666666666666667
Custom,,,mean_reversion,full_day,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.2139977847980844,3.774530703240933,292,250,104,63,10,75.34246575342466,7.543115992243201,-22.45397168519217,0.1465738252043411,-62.73761248021708,0.0146573825204341,0.0146573825204341,1.0264736367997878,0.255112042177346,14.6,93.04809056795123,21.3997784798338,10021.399778479808,10021.399778479808,10000.0,1000.0,0.0219399000015982,2.596089499998925,2.999986463692039e-07,2.1999996533850208e-05,5.610164699999586,0.0069380000022647,8.235181300002296,5.0,6.0,6.0,5.666666666666667
Custom,,,mean_reversion,full_day,False,static_pct,0.0025,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.9307408198818848,4.018496970703072,448,328,104,68,10,68.30357142857143,6.202103963838448,-12.054194710972512,0.4155092945903317,-73.31987568488421,0.0415509294590331,0.0415509294590331,1.1087507373695646,0.9434094263673376,22.4,84.11048188332308,93.0740819882343,10093.074081988188,10093.074081988188,10000.0,1000.0,0.0368001999995613,4.684950499999104,6.000009307172149e-07,3.3399999665562063e-05,8.582673299999442,0.0060183999994478,13.31084810000175,3.0,4.0,11.0,6.0
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.1980267507538519,4.104362226430318,190,125,30,29,10,74.73684210526315,7.708659617125725,-21.979673239188383,0.2084492113200547,-58.21953341567189,0.0208449211320054,0.0208449211320054,1.0375397510461664,0.2562912784111874,9.5,81.64347543414532,19.802675075405205,10019.802675075383,10019.802675075383,10000.0,1000.0,0.0260899999993853,2.991384599998128,6.000009307172149e-07,3.579999975045212e-05,5.3127002000001085,0.0042346000009274,8.334525399997801,6.0,5.0,13.0,8.0
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-0.1217122209797344,4.117470785789428,202,132,31,32,10,74.25742574257426,7.486898187870447,-22.06494562262457,-0.1205071494847065,-58.21953341567189,-0.0120507149484706,-0.0120507149484706,0.9787842700883684,-0.0483806492951268,10.1,82.64978684572662,-12.171222097955363,9987.828777902028,9987.828777902028,10000.0,1000.0,0.0409284999986994,2.899980100002722,5.000001692678779e-07,2.9599999834317717e-05,4.755147100000613,0.0029955999998492,7.699126100000285,7.0,7.0,14.0,9.333333333333334
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-0.7561752299655564,3.795626920659457,224,134,22,27,10,65.17857142857143,6.545808923494668,-14.19132242081144,-0.6751564553262079,-70.97170127538095,-0.0675156455326208,-0.0675156455326208,0.8633734906042574,-0.810437553124597,11.2,68.71290405014011,-75.61752299653529,9924.382477003444,9924.382477003444,10000.0,1000.0,0.0529220999997051,4.124701900000218,5.999972927384079e-07,3.159999687341042e-05,6.872880999999325,0.0042415999996592,11.054823800001031,10.0,12.0,8.0,10.0
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-0.801813084196092,3.766359542469676,198,117,18,21,10,66.66666666666666,6.811157157228801,-16.052050933233122,-0.8099122062585065,-70.97170127538095,-0.0809912206258506,-0.0809912206258506,0.8486338830544606,-0.8797991490353846,9.9,67.62809851698049,-80.18130841959214,9919.81869158039,9919.81869158039,10000.0,1000.0,0.0277716999989934,2.976560399998561,2.999986463692039e-07,2.1800002286909148e-05,6.030604399998992,0.0053732000014861,9.04035870000007,12.0,15.0,5.0,10.666666666666666
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-0.7642235587072901,3.79114365923859,208,123,19,24,10,65.38461538461539,6.848319806901255,-15.058558409444329,-0.7348303449106777,-70.97170127538095,-0.0734830344910677,-0.0734830344910677,0.8590274606034363,-0.8317322611543249,10.4,67.92360869308061,-76.42235587071048,9923.577644129273,9923.577644129273,10000.0,1000.0,0.0352678999988711,4.528673200002231,5.000001692678779e-07,3.1299998227041215e-05,6.21298310000202,0.0029489999978977,10.779940599997644,11.0,14.0,7.0,10.666666666666666
