regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds,rank_return,rank_pf,rank_drawdown,combined_score
Custom,,,sma,morning_only,False,static_pct,0.0025,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,0.0,4.606178402489149,3.9673577263298583,232,167,51,13,2,38.793103448275865,10.117049655976158,-5.114699527734421,0.7941686900843381,-15.245788305497854,0.0794168690084338,0.0794168690084338,1.2536835323207018,1.2745514761196153,1.870967741935484,9.405429202994856,92.12356804978322,2092.123568049783,2092.123568049783,2000.0,1000.0,0.0143551000001025,1.626717400002235,1.7900834000029135,0.0010422000013932,3.4322036000012304,1.0,1.0,1.0,1.0
Custom,,,sma,morning_only,False,static_pct,0.0025,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,0.0,-0.3765916486404534,5.3313543266578,240,212,92,16,2,35.0,8.697832196439059,-4.780010066964721,-0.0627652747733975,-11.62536840956227,-0.0062765274773397,-0.0062765274773397,0.9797987954340944,-0.0726421283410135,1.935483870967742,8.902144048069918,-7.531832972807706,1992.468167027191,1992.468167027191,2000.0,1000.0,0.0100955000016256,1.251864400001068,1.7725190999990446,0.0014240999989851,3.035907500001485,2.0,2.0,3.0,2.3333333333333335
Custom,,,sma,morning_only,False,static_pct,0.001,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,0.0,-0.9228335133327276,5.796629030686932,280,289,149,18,2,33.57142857142857,8.932799442475932,-4.712884344763692,-0.1318333590475325,-15.245788305497854,-0.0131833359047532,-0.0131833359047532,0.95789015694984,-0.2188974914325888,2.2580645161290325,9.219499722814746,-18.456670266654555,1981.5433297333452,1981.5433297333452,2000.0,1000.0,0.010568300000159,1.7069608999991033,1.7768135000005714,0.0019270000011601,3.4962752999999798,3.0,3.0,4.0,3.3333333333333335
Custom,,,sma,morning_only,False,static_pct,0.0025,1.0,0.0,10,none,target_1x_stop_low,0.5,sma,0.0,-2.12635797569651,4.178745438861683,246,228,105,12,2,35.77235772357724,6.946110705742171,-4.407038361602347,-0.3457492643408931,-9.427134223573148,-0.0345749264340893,-0.0345749264340893,0.8778502861354387,-0.760433039150311,1.9838709677419355,6.893187253448591,-42.52715951392986,1957.4728404860696,1957.4728404860696,2000.0,1000.0,0.0105144999979529,1.2563303999995696,1.8109759999970263,0.0016614000014669,3.079491300002701,5.0,5.0,2.0,4.0
Custom,,,sma,morning_only,False,static_pct,0.001,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,0.0,-1.8797493403282144,6.554569979707472,280,319,179,20,2,30.0,8.903055788831336,-4.199217652423253,-0.2685356200468764,-11.62536840956227,-0.0268535620046876,-0.0268535620046876,0.9086443366108202,-0.4985174266578598,2.2580645161290325,8.953543636014635,-37.5949868065627,1962.405013193436,1962.405013193436,2000.0,1000.0,0.0110606999987794,1.0695522999994864,1.5100509000003512,0.0008801000003586,2.591548699998384,4.0,4.0,6.0,4.666666666666667
Custom,,,sma,morning_only,False,static_pct,0.001,1.0,0.0,10,none,target_1x_stop_low,0.5,sma,0.0,-4.245040815806441,6.417125970740941,304,354,202,24,2,32.23684210526316,6.8433188807025775,-4.079839237578208,-0.5585580020797964,-9.427134223573148,-0.0558558002079796,-0.0558558002079796,0.7979626838069243,-1.4065330066796111,2.4516129032258065,7.472013432994203,-84.90081631612907,1915.0991836838712,1915.0991836838712,2000.0,1000.0,0.1932608999995864,1.384595999999874,1.4687104000004183,0.0008077999991655,3.047382100001414,6.0,6.0,5.0,5.666666666666667
