window,segment,train_start,train_end,test_start,test_end,trades,win_rate,profit_factor,realized_pnl,total_return_pct,sharpe_ratio,max_drawdown_pct
1,is,2025-10-06,2025-12-30,2025-12-31,2026-01-29,1618,49.44,0.9371,-168.93,-1.6893,-0.7689,4.2362
1,oos,2025-10-06,2025-12-30,2025-12-31,2026-01-29,538,54.28,1.1337,118.05,1.1805,2.6034,1.1688
2,is,2025-11-03,2026-01-29,2026-01-30,2026-02-27,1548,51.42,0.9441,-143.06,-1.4306,-0.8361,4.1291
2,oos,2025-11-03,2026-01-29,2026-01-30,2026-02-27,568,39.44,0.6085,-615.7,-6.157,-9.8763,6.5074
3,is,2025-12-02,2026-02-27,2026-03-02,2026-03-27,1696,48.94,0.842,-529.48,-5.2948,-3.1394,6.5177
3,oos,2025-12-02,2026-02-27,2026-03-02,2026-03-27,428,48.6,0.6398,-322.47,-3.2247,-6.9169,3.3523
