window,segment,train_start,train_end,test_start,test_end,trades,win_rate,profit_factor,realized_pnl,total_return_pct,sharpe_ratio,max_drawdown_pct
1,is,2025-10-06,2025-12-30,2025-12-31,2026-01-29,650,53.54,0.9434,-156.66,-1.5666,-0.5944,7.1975
1,oos,2025-10-06,2025-12-30,2025-12-31,2026-01-29,190,55.79,1.0036,3.3,0.033,0.0916,2.2743
2,is,2025-11-03,2026-01-29,2026-01-30,2026-02-27,720,56.94,1.0573,179.05,1.7905,0.7102,4.9687
2,oos,2025-11-03,2026-01-29,2026-01-30,2026-02-27,198,56.57,0.7803,-198.19,-1.9819,-3.2855,4.7914
3,is,2025-12-02,2026-02-27,2026-03-02,2026-03-27,764,59.69,1.0606,197.93,1.9793,0.7803,3.9667
3,oos,2025-12-02,2026-02-27,2026-03-02,2026-03-27,180,55.56,0.8405,-125.9,-1.259,-1.6827,2.4102
