regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,sma_bars,entry_threshold_pct,atr_multiple,atr_percentile_threshold,orb_filter_mode,scope,symbol,realized_pnl,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,total_trades,symbol_strategy_mode
Custom,,,mean_reversion,full_day,False,static_pct,20,0.0,1.0,0.0,none,portfolio,COMBINED,-55.521854996662,-0.5552185499667576,3.09375964540064,72.28260869565217,3.739022363667106,-10.113671752286518,-0.010058307064612682,-0.010058307064612682,0.964119070695308,-0.2559372825290403,8.903225806451612,25.857400010377063,1104,
Custom,,,mean_reversion,full_day,False,static_pct,20,0.0,1.0,0.0,none,symbol,AAPL,40.83505179160477,1.2250515537481668,4.06210789098025,72.97297297297297,3.4264369140692064,-8.434678632154762,0.022073000968435008,0.022073000968435008,1.0968265741291743,0.5259404077762712,2.9838709677419355,10.565238459295998,370,mean_reversion
Custom,,,mean_reversion,full_day,False,static_pct,20,0.0,1.0,0.0,none,symbol,MSFT,-147.43357078786084,-4.423007123635853,6.552409019584552,68.36158192090396,2.7781698155186665,-8.635573544028919,-0.08329580270500613,-0.08329580270500613,0.6951282596257976,-1.903134923744285,2.8548387096774195,9.738863981736197,354,mean_reversion
Custom,,,mean_reversion,full_day,False,static_pct,20,0.0,1.0,0.0,none,symbol,NVDA,51.076663999594075,1.532299919987795,5.5982568909211325,75.26315789473685,4.847149594587929,-13.66097293673361,0.02688245473662846,0.02688245473662846,1.0795505222753263,0.4423709037443986,3.064516129032258,16.292109085479815,380,mean_reversion
Custom,,,sma,full_day,False,static_pct,20,0.0,1.0,0.0,none,portfolio,COMBINED,-72.77855580520213,-0.7277855580519826,2.619176026211024,27.255985267034994,9.834807494308441,-3.869190037880636,-0.013403048951234278,-0.013403048951234278,0.9523803414761908,-0.39200771460623407,8.758064516129032,22.75531582956986,1086,
Custom,,,sma,full_day,False,static_pct,20,0.0,1.0,0.0,none,symbol,AAPL,-96.11581673998433,-2.8834745021994923,4.553347874811908,25.53191489361702,7.570754581684493,-3.2822288332917138,-0.05112543443616187,-0.05112543443616187,0.7908306876171642,-1.34102587524963,3.032258064516129,9.0227313985242,376,sma
Custom,,,sma,full_day,False,static_pct,20,0.0,1.0,0.0,none,symbol,MSFT,-54.93790530824117,-1.6481371592473033,3.1732344238987236,28.32369942196532,8.528541310113395,-3.8131970121273993,-0.031756014629041145,-0.031756014629041145,0.8838120291072032,-0.6744648437660945,2.7903225806451615,10.0911386833701,346,sma
Custom,,,sma,full_day,False,static_pct,20,0.0,1.0,0.0,none,symbol,NVDA,78.27516624302336,2.348254987290752,3.2618151161945366,28.021978021978022,13.220720883161516,-4.54947785342148,0.043008333100562283,0.043008333100562283,1.1313382265507255,0.7344847440421218,2.935483870967742,14.342513177511444,364,sma
Custom,,,breakout,full_day,False,static_pct,20,0.0,1.0,0.0,none,portfolio,COMBINED,-299.40402294787316,-2.994040229478742,6.018286506582971,83.33333333333334,15.547747203290024,-177.5400769990745,-1.6633556830437397,-1.6633556830437397,0.43786584601320955,-1.0486474892463935,0.2903225806451613,35.78981272743157,36,
Custom,,,breakout,full_day,False,static_pct,20,0.0,1.0,0.0,none,symbol,AAPL,-16.48080022553779,-0.49442400676611664,4.422406013074061,87.5,12.685560007740362,-105.27972027972032,-0.20601000281922238,-0.20601000281922238,0.8434570287444767,-0.13810931858353928,0.12903225806451613,12.613452087701113,16,breakout
Custom,,,breakout,full_day,False,static_pct,20,0.0,1.0,0.0,none,symbol,MSFT,-194.27341258672652,-5.828202377601806,9.044221036398854,83.33333333333334,15.96321307872106,-274.0894779803318,-3.237890209778775,-3.237890209778775,0.2912044124485974,-1.8790484220265995,0.0967741935483871,13.22979639064148,12,breakout
Custom,,,breakout,full_day,False,static_pct,20,0.0,1.0,0.0,none,symbol,NVDA,-88.64981013560885,-2.659494304068262,6.524889668829635,75.0,21.533740867187515,-153.25103273717139,-2.216245253390221,-2.216245253390221,0.4215385792039323,-0.43825750119280593,0.06451612903225806,22.981736519591497,8,breakout
