regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds
Custom,,,sma,full_day,False,static_pct,0.001,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,0.0,4.760714511059609,2.1335227034794784,116,123,65,11,2,32.758620689655174,11.926698419904943,-3.3690507630000215,1.6416256934688465,-11.927330173775772,0.16416256934688464,0.16416256934688464,1.7246527964985887,5.180275739551646,5.8,14.8071878742382,95.2142902211931,2095.214290221192,2095.214290221192,2000.0,1000.0,0.00641150000228663,0.22527999999874737,0.36320900000282563,0.000632800001767464,0.5955364000001282
Custom,,,sma,full_day,False,static_pct,0.0025,1.0,0.0,5,none,target_1x_stop_low,0.5,sma,0.0,3.858566489990517,2.3079556908496377,114,74,17,9,2,36.84210526315789,9.819947389042254,-3.584654593613231,1.353882978944053,-16.223332171758102,0.1353882978944053,0.1353882978944053,1.5980068634266973,3.86249615705266,5.7,16.21144053350177,77.17132979981102,2077.1713297998103,2077.1713297998103,2000.0,1000.0,0.006188200000906363,0.21798869999838644,0.356966299998021,0.00024810000104480423,0.5813954000004742
Custom,,,sma,full_day,False,static_pct,0.001,1.0,0.0,10,none,target_1x_stop_low,0.5,sma,0.0,3.762212653755136,2.4787352851488835,152,116,40,9,2,36.84210526315789,8.610779534763875,-3.455366122880958,0.9900559615145067,-14.010981580157363,0.09900559615145066,0.09900559615145066,1.4536678748312506,3.863474995007282,7.6,15.890074640990393,75.2442530751025,2075.2442530751027,2075.2442530751027,2000.0,1000.0,0.006137999997008592,0.21271869999691262,0.3545838999998523,0.00034360000063315965,0.5737881000022753
Custom,,,sma,full_day,False,static_pct,0.005,1.0,0.0,10,none,target_1x_stop_low,0.5,sma,0.0,3.3755327369713997,1.6512189757201545,48,43,19,6,2,62.5,8.2213353246474,-6.2010416811425175,2.8129439474761804,-11.927330173775772,0.281294394747618,0.281294394747618,2.2096651249333994,4.844774542877473,2.4,11.100018868905945,67.51065473942833,2067.510654739428,2067.510654739428,2000.0,1000.0,0.0064336999967054,0.21344699999826844,0.35539780000181054,0.0006130000001576263,0.5758949999981269
Custom,,,sma,full_day,False,static_pct,0.0025,1.0,0.0,10,none,target_1x_stop_low,0.5,sma,0.0,3.1455130478061393,2.4903805422003122,100,73,23,3,2,42.0,8.555007060988135,-4.025685769814753,1.2582052191224602,-12.525820770887321,0.12582052191224602,0.12582052191224602,1.5388695162400643,3.53296074408178,5.0,14.457784146334784,62.91026095612301,2062.910260956123,2062.910260956123,2000.0,1000.0,0.005924099998082966,0.21696130000054836,0.35431859999880544,0.00033799999800976366,0.577545199997985
Custom,,,sma,full_day,False,static_pct,0.0,1.0,0.0,10,none,target_1x_stop_low,0.5,sma,0.0,1.6964427018001513,3.67195409423387,192,220,124,26,2,29.166666666666668,7.618925705460664,-2.6382509664249465,0.3534255628750233,-13.236966054896925,0.035342556287502325,0.035342556287502325,1.1891229235479772,1.8324426887487641,9.6,15.309385378774468,33.928854036002235,2033.928854036003,2033.928854036003,2000.0,1000.0,0.006234699998458382,0.23750299999665003,0.36637960000007297,0.0003814999981841538,0.6105029999998806
Custom,,,sma,full_day,False,static_pct,0.0,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,0.0,1.4590516786458465,3.3519431802500894,128,249,185,43,2,25.0,9.189900963992017,-2.4553621218949004,0.4559536495768288,-11.927330173775772,0.045595364957682884,0.045595364957682884,1.2475961464155039,1.7784398529133683,6.4,13.417526627194665,29.181033572917045,2029.181033572917,2029.181033572917,2000.0,1000.0,0.006188299998029834,0.23720020000109798,0.45724669999981415,0.0003558999997039791,0.7009945999998308
Custom,,,sma,full_day,False,static_pct,0.001,1.0,0.0,5,none,target_1x_stop_low,0.5,sma,0.0,1.292970902134789,2.5673698798393616,186,211,118,31,2,32.25806451612903,8.102836737421171,-3.4480267314275945,0.2780582585236203,-16.223332171758102,0.027805825852362027,0.027805825852362027,1.1190440170655902,1.2341524913890463,9.3,17.602072218177693,25.85941804269669,2025.8594180426958,2025.8594180426958,2000.0,1000.0,0.006159599997772602,0.22765280000021448,0.35655229999974836,0.0002502000024833251,0.5906207999978506
Custom,,,sma,full_day,False,static_pct,0.005,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,0.0,0.7163530858850435,2.0162516515370053,52,56,30,6,2,34.61538461538461,10.227415674364327,-4.571745844210475,0.5510408352961874,-11.927330173775772,0.05510408352961874,0.05510408352961874,1.1843427795538115,0.9909004978001095,2.6,12.138479594882478,14.327061717700872,2014.3270617177009,2014.3270617177009,2000.0,1000.0,0.006071499999961816,0.21563310000055935,0.3529374999998254,0.00043480000022100285,0.575080300000991
Custom,,,sma,full_day,False,static_pct,0.005,1.0,0.0,5,none,target_1x_stop_low,0.5,sma,0.0,0.32962354736266664,1.9944170865398063,42,35,14,4,2,38.095238095238095,11.118438351241153,-6.3350027586673585,0.31392718796445523,-16.223332171758102,0.03139271879644552,0.03139271879644552,1.0800493968364764,0.5344466821043097,2.1,10.551056320560974,6.59247094725356,2006.5924709472533,2006.5924709472533,2000.0,1000.0,0.005743100002291612,0.28086659999826225,0.36118550000173855,0.00024929999926825985,0.6480482999977539
