time_bucket,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_expectancy_pct,median_net_return_pct,net_win_rate_pct,net_profit_factor
afternoon,4,113,0.21392084241329057,0.19848954298992863,61.94690265486725,0.1599434857931962,0.14804114031264817,58.4070796460177,1.6643810977714508
midday,4,13,0.14418550338472025,0.2486446826723129,69.23076923076923,0.09532381782667192,0.2058408998288087,61.53846153846154,1.696279488751347
morning,4,31,0.030096453330413133,0.06464798131464845,58.06451612903226,-0.024648058988526417,0.020934823401853462,58.06451612903226,0.8730690914014455
open_30m,4,43,-0.02063836072393502,0.18450184501844552,62.7906976744186,-0.08063807629163224,0.1178046263017336,55.81395348837209,0.8232877900270232
