symbol,strategy_mode,signal_ts,entry_ts,signal_hour,time_bucket,month,date,action,reason,hybrid_branch_active,hybrid_regime_branch,mr_signal,price,sma,trend_sma,trend_sma_slope,atr_pct,atr_percentile,volatility_regime,adx,trend_proxy,bullish_regime,priority,entry_open,entry_fill,fwd_4b_gross_pct,fwd_4b_net_pct
AMD,trend_pullback,2026-01-16 10:00:00-05:00,2026-01-16 10:15:00-05:00,10:00,open_30m,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,232.48,232.94366666666667,229.1555,1.1055999999999813,0.009009446545608419,73.80952380952381,high_vol,35.11422700951582,trend,bearish,0.0,232.37,232.42000000000002,0.320609372982745,0.27551484381722274
AMD,trend_pullback,2026-01-16 10:15:00-05:00,2026-01-16 10:30:00-05:00,10:00,open_30m,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,231.5,232.529,229.38459999999998,1.0682999999999652,0.00903076511200234,72.09302325581395,high_vol,33.49890962419143,trend,bearish,0.0,231.6,231.65,0.6044905008635604,0.5591914526224855
AMD,trend_pullback,2026-01-16 10:30:00-05:00,2026-01-16 10:45:00-05:00,10:00,morning,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,230.91,232.079,229.6038,1.0553000000000168,0.008852579423204783,68.18181818181819,high_vol,31.591636931714834,trend,bearish,0.0,231.31,231.36,0.4409666681077386,0.39564868603042663
AMD,trend_pullback,2026-01-21 13:15:00-05:00,2026-01-21 13:30:00-05:00,13:00,midday,2026-01,2026-01-21,BUY,trend_pullback_entry,,,,245.195,247.75199999999998,238.14430000000002,1.4092000000000269,0.00922451311054761,85.98130841121495,high_vol,35.36933441441891,trend,bearish,0.0,245.235,245.28500000000003,1.1478785654576213,1.1048756752349165
AMD,trend_pullback,2026-01-21 13:30:00-05:00,2026-01-21 13:45:00-05:00,13:00,afternoon,2026-01,2026-01-21,BUY,trend_pullback_entry,,,,245.13,247.72866666666667,238.4227,1.4270999999999674,0.00883305604543053,80.55555555555556,high_vol,34.55881393035155,trend,bearish,0.0,244.92,244.97,2.033317001469875,1.990080662938317
AMD,trend_pullback,2026-01-21 13:45:00-05:00,2026-01-21 14:00:00-05:00,13:00,afternoon,2026-01,2026-01-21,BUY,trend_pullback_entry,,,,245.29,247.6953333333333,238.6975,1.4534999999999627,0.008585525986561968,75.22935779816514,high_vol,33.65945140514852,trend,bearish,0.0,245.225,245.275,2.50586196350291,2.4625805728264365
AMD,trend_pullback,2026-01-21 14:00:00-05:00,2026-01-21 14:15:00-05:00,14:00,afternoon,2026-01,2026-01-21,BUY,trend_pullback_entry,,,,244.72,247.55599999999998,238.95950000000002,1.3977000000000146,0.008311909733622449,65.45454545454545,mid_vol,32.57479128938265,trend,bearish,0.0,244.69,244.74,2.362172544852671,2.3188302688567433
AMD,trend_pullback,2026-01-22 13:45:00-05:00,2026-01-22 14:00:00-05:00,13:00,afternoon,2026-01,2026-01-22,BUY,trend_pullback_entry,,,,252.58,253.499,247.6049,2.150299999999987,0.0065160635151514795,24.444444444444443,low_vol,32.145560079843754,trend,bearish,0.0,253.0,253.05,0.38339920948616557,0.341805572021326
AMD,trend_pullback,2026-01-23 13:15:00-05:00,2026-01-23 13:30:00-05:00,13:00,midday,2026-01,2026-01-23,BUY,trend_pullback_entry,,,,258.34,260.4866666666667,254.87240000000003,1.2151000000000352,0.0071491249296348975,41.509433962264154,mid_vol,33.96863279676654,trend,bearish,0.0,258.18,258.23,-0.2401425362150455,-0.2808212059017251
AMD,trend_pullback,2026-01-23 13:30:00-05:00,2026-01-23 13:45:00-05:00,13:00,afternoon,2026-01,2026-01-23,BUY,trend_pullback_entry,,,,257.01,260.036,255.1182,1.2231000000000165,0.007042461979296085,38.125,mid_vol,32.17576029138028,trend,bearish,0.0,256.92,256.97,0.7083917172660724,0.667338833326835
AMD,trend_pullback,2026-01-23 13:45:00-05:00,2026-01-23 14:00:00-05:00,13:00,afternoon,2026-01,2026-01-23,BUY,trend_pullback_entry,,,,256.51,259.57466666666664,255.28740000000002,1.160899999999998,0.006744315452164362,31.055900621118013,low_vol,30.151187248529418,trend,bearish,0.0,256.53,256.58,1.1772502241453393,1.136046613142105
AMD,trend_pullback,2026-01-23 14:00:00-05:00,2026-01-23 14:15:00-05:00,14:00,afternoon,2026-01,2026-01-23,BUY,trend_pullback_entry,,,,256.61,259.088,255.4216,1.06280000000001,0.006461945207638832,26.54320987654321,low_vol,28.321885982910562,trend,bearish,0.0,256.67,256.72,1.1454396696146794,1.1042636335306837
AMD,trend_pullback,2026-01-23 14:15:00-05:00,2026-01-23 14:30:00-05:00,14:00,afternoon,2026-01,2026-01-23,BUY,trend_pullback_entry,,,,257.56,258.78866666666664,255.5454,0.9339999999999975,0.006383144253909947,25.153374233128833,low_vol,26.930489780227116,trend,bearish,0.0,257.55,257.6,0.4232187924674723,0.38231677018632126
AMD,trend_pullback,2026-02-02 14:45:00-05:00,2026-02-02 15:00:00-05:00,14:00,afternoon,2026-02,2026-02-02,BUY,trend_pullback_entry,,,,246.45,248.30066666666667,243.8689,0.006300000000010186,0.005889703071680666,25.856697819314643,low_vol,23.34733133295118,mixed,bearish,0.0,246.48,246.53,-0.11359948068808874,-0.15613945564434745
AMD,trend_pullback,2026-02-03 09:30:00-05:00,2026-02-03 09:45:00-05:00,09:00,open_30m,2026-02,2026-02-03,BUY,trend_pullback_entry,,,,245.92,247.72666666666666,243.8764,0.007499999999993179,0.007101745302785563,48.15950920245399,mid_vol,20.97245125446802,mixed,bearish,0.0,246.22,246.27,-1.4133701567703638,-1.455689040484026
AMD,trend_pullback,2026-02-06 14:00:00-05:00,2026-02-06 14:15:00-05:00,14:00,afternoon,2026-02,2026-02-06,BUY,trend_pullback_entry,,,,206.57,207.47166666666666,199.45950000000002,0.6291000000000224,0.007928978276906286,31.753554502369667,low_vol,44.11638071416095,trend,bearish,0.0,206.56,206.61,0.19848954298992863,0.14804114031264817
AMD,trend_pullback,2026-02-06 14:15:00-05:00,2026-02-06 14:30:00-05:00,14:00,afternoon,2026-02,2026-02-06,BUY,trend_pullback_entry,,,,206.855,207.541,199.5178,0.5509999999999877,0.007640810351829237,28.60520094562648,low_vol,42.86125060840675,trend,bearish,0.0,206.85,206.9,0.49794537104181835,0.4474925084581855
AMD,trend_pullback,2026-02-06 14:30:00-05:00,2026-02-06 14:45:00-05:00,14:00,afternoon,2026-02,2026-02-06,BUY,trend_pullback_entry,,,,206.26,207.56533333333334,199.595,0.4925999999999817,0.007389085110768412,25.943396226415093,low_vol,41.64765198396878,trend,bearish,0.0,206.28,206.33,1.0374248594143816,0.986707410458962
AMD,trend_pullback,2026-02-06 14:45:00-05:00,2026-02-06 15:00:00-05:00,14:00,afternoon,2026-02,2026-02-06,BUY,trend_pullback_entry,,,,206.285,207.4296666666667,199.6721,0.42730000000000246,0.007173828522367531,22.352941176470587,low_vol,40.60733508303074,trend,bearish,0.0,206.25,206.3,0.9696969696969697,0.9189888511875778
AMD,trend_pullback,2026-02-06 15:00:00-05:00,2026-02-06 15:15:00-05:00,15:00,afternoon,2026-02,2026-02-06,BUY,trend_pullback_entry,,,,206.97,207.38633333333334,199.7504,0.37180000000000746,0.007003462136533116,20.187793427230048,low_vol,39.38940857292396,trend,bearish,0.0,206.965,207.01500000000001,1.5195806054163796,1.468907905224262
