month,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_return_pct,median_net_return_pct,net_win_rate_pct
2026-01,1,1,-0.6134013592195153,-0.6134013592195153,0.0,-0.6542204699881268,-0.6542204699881268,0.0
2026-01,2,1,-1.0067571514809182,-1.0067571514809182,0.0,-1.047499678757083,-1.047499678757083,0.0
2026-01,4,1,-1.4565848149085665,-1.4565848149085665,0.0,-1.4972397640324744,-1.4972397640324744,0.0
2026-01,8,1,-1.6396315697232802,-1.6396315697232802,0.0,-1.680250880984363,-1.680250880984363,0.0
2026-02,1,1,-0.42650353265552693,-0.42650353265552693,0.0,-0.514445095168378,-0.514445095168378,0.0
2026-02,2,1,-0.3144925038773127,-0.3144925038773127,0.0,-0.4024823012660477,-0.4024823012660477,0.0
2026-02,4,1,-0.5471307944166854,-0.5471307944166854,0.0,-0.6350204116785789,-0.6350204116785789,0.0
2026-02,8,1,-0.4437359986214032,-0.4437359986214032,0.0,-0.5316701403841193,-0.5316701403841193,0.0
2026-03,1,2,-0.31919135012956135,-0.31919135012956135,0.0,-0.3635269460765698,-0.3635269460765698,0.0
2026-03,2,2,-0.534630171322364,-0.534630171322364,0.0,-0.5789107182482893,-0.5789107182482893,0.0
2026-03,4,2,-0.1019564314841643,-0.1019564314841643,0.0,-0.1463278548683377,-0.1463278548683377,0.0
2026-03,8,2,0.064659247536031,0.064659247536031,50.0,0.020238049167630834,0.020238049167630834,50.0
