symbol,strategy_mode,signal_ts,entry_ts,signal_hour,time_bucket,month,date,action,reason,hybrid_branch_active,hybrid_regime_branch,mr_signal,price,sma,trend_sma,trend_sma_slope,atr_pct,atr_percentile,volatility_regime,adx,trend_proxy,bullish_regime,priority,entry_open,entry_fill,fwd_1b_gross_pct,fwd_1b_net_pct,fwd_2b_gross_pct,fwd_2b_net_pct,fwd_4b_gross_pct,fwd_4b_net_pct,fwd_8b_gross_pct,fwd_8b_net_pct
AMD,volatility_expansion,2026-01-28 09:30:00-05:00,2026-01-28 09:45:00-05:00,09:00,open_30m,2026-01,2026-01-28,BUY,volatility_expansion_entry,,,,256.84,251.74200000000002,252.2657,-0.32979999999997744,0.005176570303957236,16.216216216216218,low_vol,25.302679067694275,trend,bullish,0.0,256.765,256.815,-0.6134013592195153,-0.6542204699881268,-1.0067571514809182,-1.047499678757083,-1.4565848149085665,-1.4972397640324744,-1.6396315697232802,-1.680250880984363
AMD,volatility_expansion,2026-03-18 09:45:00-04:00,2026-03-18 10:00:00-04:00,09:00,open_30m,2026-03,2026-03-18,BUY,volatility_expansion_entry,,,,199.645,196.474,197.5029,0.0724999999999909,0.004788597203680896,6.0728744939271255,low_vol,19.4488473395453,range,bullish,0.0,199.51,199.56,-0.06265350107764023,-0.11474804570054857,-0.5212771289659627,-0.5732567648827398,-0.11027016189664622,-0.16235277610743426,0.43105608741417156,0.37883784325516673
JPM,volatility_expansion,2026-03-18 09:45:00-04:00,2026-03-18 10:00:00-04:00,09:00,open_30m,2026-03,2026-03-18,BUY,volatility_expansion_entry,,,,288.28,287.08000000000004,286.8489,0.003100000000017644,0.003297846230204105,15.182186234817813,low_vol,9.057094840551375,range,bullish,0.0,288.33,288.38,-0.5757291991814825,-0.6123058464525911,-0.5479832136787653,-0.584564671613839,-0.09364270107168239,-0.1303029336292411,-0.30173759234210956,-0.33836174491990506
C,volatility_expansion,2026-02-26 09:30:00-05:00,2026-02-26 09:45:00-05:00,09:00,open_30m,2026-02,2026-02-26,BUY,volatility_expansion_entry,,,,116.12,113.97999999999999,111.68450000000001,0.4665999999999997,0.004483453960235161,34.81781376518219,mid_vol,52.0474090826395,trend,bullish,0.0,116.06,116.11,-0.42650353265552693,-0.514445095168378,-0.3144925038773127,-0.4024823012660477,-0.5471307944166854,-0.6350204116785789,-0.4437359986214032,-0.5316701403841193
