horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_return_pct,median_net_return_pct,net_win_rate_pct
1,4,-0.4195718980335412,-0.5011163659185047,0.0,-0.47392986432741113,-0.5633754708104846,0.0
2,4,-0.5976274995007397,-0.534630171322364,0.0,-0.6519508541299274,-0.5789107182482893,0.0
4,4,-0.5519071180733952,-0.3287004781566658,0.0,-0.6062289713619322,-0.3986865938930066,0.0
8,4,-0.4885122683181553,-0.3727367954817564,25.0,-0.5428612307583052,-0.43501594265201216,25.0
