volatility_regime,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_return_pct,median_net_return_pct,net_win_rate_pct
low_vol,1,3,-0.417261353159546,-0.5757291991814825,0.0,-0.46042478738042214,-0.6123058464525911,0.0
low_vol,2,3,-0.6920058313752153,-0.5479832136787653,0.0,-0.7351070384178873,-0.584564671613839,0.0
low_vol,4,3,-0.5534992259589651,-0.11027016189664622,0.0,-0.5966318245897166,-0.16235277610743426,0.0
low_vol,8,3,-0.5034376915504061,-0.30173759234210956,33.33333333333333,-0.5465915942163672,-0.33836174491990506,33.33333333333333
mid_vol,1,1,-0.42650353265552693,-0.42650353265552693,0.0,-0.514445095168378,-0.514445095168378,0.0
mid_vol,2,1,-0.3144925038773127,-0.3144925038773127,0.0,-0.4024823012660477,-0.4024823012660477,0.0
mid_vol,4,1,-0.5471307944166854,-0.5471307944166854,0.0,-0.6350204116785789,-0.6350204116785789,0.0
mid_vol,8,1,-0.4437359986214032,-0.4437359986214032,0.0,-0.5316701403841193,-0.5316701403841193,0.0
