symbol,entry_ts,exit_ts,entry_price,exit_price,shares,position_notional,holding_bars,realized_pnl,realized_return_pct,entry_branch,exit_reason,forced_close,eod_exit,slippage_per_share,strategy_mode,signal_ts,signal_hour,time_bucket,month,date,action,reason,hybrid_branch_active,hybrid_regime_branch,mr_signal,price,sma,trend_sma,trend_sma_slope,atr_pct,atr_percentile,volatility_regime,adx,trend_proxy,bullish_regime,priority,entry_open,entry_fill,fwd_1b_gross_pct,fwd_1b_net_pct,fwd_2b_gross_pct,fwd_2b_net_pct,fwd_3b_gross_pct,fwd_3b_net_pct,fwd_4b_gross_pct,fwd_4b_net_pct,fwd_5b_gross_pct,fwd_5b_net_pct,path_bar_count,signal_close,signal_to_entry_gap_pct,gross_close_1b_return_pct,net_exit_1b_return_pct,gross_close_2b_return_pct,net_exit_2b_return_pct,gross_close_3b_return_pct,net_exit_3b_return_pct,gross_close_4b_return_pct,net_exit_4b_return_pct,gross_close_5b_return_pct,net_exit_5b_return_pct,mfe_pct,mae_pct,peak_favorable_bar,worst_adverse_bar,best_net_exit_pct,best_exit_bar,worst_net_exit_pct,worst_exit_bar,drawdown_before_best_pct
AMD,2026-01-16 15:15:00+00:00,2026-01-16 16:15:00+00:00,232.42000000000002,232.95,4.302555718096549,1000.0,5,2.260354530591144,0.2260354530591144,,trend_pullback_fixed_bars_exit,False,False,0.05,trend_pullback,2026-01-16 10:00:00-05:00,10:00,open_30m,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,232.48,232.94366666666667,229.1555,1.1055999999999813,0.009009446545608419,73.80952380952381,high_vol,35.11422700951582,trend,bearish,0.0,232.37,232.42000000000002,-0.3744028919395811,-0.4193479046553762,-0.6283083014158488,-0.6731986920230725,0.2711193355424519,0.2260354530591144,0.320609372982745,0.27551484381722274,0.2711193355424519,0.2260354530591144,5,232.48,-0.025808671713684554,-0.39583512606488935,-0.4193479046553762,-0.6496859134325872,-0.6731986920230725,0.249548231649593,0.2260354530591144,0.2990276224077072,0.27551484381722274,0.249548231649593,0.2260354530591144,0.5808450219430317,-0.8497547543240782,4,3,0.27551484381722274,4,-0.6731986920230725,2,-0.6731986920230725
HON,2026-01-16 18:45:00+00:00,2026-01-16 19:45:00+00:00,219.41500000000002,219.79,4.557573547843128,1000.0,5,1.6890900804410194,0.16890900804410194,,trend_pullback_fixed_bars_exit,False,False,0.05,trend_pullback,2026-01-16 13:30:00-05:00,13:00,afternoon,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,219.34,219.763,215.87939999999998,0.8141999999999712,0.0035076594704007828,44.642857142857146,mid_vol,41.16519466543502,trend,bearish,0.0,219.365,219.41500000000002,0.2530029858910849,0.20536959642683994,0.15727212636473406,0.10966055192214981,0.03874820504637455,-0.00883636032178856,0.16638935108152197,0.11877569901782863,0.006837918537590935,-0.04073937515668149,5,219.34,0.03419348955959563,0.23015746416606295,0.20536959642683994,0.13444841966136656,0.10966055192214981,0.01595150741743644,-0.00883636032178856,0.14356356675704454,0.11877569901782863,-0.015951507417462346,-0.04073937515668149,0.37372103092313336,-0.07064238999158196,2,1,0.20536959642683994,1,-0.04073937515668149,5,0.20536959642683994
HON,2026-01-16 20:00:00+00:00,2026-01-20 14:30:00+00:00,219.34,216.66,4.55913194127838,1000.0,5,-12.238473602626073,-1.2238473602626072,,trend_pullback_fixed_bars_exit,False,False,0.05,trend_pullback,2026-01-16 14:45:00-05:00,14:00,afternoon,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,219.38,219.77433333333332,216.5977,0.7183000000000277,0.0031106719534705818,24.59016393442623,low_vol,32.629096048731455,trend,bearish,0.0,219.29,219.34,0.1641661726480978,0.11653743047323815,0.05700214328058735,0.009397829853185158,0.025080943043461548,-0.022516093735760023,0.059282229011808775,0.0116773958238241,-0.6703452049797067,-0.7177837147807168,5,219.38,-0.018233202662043962,0.14133309017963083,0.11653743047323815,0.03419348955958267,0.009397829853185158,0.002279565970637117,-0.022516093735760023,0.03647305553021979,0.0116773958238241,-0.6929880550743185,-0.7177837147807168,0.2575909546822274,-1.8920397556305306,2,5,0.11653743047323815,1,-0.7177837147807168,5,0.11653743047323815
JPM,2026-01-16 20:30:00+00:00,2026-01-20 15:00:00+00:00,312.96000000000004,306.815,3.1952965235173822,1000.0000000000001,5,-19.65509713701431,-1.9655097137014306,,trend_pullback_fixed_bars_exit,False,False,0.05,trend_pullback,2026-01-16 15:15:00-05:00,15:00,afternoon,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,312.95,315.0296666666666,312.2985,0.6062999999999761,0.002693593905857505,20.634920634920636,low_vol,28.846075952392532,trend,bearish,0.0,312.91,312.96000000000004,-0.30040586750183684,-0.3343108384458105,-0.14381131954876655,-0.1777413087934747,-2.0884599405579958,-2.1220792433537894,-1.9654213671662886,-1.9990603271983785,-1.5995014540922474,-1.6331988752556412,5,312.95,0.0031953986259938482,-0.3163343558282237,-0.3343108384458105,-0.15976482617588728,-0.1777413087934747,-2.104102760736208,-2.1220792433537894,-1.9810838445807915,-1.9990603271983785,-1.615222392638057,-1.6331988752556412,0.0031952965235144755,-2.412448875255627,1,3,-0.1777413087934747,2,-2.1220792433537894,3,-0.3343108384458105
HON,2026-01-20 14:45:00+00:00,2026-01-20 15:45:00+00:00,218.02,216.79,4.586735161911751,999.9999999999999,5,-5.661684249151563,-0.5661684249151563,,trend_pullback_fixed_bars_exit,False,False,0.05,trend_pullback,2026-01-20 09:30:00-05:00,09:00,open_30m,2026-01,2026-01-20,BUY,trend_pullback_entry,,,,217.82,219.52366666666666,217.2406,0.6428999999999974,0.004055135271410221,78.78787878787878,high_vol,28.187158331271274,trend,bearish,0.0,217.97,218.02,-0.22021379088864973,-0.26803063939089494,-0.9037941001055186,-0.9514541785157461,-0.43125200715694717,-0.4790204568388389,-0.4496031563976647,-0.4973673974864823,-0.8716795889342596,-0.9193470323823703,5,217.82,0.09181893306400563,-0.2430969635813233,-0.26803063939089494,-0.9265205027061784,-0.9514541785157461,-0.4540867810292675,-0.4790204568388389,-0.4724337216769109,-0.4973673974864823,-0.8944133565727992,-0.9193470323823703,0.055040821942930064,-1.1948445096780196,1,2,-0.26803063939089494,1,-0.9514541785157461,2,-0.26803063939089494
AMD,2026-01-21 18:30:00+00:00,2026-01-21 19:30:00+00:00,245.28500000000003,248.26999999999998,4.076890148194956,1000.0,5,12.149517092361748,1.2149517092361748,,trend_pullback_fixed_bars_exit,False,False,0.05,trend_pullback,2026-01-21 13:15:00-05:00,13:00,midday,2026-01,2026-01-21,BUY,trend_pullback_entry,,,,245.195,247.75199999999998,238.14430000000002,1.4092000000000269,0.00922451311054761,85.98130841121495,high_vol,35.36933441441891,trend,bearish,0.0,245.235,245.28500000000003,-0.04281607437764519,-0.08557624803801218,0.02242746753113479,-0.020346005666897326,-0.21000265051889605,-0.2527287441140061,1.1478785654576213,1.1048756752349165,1.9022570187779035,1.8591003526509893,5,245.195,0.036705479312397,-0.06319179729703388,-0.08557624803801218,0.002038445074084037,-0.020346005666897326,-0.2303442933730257,-0.2527287441140061,1.1272601259758999,1.1048756752349165,1.8814848033919647,1.8591003526509893,1.88352324846606,-0.40157367959720874,5,3,1.8591003526509893,5,-0.2527287441140061,3,-0.2527287441140061
AMD,2026-01-22 19:00:00+00:00,2026-01-22 20:00:00+00:00,253.05,254.03,3.951788184153329,1000.0,5,3.8527524204702104,0.385275242047021,,trend_pullback_fixed_bars_exit,False,False,0.05,trend_pullback,2026-01-22 13:45:00-05:00,13:00,afternoon,2026-01,2026-01-22,BUY,trend_pullback_entry,,,,252.58,253.499,247.6049,2.150299999999987,0.0065160635151514795,24.444444444444443,low_vol,32.145560079843754,trend,bearish,0.0,253.0,253.05,0.10671936758893685,0.06518039913059966,0.6047430830039531,0.5631057103339117,0.31620553359684245,0.2746251728907282,0.38339920948616557,0.341805572021326,0.3280632411067243,0.2864805374431853,5,252.58,0.1860796579301603,0.0869393400513728,0.06518039913059966,0.5848646512546887,0.5631057103339117,0.2963841138114997,0.2746251728907282,0.36356451294210135,0.341805572021326,0.3082394783639601,0.2864805374431853,0.6757557794902112,-0.10669828097214394,2,1,0.5631057103339117,2,0.06518039913059966,1,0.06518039913059966
JPM,2026-01-22 19:00:00+00:00,2026-01-22 20:00:00+00:00,304.955,303.24,3.279172336902166,1000.0,5,-5.643780557787068,-0.5643780557787068,,trend_pullback_fixed_bars_exit,False,False,0.05,trend_pullback,2026-01-22 13:45:00-05:00,13:00,afternoon,2026-01,2026-01-22,BUY,trend_pullback_entry,,,,304.905,305.6853333333333,303.9677,0.035399999999981446,0.0036697284060443346,53.333333333333336,mid_vol,23.14049983917879,mixed,bearish,0.0,304.905,304.955,0.02787753562586261,-0.006918758505344158,-0.0032797100736265085,-0.03807089570592553,-0.23777898033812694,-0.27253171779442487,-0.43784129482953044,-0.47256123034545683,-0.4345615847559039,-0.46928205800855943,5,304.905,0.016398550368151184,0.011477103179165782,-0.006918758505344158,-0.019675034021413743,-0.03807089570592553,-0.2541358561099104,-0.27253171779442487,-0.45416536866094703,-0.47256123034545683,-0.4508861963240478,-0.46928205800855943,0.1655982030135579,-0.5459821940941987,1,5,-0.006918758505344158,1,-0.47256123034545683,4,-0.006918758505344158
AMD,2026-01-23 18:30:00+00:00,2026-01-23 19:30:00+00:00,258.23,257.5,3.8725167486349377,1000.0,5,-2.8469372265035418,-0.2846937226503542,,trend_pullback_fixed_bars_exit,False,False,0.05,trend_pullback,2026-01-23 13:15:00-05:00,13:00,midday,2026-01,2026-01-23,BUY,trend_pullback_entry,,,,258.34,260.4866666666667,254.87240000000003,1.2151000000000352,0.0071491249296348975,41.509433962264154,mid_vol,33.96863279676654,trend,bearish,0.0,258.18,258.23,-0.4531722054380726,-0.49380962707664366,-0.6468355410953659,-0.687435464508394,-0.6081028739638985,-0.6487102970220349,-0.2401425362150455,-0.2808212059017251,0.21690293593616944,0.1761357704372017,5,258.34,-0.042579546334271426,-0.472447043333473,-0.49380962707664366,-0.6660728807652198,-0.687435464508394,-0.6273477132788616,-0.6487102970220349,-0.259458622158547,-0.2808212059017251,0.19749835418037828,0.1761357704372017,0.2555861054098935,-0.7628857994810933,5,4,0.1761357704372017,5,-0.687435464508394,2,-0.687435464508394
JPM,2026-01-30 16:00:00+00:00,2026-01-30 17:00:00+00:00,305.035,303.71,3.278312324815185,1000.0000000000001,5,-4.363763830380208,-0.4363763830380207,,trend_pullback_fixed_bars_exit,False,False,0.05,trend_pullback,2026-01-30 10:45:00-05:00,10:00,morning,2026-01,2026-01-30,BUY,trend_pullback_entry,,,,305.14,305.9603333333333,303.461,0.6482000000000312,0.0035937801598651224,68.81720430107526,high_vol,37.47554841144301,trend,bullish,0.0,304.985,305.035,-0.060658720920701764,-0.09543190125723414,-0.41805334688592355,-0.4527679446620937,-0.2377166090135655,-0.2724607667972577,-0.44100529534240285,-0.47571613093580256,-0.5328130891683197,-0.5675088760306153,5,305.14,-0.034410434554617994,-0.07704033963316131,-0.09543190125723414,-0.43437638303802695,-0.4527679446620937,-0.25406920517318804,-0.2724607667972577,-0.45732456931173093,-0.47571613093580256,-0.5491173144065472,-0.5675088760306153,0.11310177520611418,-0.6933630566984146,1,5,-0.09543190125723414,1,-0.5675088760306153,5,-0.09543190125723414
