symbol,strategy_mode,signal_ts,entry_ts,signal_hour,time_bucket,month,date,action,reason,hybrid_branch_active,hybrid_regime_branch,mr_signal,price,sma,trend_sma,trend_sma_slope,atr_pct,atr_percentile,volatility_regime,adx,trend_proxy,bullish_regime,priority,entry_open,entry_fill,fwd_1b_gross_pct,fwd_1b_net_pct,fwd_2b_gross_pct,fwd_2b_net_pct,fwd_3b_gross_pct,fwd_3b_net_pct,fwd_4b_gross_pct,fwd_4b_net_pct,fwd_5b_gross_pct,fwd_5b_net_pct,path_bar_count,signal_close,signal_to_entry_gap_pct,gross_close_1b_return_pct,net_exit_1b_return_pct,gross_close_2b_return_pct,net_exit_2b_return_pct,gross_close_3b_return_pct,net_exit_3b_return_pct,gross_close_4b_return_pct,net_exit_4b_return_pct,gross_close_5b_return_pct,net_exit_5b_return_pct,mfe_pct,mae_pct,peak_favorable_bar,worst_adverse_bar,best_net_exit_pct,best_exit_bar,worst_net_exit_pct,worst_exit_bar,drawdown_before_best_pct
AMD,trend_pullback,2026-01-16 10:00:00-05:00,2026-01-16 10:15:00-05:00,10:00,open_30m,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,232.48,232.94366666666667,229.1555,1.1055999999999813,0.009009446545608419,73.80952380952381,high_vol,35.11422700951582,trend,bearish,0.0,232.37,232.42000000000002,-0.3744028919395811,-0.4193479046553762,-0.6283083014158488,-0.6731986920230725,0.2711193355424519,0.2260354530591144,0.320609372982745,0.27551484381722274,0.2711193355424519,0.2260354530591144,5,232.48,-0.025808671713684554,-0.39583512606488935,-0.4193479046553762,-0.6496859134325872,-0.6731986920230725,0.249548231649593,0.2260354530591144,0.2990276224077072,0.27551484381722274,0.249548231649593,0.2260354530591144,0.5808450219430317,-0.8497547543240782,4,3,0.27551484381722274,4,-0.6731986920230725,2,-0.6731986920230725
AMD,trend_pullback,2026-01-16 10:15:00-05:00,2026-01-16 10:30:00-05:00,10:00,open_30m,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,231.5,232.529,229.38459999999998,1.0682999999999652,0.00903076511200234,72.09302325581395,high_vol,33.49890962419143,trend,bearish,0.0,231.6,231.65,-0.29792746113989543,-0.34303172890136013,0.6044905008635604,0.5591914526224855,0.6541450777202137,0.608835311892949,0.6044905008635604,0.5591914526224855,0.31519861830743445,0.26996201165552525,5,231.5,0.06479481641468927,-0.31944744226203714,-0.34303172890136013,0.5827757392618149,0.5591914526224855,0.6324195985322699,0.608835311892949,0.5827757392618149,0.5591914526224855,0.2935462982948443,0.26996201165552525,0.9151737535074485,-0.5201813080077757,3,2,0.608835311892949,3,-0.34303172890136013,1,-0.34303172890136013
AMD,trend_pullback,2026-01-16 10:30:00-05:00,2026-01-16 10:45:00-05:00,10:00,morning,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,230.91,232.079,229.6038,1.0553000000000168,0.008852579423204783,68.18181818181819,high_vol,31.591636931714834,trend,bearish,0.0,231.31,231.36,0.7306212442177155,0.6852406639004016,0.7803380744455521,0.7349467496542161,0.7306212442177155,0.6852406639004016,0.4409666681077386,0.39564868603042663,0.39773464182265683,0.3524260027662422,5,230.91,0.1948811225152731,0.7088520055324976,0.6852406639004016,0.758558091286305,0.7349467496542161,0.7088520055324976,0.6852406639004016,0.41926002766251674,0.39564868603042663,0.3760373443983299,0.3524260027662422,1.041666666666665,-0.3954875518672287,2,1,0.7349467496542161,2,0.3524260027662422,5,0.6852406639004016
AMD,trend_pullback,2026-01-21 13:15:00-05:00,2026-01-21 13:30:00-05:00,13:00,midday,2026-01,2026-01-21,BUY,trend_pullback_entry,,,,245.195,247.75199999999998,238.14430000000002,1.4092000000000269,0.00922451311054761,85.98130841121495,high_vol,35.36933441441891,trend,bearish,0.0,245.235,245.28500000000003,-0.04281607437764519,-0.08557624803801218,0.02242746753113479,-0.020346005666897326,-0.21000265051889605,-0.2527287441140061,1.1478785654576213,1.1048756752349165,1.9022570187779035,1.8591003526509893,5,245.195,0.036705479312397,-0.06319179729703388,-0.08557624803801218,0.002038445074084037,-0.020346005666897326,-0.2303442933730257,-0.2527287441140061,1.1272601259758999,1.1048756752349165,1.8814848033919647,1.8591003526509893,1.88352324846606,-0.40157367959720874,5,3,1.8591003526509893,5,-0.2527287441140061,3,-0.2527287441140061
AMD,trend_pullback,2026-01-21 13:30:00-05:00,2026-01-21 13:45:00-05:00,13:00,afternoon,2026-01,2026-01-21,BUY,trend_pullback_entry,,,,245.13,247.72866666666667,238.4227,1.4270999999999674,0.00883305604543053,80.55555555555556,high_vol,34.55881393035155,trend,bearish,0.0,244.92,244.97,0.15106973705700008,0.10821757766257178,-0.0816593173281025,-0.12446397518064033,1.2779683161848865,1.2348861493244159,2.033317001469875,1.990080662938317,2.633512983831462,2.5901541413234326,5,245.13,-0.06527148859788545,0.13062824019267386,0.10821757766257178,-0.10205331265052864,-0.12446397518064033,1.257296811854518,1.2348861493244159,2.0124913254684276,1.990080662938317,2.612564803853535,2.5901541413234326,2.637057598889663,-0.27350287790341166,5,2,2.5901541413234326,5,-0.12446397518064033,2,-0.12446397518064033
AMD,trend_pullback,2026-01-21 13:45:00-05:00,2026-01-21 14:00:00-05:00,13:00,afternoon,2026-01,2026-01-21,BUY,trend_pullback_entry,,,,245.29,247.6953333333333,238.6975,1.4534999999999627,0.008585525986561968,75.22935779816514,high_vol,33.65945140514852,trend,bearish,0.0,245.225,245.275,-0.20593332653685206,-0.2486619101009069,1.1520032623101302,1.1089978595454226,1.9064124783362266,1.8632532871267018,2.50586196350291,2.4625805728264365,2.138852074625346,2.0956454999490464,5,245.29,-0.006115210567078299,-0.22627662827438866,-0.2486619101009069,1.1313831413719317,1.1089978595454226,1.8856385689532158,1.8632532871267018,2.4849658546529403,2.4625805728264365,2.1180307817755555,2.0956454999490464,2.554275812863107,-0.3975129956171621,5,1,2.4625805728264365,4,-0.2486619101009069,1,-0.2486619101009069
AMD,trend_pullback,2026-01-21 14:00:00-05:00,2026-01-21 14:15:00-05:00,14:00,afternoon,2026-01,2026-01-21,BUY,trend_pullback_entry,,,,244.72,247.55599999999998,238.95950000000002,1.3977000000000146,0.008311909733622449,65.45454545454545,mid_vol,32.57479128938265,trend,bearish,0.0,244.69,244.74,1.3731660468347762,1.330025823322717,2.129224733336061,2.0859300482144363,2.7299848788262726,2.68656745934461,2.362172544852671,2.3188302688567433,1.8594956884220897,1.816256108523339,5,244.72,0.008172605426614184,1.3524556672387031,1.330025823322717,2.1083598921304225,2.0859300482144363,2.708997303260601,2.68656745934461,2.341260112772734,2.3188302688567433,1.8386859524393233,1.816256108523339,2.7784587725749703,-0.08580534444717167,4,1,2.68656745934461,3,1.330025823322717,1,1.330025823322717
AMD,trend_pullback,2026-01-22 13:45:00-05:00,2026-01-22 14:00:00-05:00,13:00,afternoon,2026-01,2026-01-22,BUY,trend_pullback_entry,,,,252.58,253.499,247.6049,2.150299999999987,0.0065160635151514795,24.444444444444443,low_vol,32.145560079843754,trend,bearish,0.0,253.0,253.05,0.10671936758893685,0.06518039913059966,0.6047430830039531,0.5631057103339117,0.31620553359684245,0.2746251728907282,0.38339920948616557,0.341805572021326,0.3280632411067243,0.2864805374431853,5,252.58,0.1860796579301603,0.0869393400513728,0.06518039913059966,0.5848646512546887,0.5631057103339117,0.2963841138114997,0.2746251728907282,0.36356451294210135,0.341805572021326,0.3082394783639601,0.2864805374431853,0.6757557794902112,-0.10669828097214394,2,1,0.5631057103339117,2,0.06518039913059966,1,0.06518039913059966
AMD,trend_pullback,2026-01-23 13:15:00-05:00,2026-01-23 13:30:00-05:00,13:00,midday,2026-01,2026-01-23,BUY,trend_pullback_entry,,,,258.34,260.4866666666667,254.87240000000003,1.2151000000000352,0.0071491249296348975,41.509433962264154,mid_vol,33.96863279676654,trend,bearish,0.0,258.18,258.23,-0.4531722054380726,-0.49380962707664366,-0.6468355410953659,-0.687435464508394,-0.6081028739638985,-0.6487102970220349,-0.2401425362150455,-0.2808212059017251,0.21690293593616944,0.1761357704372017,5,258.34,-0.042579546334271426,-0.472447043333473,-0.49380962707664366,-0.6660728807652198,-0.687435464508394,-0.6273477132788616,-0.6487102970220349,-0.259458622158547,-0.2808212059017251,0.19749835418037828,0.1761357704372017,0.2555861054098935,-0.7628857994810933,5,4,0.1761357704372017,5,-0.687435464508394,2,-0.687435464508394
AMD,trend_pullback,2026-01-23 13:30:00-05:00,2026-01-23 13:45:00-05:00,13:00,afternoon,2026-01,2026-01-23,BUY,trend_pullback_entry,,,,257.01,260.036,255.1182,1.2231000000000165,0.007042461979296085,38.125,mid_vol,32.17576029138028,trend,bearish,0.0,256.92,256.97,-0.15958274949401563,-0.20046674709111584,-0.12066012766620048,-0.16155169864186975,0.24910477969795514,0.20814126162586036,0.7083917172660724,0.667338833326835,1.0236649540713043,0.9825507257656454,5,257.01,-0.015563596747194127,-0.17900922286649662,-0.20046674709111584,-0.14009417441725244,-0.16155169864186975,0.2295987858504786,0.20814126162586036,0.688796357551458,0.667338833326835,1.004008249990265,0.9825507257656454,1.0779468420438112,-0.27629684398958493,5,3,0.9825507257656454,5,-0.20046674709111584,1,-0.20046674709111584
AMD,trend_pullback,2026-01-23 13:45:00-05:00,2026-01-23 14:00:00-05:00,13:00,afternoon,2026-01,2026-01-23,BUY,trend_pullback_entry,,,,256.51,259.57466666666664,255.28740000000002,1.160899999999998,0.006744315452164362,31.055900621118013,low_vol,30.151187248529418,trend,bearish,0.0,256.53,256.58,0.0311854364012166,-0.009794839816038348,0.4015124936654698,0.36046005144594345,0.861497680583182,0.8203556005924156,1.1772502241453393,1.136046613142105,1.2006393014462406,1.1594311325902253,5,256.51,0.02728938442945428,0.011692259724074191,-0.009794839816038348,0.38194715098605436,0.36046005144594345,0.841842700132522,0.8203556005924156,1.1575337126822152,1.136046613142105,1.1809182321303413,1.1594311325902253,1.245225660612672,-0.12471743705666583,5,2,1.1594311325902253,5,-0.009794839816038348,1,-0.009794839816038348
AMD,trend_pullback,2026-01-23 14:00:00-05:00,2026-01-23 14:15:00-05:00,14:00,afternoon,2026-01,2026-01-23,BUY,trend_pullback_entry,,,,256.61,259.088,255.4216,1.06280000000001,0.006461945207638832,26.54320987654321,low_vol,28.321885982910562,trend,bearish,0.0,256.67,256.72,0.34674874352280605,0.3057282642567657,0.8064830326878846,0.765373013399801,1.1220633498266237,1.0808918666251088,1.1454396696146794,1.1042636335306837,0.7675224997077844,0.7264200685571609,5,256.61,0.042866606913219925,0.3272047366780831,0.3057282642567657,0.7868494858211209,0.765373013399801,1.1023683390464256,1.0808918666251088,1.1257401059520045,1.1042636335306837,0.7478965409784819,0.7264200685571609,1.19001246494233,-0.1791835462761126,4,1,1.1042636335306837,4,0.3057282642567657,1,0.3057282642567657
AMD,trend_pullback,2026-01-23 14:15:00-05:00,2026-01-23 14:30:00-05:00,14:00,afternoon,2026-01,2026-01-23,BUY,trend_pullback_entry,,,,257.56,258.78866666666664,255.5454,0.9339999999999975,0.006383144253909947,25.153374233128833,low_vol,26.930489780227116,trend,bearish,0.0,257.55,257.6,0.4620462046204612,0.42113664596272427,0.7765482430596,0.7355776397515456,0.7998446903513889,0.7588695652173897,0.4232187924674723,0.38231677018632126,0.4503979809745557,0.40949068322979654,5,257.56,0.015530361857439223,0.4425465838509264,0.42113664596272427,0.7569875776397471,0.7355776397515456,0.7802795031055865,0.7588695652173897,0.40372670807452005,0.38231677018632126,0.4309006211179956,0.40949068322979654,0.8443322981366284,-0.0815217391304489,3,1,0.7588695652173897,3,0.38231677018632126,4,0.42113664596272427
AMD,trend_pullback,2026-02-02 14:45:00-05:00,2026-02-02 15:00:00-05:00,14:00,afternoon,2026-02,2026-02-02,BUY,trend_pullback_entry,,,,246.45,248.30066666666667,243.8689,0.006300000000010186,0.005889703071680666,25.856697819314643,low_vol,23.34733133295118,mixed,bearish,0.0,246.48,246.53,0.012171372930867064,-0.03039411025027903,0.15822784810127183,0.11563274246542506,-0.3286270691333992,-0.3711234332535696,-0.11359948068808874,-0.15613945564434745,-0.22719896137617748,-0.2697158966454481,5,246.45,0.03246094542504058,-0.008112602928653807,-0.03039411025027903,0.13791424978704556,0.11563274246542506,-0.3488419259319408,-0.3711234332535696,-0.1338579483227244,-0.15613945564434745,-0.2474343893238201,-0.2697158966454481,2.409443069808947,-0.5313754918265534,5,4,0.11563274246542506,2,-0.3711234332535696,3,-0.03039411025027903
AMD,trend_pullback,2026-02-03 09:30:00-05:00,2026-02-03 09:45:00-05:00,09:00,open_30m,2026-02,2026-02-03,BUY,trend_pullback_entry,,,,245.92,247.72666666666666,243.8764,0.007499999999993179,0.007101745302785563,48.15950920245399,mid_vol,20.97245125446802,mixed,bearish,0.0,246.22,246.27,-1.1148566322800766,-1.1572361229544867,-1.4661684672244273,-1.508476631339579,-1.120948745024771,-1.1633269988224357,-1.4133701567703638,-1.455689040484026,-0.1685484526033596,-0.21112007146628003,5,245.92,0.14232270657125193,-1.1349332033946546,-1.1572361229544867,-1.4861737117797524,-1.508476631339579,-1.1410240792625987,-1.1633269988224357,-1.4333861209241894,-1.455689040484026,-0.18881715190644552,-0.21112007146628003,0.6334510902667813,-1.802899256913143,1,2,-0.21112007146628003,5,-1.508476631339579,2,-1.508476631339579
AMD,trend_pullback,2026-02-06 14:00:00-05:00,2026-02-06 14:15:00-05:00,14:00,afternoon,2026-02,2026-02-06,BUY,trend_pullback_entry,,,,206.57,207.47166666666666,199.45950000000002,0.6291000000000224,0.007928978276906286,31.753554502369667,low_vol,44.11638071416095,trend,bearish,0.0,206.56,206.61,0.1428156467854316,0.09238071729342892,-0.1452362509682472,-0.19560147137119657,-0.13313323005422428,-0.18350137941049524,0.19848954298992863,0.14804114031264817,0.63903950426026,0.588484487682092,5,206.57,0.019363896015888303,0.11858090121483766,0.09238071729342892,-0.16940128744979563,-0.19560147137119657,-0.15730119548909396,-0.18350137941049524,0.174241324234057,0.14804114031264817,0.6146846716034954,0.588484487682092,0.6437248923091738,-0.2734620783118078,5,4,0.588484487682092,5,-0.19560147137119657,2,-0.19560147137119657
AMD,trend_pullback,2026-02-06 14:15:00-05:00,2026-02-06 14:30:00-05:00,14:00,afternoon,2026-02,2026-02-06,BUY,trend_pullback_entry,,,,206.855,207.541,199.5178,0.5509999999999877,0.007640810351829237,28.60520094562648,low_vol,42.86125060840675,trend,bearish,0.0,206.85,206.9,-0.2852308436064798,-0.3354944417593174,-0.2731447909112873,-0.3234113098115131,0.058013052936913,0.0076665055582338945,0.49794537104181835,0.4474925084581855,0.7590041092579131,0.7084881585306788,5,206.855,0.02175436900244902,-0.3093281778637094,-0.3354944417593174,-0.2972450459159058,-0.3234113098115131,0.03383276945383914,0.0076665055582338945,0.47365877235378917,0.4474925084581855,0.7346544224262841,0.7084881585306788,0.8023199613339761,-0.4132431126147985,5,3,0.7084881585306788,5,-0.3354944417593174,1,-0.3354944417593174
AMD,trend_pullback,2026-02-06 14:30:00-05:00,2026-02-06 14:45:00-05:00,14:00,afternoon,2026-02,2026-02-06,BUY,trend_pullback_entry,,,,206.26,207.56533333333334,199.595,0.4925999999999817,0.007389085110768412,25.943396226415093,low_vol,41.64765198396878,trend,bearish,0.0,206.28,206.33,0.0024238898584426276,-0.04804274705569469,0.33449680046538577,0.28394969224057154,0.7756447547023436,0.724990742984528,1.0374248594143816,0.986707410458962,0.9550126042272634,0.9043151262540504,5,206.26,0.03393774847281179,-0.021809722289543892,-0.04804274705569469,0.31018271700673017,0.28394969224057154,0.7512237677506823,0.724990742984528,1.0129404352251126,0.986707410458962,0.9305481510202043,0.9043151262540504,1.403092133960152,-0.1381282411670746,5,2,0.986707410458962,4,-0.04804274705569469,1,-0.04804274705569469
AMD,trend_pullback,2026-02-06 14:45:00-05:00,2026-02-06 15:00:00-05:00,14:00,afternoon,2026-02,2026-02-06,BUY,trend_pullback_entry,,,,206.285,207.4296666666667,199.6721,0.42730000000000246,0.007173828522367531,22.352941176470587,low_vol,40.60733508303074,trend,bearish,0.0,206.25,206.3,0.3490909090909085,0.29853320407172534,0.7903030303030282,0.7396383906931533,1.052121212121206,1.0013931168201453,0.9696969696969697,0.9189888511875778,1.871515151515158,1.8205884634028051,5,206.285,0.007271493322352463,0.32476975278719705,0.29853320407172534,0.7658749394086205,0.7396383906931533,1.027629665535616,1.0013931168201453,0.9452253999030482,0.9189888511875778,1.8468250121182754,1.8205884634028051,2.297624818225875,-1.0033931168201753,5,5,1.8205884634028051,5,0.29853320407172534,1,0.29853320407172534
