strategy_mode,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,regime_filter_enabled,coverage_symbols,coverage_time_windows,avg_net_pnl,avg_sharpe,avg_win_rate,avg_profit_factor,avg_trades_per_day,avg_return_per_trade_pct,avg_pnl_stability,worst_max_drawdown_pct,net_pnl_std,robustness_score
sma,static_pct,0.001,1.0,0.0,15,False,3,1,31.738096740397697,2.885578160208455,33.80530129672006,1.9282510761217075,1.9333333333333333,0.18127883327067626,8.802081013268376,5.403828036155138,18.26187424743525,275.01489833303225
sma,static_pct,0.0025,1.0,0.0,5,False,3,1,25.723776599937008,2.698768266105464,35.498366013071895,2.0312915657071375,1.8999999999999997,0.14808038349133526,8.110286487307198,5.1689046960697365,16.693607911857836,253.0624718182769
sma,static_pct,0.005,1.0,0.0,10,False,3,1,22.503551579809443,2.810384850707537,69.44444444444444,inf,0.7999999999999999,0.44152299591355676,5.918058319175427,5.299102395135269,42.535523867417936,234.51100080746883
sma,static_pct,0.001,1.0,0.0,10,False,3,1,25.081417691700835,2.172035234851493,36.531986531986526,1.4705050853141752,2.5333333333333337,0.10439531526056255,9.275929557515077,4.383341636836266,13.904594015259097,206.46363897740972
sma,static_pct,0.0025,1.0,0.0,10,False,3,1,20.970086985374337,2.041830004527881,41.98257080610022,1.54974470895103,1.6666666666666667,0.13365462526261623,8.310975484480187,5.237696304538754,15.579452601822288,183.3851533136464
sma,static_pct,0.0,1.0,0.0,15,False,3,1,9.727011190972348,0.943513213679355,25.0,1.2420470574120415,2.1333333333333333,0.045576085360644204,7.533321352062061,5.298273860257012,12.932474209050175,64.65448904857261
sma,static_pct,0.001,1.0,0.0,5,False,3,1,8.61980601423223,0.9968736964493866,32.51527389458424,1.2452228801557925,3.1,0.03827601463658196,9.497337781776489,4.970008449296551,23.914973578896838,59.54215983379129
sma,static_pct,0.0,1.0,0.0,10,False,3,1,11.309618012000746,0.9782850046220446,29.02042739770934,1.2576074980020542,3.1999999999999997,0.03995330316132097,8.951811947727451,6.363244663643279,20.129543645112545,57.192351510876264
sma,static_pct,0.0,1.0,0.0,5,False,3,1,0.4562209809358819,0.18863194670021985,28.601774042950513,1.0419804158549277,3.866666666666667,0.0038750387229430174,8.516011489727608,5.849584603782495,11.391625617466412,-21.32013298542102
sma,static_pct,0.005,1.0,0.0,15,False,3,1,4.775687239233624,-0.03868794210356322,38.888888888888886,2.4380599183526743,0.8666666666666666,0.11988370319529022,5.773234009548894,7.7181011392044185,38.59334007824702,-76.27695274539181
