symbol,winner_metric,metric_value,sma_bars,time_window_mode,threshold_mode,threshold_value,threshold_label,trades_per_day,win_rate,profit_factor,realized_pnl,sharpe_ratio,max_drawdown_pct,expectancy,max_loss_trade,avg_winning_trade,avg_losing_trade,avg_return_per_trade_pct,avg_move_captured_pct,pnl_stability,atr_percentile_threshold,regime_filter_enabled,regime,start_date,end_date,config_key
AAPL,net_pnl,39.216433265486444,20,full_day,static_pct,0.0,0.0000,1.5,40.0,2.4107927285461055,39.216433265486444,3.811009005488482,3.0430361344704555,2.614428884365763,-5.516246613258545,11.168979709417158,-3.088604999001834,0.26144288843657626,0.26144288843657626,8.197139544722287,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.0, 0.0, False)"
AAPL,sharpe,5.161381578883581,20,full_day,static_pct,0.005,0.0050,0.5,40.0,6.966992846238381,32.19095846968264,5.161381578883581,1.077223705931729,6.4381916939365285,-3.1424848624203605,18.7928981273389,-1.7982792616650538,0.6438191693936528,0.6438191693936528,4.93235020455181,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.005, 0.0, False)"
AAPL,max_drawdown,1.077223705931729,20,full_day,static_pct,0.005,0.0050,0.5,40.0,6.966992846238381,32.19095846968264,5.161381578883581,1.077223705931729,6.4381916939365285,-3.1424848624203605,18.7928981273389,-1.7982792616650538,0.6438191693936528,0.6438191693936528,4.93235020455181,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.005, 0.0, False)"
MSFT,net_pnl,78.84072686873526,10,full_day,static_pct,0.005,0.0050,0.6,100.0,inf,78.84072686873526,7.421421716750472,1.285884187984903,13.14012114478921,0.0997937595636813,13.14012114478921,0.0,1.314012114478921,1.314012114478921,8.47361754847857,0.0,False,Custom,,,"(10, 'full_day', 'static_pct', 0.005, 0.0, False)"
MSFT,sharpe,7.421421716750472,10,full_day,static_pct,0.005,0.0050,0.6,100.0,inf,78.84072686873526,7.421421716750472,1.285884187984903,13.14012114478921,0.0997937595636813,13.14012114478921,0.0,1.314012114478921,1.314012114478921,8.47361754847857,0.0,False,Custom,,,"(10, 'full_day', 'static_pct', 0.005, 0.0, False)"
MSFT,max_drawdown,0.9810817613671119,5,full_day,static_pct,0.005,0.0050,0.6,66.66666666666666,22.839629275845628,59.7009139616265,6.38941999201386,0.9810817613671119,9.950152326937749,-2.073553249268457,15.608629673727705,-1.3668023666421618,0.995015232693775,0.995015232693775,7.355567611635531,0.0,False,Custom,,,"(5, 'full_day', 'static_pct', 0.005, 0.0, False)"
NVDA,net_pnl,27.136518180461962,10,full_day,static_pct,0.001,0.0010,2.7,44.44444444444444,1.406838300415322,27.136518180461962,2.3412563089267575,4.383341636836266,1.0050562289059985,-14.010981580157363,7.819792506674399,-4.446732793308722,0.10050562289059986,0.10050562289059986,9.811742330497248,0.0,False,Custom,,,"(10, 'full_day', 'static_pct', 0.001, 0.0, False)"
NVDA,sharpe,2.3412563089267575,10,full_day,static_pct,0.001,0.0010,2.7,44.44444444444444,1.406838300415322,27.136518180461962,2.3412563089267575,4.383341636836266,1.0050562289059985,-14.010981580157363,7.819792506674399,-4.446732793308722,0.10050562289059986,0.10050562289059986,9.811742330497248,0.0,False,Custom,,,"(10, 'full_day', 'static_pct', 0.001, 0.0, False)"
NVDA,max_drawdown,3.7110725125692294,15,full_day,static_pct,0.001,0.0010,1.9,31.57894736842105,1.51288469931661,23.166258409784973,2.251581716241701,3.7110725125692294,1.2192767584097355,-11.927330173775772,11.389134807907036,-3.474503879819788,0.12192767584097354,0.12192767584097354,8.665861762799118,0.0,False,Custom,,,"(15, 'full_day', 'static_pct', 0.001, 0.0, False)"
