regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds
Custom,,,sma,full_day,False,static_pct,0.0025,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,0.0,4.231599993135865,2.4355364229012615,54,36,9,0,2,48.148148148148145,11.498870291965414,-4.632379566630951,3.1345185134339655,-12.525820770887321,0.31345185134339654,0.31345185134339654,2.304975717206494,4.586993075118255,2.7,14.787209476324284,84.63199986271707,2084.6319998627173,2084.6319998627173,2000.0,1000.0,0.006300699998973869,0.1496194999999716,0.23552349999954458,0.00026819999766303226,0.39171519999945303
Custom,,,sma,full_day,False,static_pct,0.001,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,0.0,3.6776666312471207,2.4203686868037106,78,69,30,3,2,35.8974358974359,12.217798063037037,-3.8998336103030624,1.8859828878190246,-16.223332171758102,0.18859828878190243,0.18859828878190243,1.7544253419491507,3.7041528009135885,3.9,16.052707841666724,73.55333262494196,2073.5533326249424,2073.5533326249424,2000.0,1000.0,0.006182299999636598,0.1514385999980732,0.2453936000019894,0.0002750999992713332,0.40329360000032466
Custom,,,sma,full_day,False,static_pct,0.0025,1.0,0.0,10,none,target_1x_stop_low,0.5,sma,0.0,3.0145322522475224,2.0078140257264256,68,46,12,1,2,41.17647058823529,9.680940084101858,-3.7621258066237884,1.7732542660279478,-12.525820770887321,0.1773254266027948,0.1773254266027948,1.8012842757517502,3.5213418458778944,3.4,13.805876411996982,60.290645044950224,2060.2906450449505,2060.2906450449505,2000.0,1000.0,0.007199000003311085,0.16526909999811323,0.2444171000024653,0.0002899999999499414,0.4171810000007099
Custom,,,sma,full_day,False,static_pct,0.001,1.0,0.0,10,none,target_1x_stop_low,0.5,sma,0.0,1.8631453323243932,2.9384458687916926,98,96,47,4,2,34.69387755102041,9.294880537959083,-3.7734394530880166,0.760467482581385,-16.223332171758102,0.0760467482581385,0.0760467482581385,1.3085953404525408,1.7810171723727457,4.9,17.432304171471774,37.26290664648786,2037.2629066464879,2037.2629066464879,2000.0,1000.0,0.08865200000218465,0.29657220000080997,0.25349609999830136,0.00033679999978630804,0.6390636999967683
Custom,,,sma,full_day,False,static_pct,0.0025,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,0.0,1.4201011784204638,2.625627678832097,50,41,16,0,2,44.0,10.616436673060765,-6.31276998823286,1.1360809427363348,-43.018130405855004,0.11360809427363348,0.11360809427363348,1.321367002592142,1.4458865363579416,2.5,16.50998771112004,28.402023568408367,2028.4020235684093,2028.4020235684093,2000.0,1000.0,0.006548900000780122,0.14601630000106525,0.22988019999684184,0.00033600000097067095,0.38278470000295783
Custom,,,sma,full_day,False,static_pct,0.001,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,0.0,0.8868236644203534,3.281524929055024,66,74,41,0,2,39.39393939393939,10.927561789976634,-6.216091499064442,0.5374688875274973,-42.40091542702601,0.05374688875274973,0.05374688875274973,1.1426657996514116,0.820318061131946,3.3,19.155473968542193,17.73647328840741,2017.736473288407,2017.736473288407,2000.0,1000.0,0.006962100000237115,0.14639879999958794,0.23435819999940577,0.0003099000023212284,0.3880329999992682
