symbol,bars,trading_days,within_session_missing_days,missing_slots_from_typical_session
ABBV,1783,61,20,79
AMD,1783,61,20,79
BAC,1783,61,20,79
C,1783,61,20,79
COP,1783,61,20,79
GOOGL,1783,61,20,79
HD,1783,61,20,79
HON,1783,61,20,79
JPM,1783,61,20,79
LLY,1783,61,20,79
MSFT,1783,61,20,79
QCOM,1783,61,20,79
TSLA,1783,61,20,79
WFC,1783,61,20,79
XOM,1783,61,20,79
