symbol,best_horizon_bars,best_net_expectancy_pct,avg_net_expectancy_pct,avg_gross_return_pct,best_net_profit_factor,best_net_win_rate_pct,realized_pnl,realized_expectancy,realized_trades
MSFT,4,0.07486441668401865,0.00045798021096072245,0.027706117176783795,1.3938275951943835,56.25,-3.3990123747460075,-0.1213932990980717,56
C,4,0.05946071426706912,-0.0005208581104597215,0.08953536649668437,1.2288855554115297,58.82352941176471,-5.748659019454976,-0.19822962136051642,58
XOM,2,0.055913091624076434,-0.018378088020066352,0.04747889856838416,1.4630155796205873,51.28205128205128,-56.40286669512727,-3.7601911130084846,30
HD,4,0.044111017797690756,0.02383431039044021,0.054170989130779355,1.2106354057621356,44.18604651162791,-10.05087660879019,-0.38657217726116117,52
ABBV,2,0.015406754263028864,-0.019571702949164133,0.028126764791025882,1.0885315019517379,40.625,47.02525376787173,1.516943669931346,62
AMD,4,-0.0039592179298323016,-0.045831004826848855,0.003508692455977349,0.9922815554508689,44.44444444444444,34.422588830962354,0.9058576008147988,76
LLY,2,-0.006864906714739654,-0.05028172436184056,-0.038427869827817346,0.9586950663555495,51.89873417721519,-76.74687756280866,-2.25726110478849,68
GOOGL,1,-0.0076928066991594456,-0.021581927419039654,0.01229217914863148,0.9493747590180313,48.57142857142857,-34.23663101971397,-1.1805734834384127,58
COP,2,-0.011419134897673188,-0.06102412971751988,0.024752343946589695,0.9387242232902832,38.63636363636363,-35.07963565460511,-1.8462966134002692,38
JPM,1,-0.014598736654059238,-0.05110179750337581,-0.015491682327041968,0.8902714968152393,50.943396226415096,15.378060768636715,0.6151224307454686,50
QCOM,2,-0.03987740601430688,-0.045557195398207906,0.029765735617550835,0.7964119418568759,50.72463768115942,-19.39430309103375,-0.646476769701125,60
TSLA,2,-0.04610103575443229,-0.07625275115793266,-0.04912237458933391,0.8017970737388628,50.68493150684932,-25.674592285486483,-0.8023310089214526,64
HON,4,-0.047013102384726384,-0.061330888177873875,-0.016107559796316447,0.8506341502403064,46.666666666666664,-9.248357149392632,-0.33029846962116544,56
WFC,1,-0.14009719429889894,-0.22573097597716582,-0.10196963486381909,0.4749633990237539,36.666666666666664,-45.157860484000025,-2.2578930242000013,40
BAC,1,-0.18201429363680408,-0.20558841691441673,-0.008277323694092948,0.26750457322208665,27.083333333333332,-51.761119659222004,-1.7848661951455864,58
