trend_proxy,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_expectancy_pct,median_net_return_pct,net_win_rate_pct,net_profit_factor
mixed,1,345,0.020745762641955226,0.019047619047615257,53.62318840579711,-0.0390569056134622,-0.03235434706202795,44.927536231884055,0.7332135173599666
mixed,2,345,0.024183673313583873,0.05910165484634914,54.492753623188406,-0.035616859374208804,-0.006546901286776574,49.85507246376812,0.8174127851533909
mixed,4,345,-0.0021461286037638546,-0.009699007468245306,48.11594202898551,-0.061935084228786096,-0.08452584728082684,44.34782608695652,0.8038380990231643
range,1,375,-0.036209192906216166,-0.004438723423139467,49.333333333333336,-0.09137301955782777,-0.05650581395348126,42.4,0.5468852367509163
range,2,375,-0.011908168565824861,-0.007443799315163693,49.333333333333336,-0.06707989776536503,-0.058841250507498444,44.266666666666666,0.7187436293483029
range,4,375,-0.03893112506065741,-0.0036612602057594936,49.6,-0.09409252680319924,-0.05496259516717146,45.33333333333333,0.7020440500138229
trend,1,111,0.08014674728608034,0.1347531716295356,63.06306306306306,0.0195799457853461,0.06699724011039052,55.85585585585585,1.1068219388864908
trend,2,111,0.0690648419872271,0.07939028262939841,56.75675675675676,0.008508436870024706,0.021435669088339184,51.35135135135135,1.0328654694062034
trend,4,111,0.15156299904512796,0.1624202092209355,62.16216216216216,0.09095354393824816,0.1132103898824198,58.55855855855856,1.3133317787307381
unknown,1,6,-0.02528443877351681,-0.022025323244509766,33.33333333333333,-0.04984920497428599,-0.048190153073937834,33.33333333333333,0.37176864716251895
unknown,2,6,-0.10582281483549615,-0.1451455445972862,33.33333333333333,-0.13037837930526922,-0.17129859415996407,33.33333333333333,0.12496656104366838
unknown,4,6,-0.1822822142081896,-0.2680451625998927,16.666666666666664,-0.2068289071600892,-0.29418016133609515,16.666666666666664,0.2594856623628449
