timestamp_et,symbol,present,open,high,low,close,volume
2026-02-23 13:30,AMD,True,196.65,196.67,195.05,195.145,785589.0
2026-02-23 13:30,GOOGL,True,314.555,314.5699,313.52,313.605,459608.0
2026-02-23 13:30,JPM,True,297.586,298.0,297.155,297.175,442187.0
2026-02-23 13:30,MSFT,True,386.79,387.5,386.4101,386.965,531475.0
2026-02-23 13:30,TSLA,True,396.06,396.26,395.28,396.12,1727101.0
2026-02-23 13:30,XOM,True,150.55,150.665,150.28,150.35,303285.0
2026-02-27 12:00,AMD,True,200.0,200.91,199.534,199.58,603498.0
2026-02-27 12:00,GOOGL,True,307.56,309.35,307.54,308.29,482721.0
2026-02-27 12:00,JPM,True,296.34,297.33,296.34,296.51,215967.0
2026-02-27 12:00,MSFT,True,394.95,395.8078,394.21,394.295,711922.0
2026-02-27 12:00,TSLA,True,402.03,403.0799,401.07,401.43,1645457.0
2026-02-27 12:00,XOM,True,150.57,151.0498,150.57,150.8872,513567.0
2026-04-13 10:30,AMD,False,,,,,
2026-04-13 10:30,GOOGL,False,,,,,
2026-04-13 10:30,JPM,False,,,,,
2026-04-13 10:30,MSFT,False,,,,,
2026-04-13 10:30,TSLA,False,,,,,
2026-04-13 10:30,XOM,False,,,,,
